Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1995,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,42.0,23.0,Chad Little,Bayer (Greg Pollex),Ford,120.0,71411.0,running,3.0,180.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,1.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,120.0,38875.0,running,14.0,170.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,39.0,14.0,Terry Labonte,MW Windows (Terry Labonte),Chevrolet,120.0,30875.0,running,0.0,165.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,31.0,8.0,Kenny Wallace,Red Dog (Fil Martocci),Ford,120.0,22850.0,running,0.0,160.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,20.0,54.0,Rich Bickle,Kleenex (Chris Virtue),Ford,120.0,16450.0,running,0.0,155.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,38.0,51.0,Jim Bown,Luck's Foods (Dick Bown),Chevrolet,120.0,23636.0,running,0.0,150.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,3.0,3.0,Jeff Green,"GM Goodwrench Service (Dale Earnhardt, Inc.)",Chevrolet,120.0,14475.0,running,5.0,146.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,23.0,60.0,Mark Martin,Winn-Dixie (Jack Roush),Ford,120.0,14475.0,running,35.0,142.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,5.0,4.0,Jeff Purvis,Kodak Funsaver (James Finch),Chevrolet,120.0,10975.0,running,3.0,138.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,19.0,74.0,"Johnny Benson, Jr.",Lipton Tea (Bill Baumgardner),Chevrolet,119.0,21011.0,running,0.0,134.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,17.0,47.0,Jeff Fuller,Sunoco Lubricants (Tad Geschickter),Chevrolet,119.0,10375.0,running,0.0,130.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,16.0,87.0,Joe Nemechek,BellSouth Mobility (Joe Nemechek),Chevrolet,119.0,10475.0,running,0.0,127.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,27.0,1.0,Hermie Sadler,DeWalt Tools (Bell Sadler),Chevrolet,119.0,16061.0,running,0.0,124.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,33.0,44.0,David Green,Slim Jim (Bob Labonte),Chevrolet,118.0,17836.0,running,0.0,121.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,15.0,8.0,Bobby Dotter,Hyde Tools (Bobby Dotter),Chevrolet,118.0,14486.0,running,0.0,118.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,11.0,43.0,Rodney Combs,WCW Super Brawl V (Petty Enterprises),Pontiac,118.0,12886.0,running,5.0,115.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,28.0,75.0,Rick Wilson,Food Country USA (Charlie Henderson),Ford,118.0,8525.0,running,0.0,112.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,8.0,57.0,Jason Keller,Budget Gourmet (Joe Keller),Chevrolet,118.0,12386.0,running,0.0,109.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,21.0,29.0,Steve Grissom,Diamond Ridge (Gary Bechtel),Chevrolet,117.0,9275.0,crash,14.0,106.0
1995,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,9.0,90.0,Mike Wallace,Duron Paints (Barry Owen),Ford,117.0,10300.0,crash,31.0,103.0
