Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1996,1,Daytona,1.0,4.0,29.0,Steve Grissom,WCW (Gary Bechtel),Chevrolet,120.0,54697.0,running,47.0,180.0
1996,1,Daytona,2.0,16.0,32.0,Dale Jarrett,Band-Aid (Dale Jarrett),Ford,120.0,39647.0,running,9.0,170.0
1996,1,Daytona,3.0,28.0,60.0,Mark Martin,Winn-Dixie (Jack Roush),Ford,120.0,30572.0,running,3.0,165.0
1996,1,Daytona,4.0,9.0,92.0,Larry Pearson,Stanley Tools (Mac Martin),Chevrolet,120.0,35985.0,running,0.0,160.0
1996,1,Daytona,5.0,19.0,63.0,Curtis Markham,Lysol (Hubert Hensley),Pontiac,120.0,28388.0,running,0.0,155.0
1996,1,Daytona,6.0,6.0,43.0,Rodney Combs,Lance Snacks (Petty Enterprises),Chevrolet,120.0,23313.0,running,25.0,150.0
1996,1,Daytona,7.0,8.0,74.0,Randy LaJoie,Fina (Bill Baumgardner),Chevrolet,120.0,16222.0,running,1.0,146.0
1996,1,Daytona,8.0,20.0,26.0,Derrike Cope,Badcock Home Furnishings (Leon Fox),Ford,120.0,12374.0,running,0.0,142.0
1996,1,Daytona,9.0,17.0,44.0,Bobby Labonte,Shell Oil (Bobby Labonte),Chevrolet,120.0,11775.0,running,0.0,138.0
1996,1,Daytona,10.0,29.0,20.0,Jimmy Spencer,Zippo Lighters (Allen Cretsinger),Chevrolet,119.0,12597.0,running,21.0,134.0
1996,1,Daytona,11.0,18.0,9.0,Joe Bessey,Delco Remy America (Joe Bessey),Chevrolet,119.0,13175.0,running,0.0,130.0
1996,1,Daytona,12.0,33.0,95.0,David Green,Caterpillar (Buz McCall),Chevrolet,119.0,17010.0,running,0.0,127.0
1996,1,Daytona,13.0,39.0,55.0,Johnny Chapman,Cracker Barrel (Ray DeWitt),Ford,119.0,12900.0,running,0.0,124.0
1996,1,Daytona,14.0,37.0,64.0,Bobby Dotter,Dura Lube (Dennis Shoemaker),Chevrolet,119.0,15238.0,running,0.0,121.0
1996,1,Daytona,15.0,44.0,72.0,Mike Dillon,Detroit Gasket (Ron Parker),Chevrolet,119.0,12275.0,running,0.0,118.0
1996,1,Daytona,16.0,38.0,25.0,Johnny Rumley,Beverley Racing (Don Beverley),Chevrolet,119.0,17735.0,running,0.0,115.0
1996,1,Daytona,17.0,35.0,3.0,David Bonnett,Restore (Hank Parker Sr),Chevrolet,119.0,9250.0,running,1.0,112.0
1996,1,Daytona,18.0,26.0,18.0,Tim Bender,Earl's Performance Products (Ned LaWarre),Ford,119.0,9250.0,running,0.0,109.0
1996,1,Daytona,19.0,30.0,23.0,Chad Little,John Deere (Greg Pollex),Pontiac,118.0,16188.0,running,1.0,106.0
1996,1,Daytona,20.0,46.0,41.0,Jamie Aube,QMI International (Allen Avery),Chevrolet,118.0,10000.0,running,0.0,103.0
1996,1,Daytona,21.0,34.0,15.0,Tony Stewart,Mariah Entertainment (Harry Ranier),Pontiac,118.0,8850.0,running,0.0,100.0
1996,1,Daytona,22.0,40.0,35.0,Andy Santerre,NWTF / Dean Durham Outdoors (Mike Laughlin),Ford,117.0,11250.0,running,0.0,97.0
1996,1,Daytona,23.0,1.0,4.0,Jeff Purvis,Phoenix Racing (James Finch),Chevrolet,117.0,10697.0,running,6.0,94.0
1996,1,Daytona,24.0,13.0,10.0,Phil Parsons,Channellock (Phil Parsons),Chevrolet,117.0,14185.0,running,0.0,91.0
1996,1,Daytona,25.0,27.0,3.0,Jeff Green,"GM Goodwrench Service (Dale Earnhardt, Inc.)",Chevrolet,114.0,13485.0,running,0.0,88.0
1996,1,Daytona,26.0,32.0,98.0,Jeremy Mayfield,Northstar Motorsports (Meredith Ruark),Ford,111.0,8350.0,running,0.0,85.0
