Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts
2016,1,Daytona,1.0,19.0,88.0,Chase Elliott,TaxSlayer.com (JR Motorsports),Chevrolet,120.0,running,19.0,0.0
2016,1,Daytona,2.0,8.0,22.0,Joey Logano,Discount Tire (Roger Penske),Ford,120.0,running,40.0,0.0
2016,1,Daytona,3.0,15.0,5.0,Kasey Kahne,Hellmann's / Kroger (JR Motorsports),Chevrolet,120.0,running,30.0,0.0
2016,1,Daytona,4.0,10.0,1.0,Elliott Sadler,OneMain Financial (JR Motorsports),Chevrolet,120.0,running,4.0,38.0
2016,1,Daytona,5.0,4.0,2.0,Austin Dillon,Rheem (Richard Childress),Chevrolet,120.0,running,5.0,0.0
2016,1,Daytona,6.0,12.0,6.0,Bubba Wallace,Selfeo (Jack Roush),Ford,120.0,running,0.0,35.0
2016,1,Daytona,7.0,7.0,33.0,Brandon Jones,Barrett-Jackson / Menards (Richard Childress),Chevrolet,120.0,running,0.0,34.0
2016,1,Daytona,8.0,2.0,19.0,Daniel Suarez,Arris (Joe Gibbs),Toyota,120.0,running,0.0,33.0
2016,1,Daytona,9.0,9.0,11.0,Blake Koch,Leaf Filter Gutter Protection (Matthew Kaulig),Chevrolet,120.0,running,0.0,32.0
2016,1,Daytona,10.0,6.0,62.0,Brendan Gaughan,South Point Hotel & Casino (Richard Childress),Chevrolet,120.0,running,9.0,32.0
2016,1,Daytona,11.0,24.0,98.0,Aric Almirola,Fresh from Florida (Fred Biagi),Ford,120.0,running,9.0,0.0
2016,1,Daytona,12.0,16.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,120.0,running,0.0,29.0
2016,1,Daytona,13.0,1.0,3.0,Ty Dillon,Bass Pro Shops / Tracker Boats (Richard Childress),Chevrolet,120.0,running,2.0,29.0
2016,1,Daytona,14.0,18.0,28.0,Dakoda Armstrong,Winfield (James Whitener),Toyota,120.0,running,0.0,27.0
2016,1,Daytona,15.0,37.0,51.0,Jeremy Clements,Kevin Whitaker Chevrolet (Jeremy Clements),Chevrolet,119.0,running,0.0,26.0
2016,1,Daytona,16.0,11.0,16.0,Ryan Reed,Lilly Diabetes / ADA Drive to Stop Diabetes (Jack Roush),Ford,119.0,running,0.0,25.0
2016,1,Daytona,17.0,14.0,5.0,John Wes Townley,Florida Lottery (Tony Townley),Chevrolet,119.0,running,0.0,0.0
2016,1,Daytona,18.0,23.0,44.0,David Starr,Zachry (Mark Smith),Toyota,119.0,running,0.0,23.0
2016,1,Daytona,19.0,28.0,87.0,Joe Nemechek,DAB Constructors (Joe Nemechek),Toyota,119.0,running,2.0,0.0
2016,1,Daytona,20.0,25.0,39.0,Ryan Sieg,SRI Performance (Rod Sieg),Chevrolet,119.0,running,0.0,21.0
2016,1,Daytona,21.0,20.0,24.0,Matt Tifft,Clinical RM (James Whitener),Toyota,119.0,running,0.0,0.0
2016,1,Daytona,22.0,36.0,4.0,Ross Chastain,Flex Seal (Johnny Davis),Chevrolet,118.0,running,0.0,19.0
2016,1,Daytona,23.0,3.0,18.0,Bobby Labonte,NOS Energy Drink (Joe Gibbs),Toyota,118.0,running,0.0,0.0
2016,1,Daytona,24.0,38.0,78.0,B.J. McLeod,Batteries Plus Bulbs (B.J. McLeod),Ford,118.0,running,0.0,17.0
2016,1,Daytona,25.0,21.0,43.0,Jeb Burton,J. Streicher & Co. (Richard Petty Motorsports),Ford,118.0,running,0.0,16.0
