Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2024,1,Daytona,1.0,2.0,21.0,Austin Hill,Bennett Transportation (Richard Childress),Chevrolet,120.0,running,9.0,59.0,6.0
2024,1,Daytona,2.0,14.0,18.0,Sheldon Creed,Joe Gibbs,Toyota,120.0,running,2.0,48.0,0.0
2024,1,Daytona,3.0,9.0,31.0,Parker Retzlaff,FUNKAWAY (Jordan Anderson),Chevrolet,120.0,running,0.0,34.0,0.0
2024,1,Daytona,4.0,29.0,32.0,Jordan Anderson,Capital City Towing/Bommarito (Jordan Anderson),Chevrolet,120.0,running,6.0,33.0,0.0
2024,1,Daytona,5.0,19.0,81.0,Chandler Smith,Mobil 1 (Joe Gibbs),Toyota,120.0,running,1.0,32.0,0.0
2024,1,Daytona,6.0,11.0,98.0,Riley Herbst,Monster Energy (Stewart Haas Racing),Ford,120.0,running,8.0,35.0,0.0
2024,1,Daytona,7.0,8.0,20.0,John H. Nemechek,Pye Barker Fire & Safety (Joe Gibbs),Toyota,120.0,running,0.0,0.0,0.0
2024,1,Daytona,8.0,6.0,7.0,Justin Allgaier,BRANDT (JR Motorsports),Chevrolet,120.0,running,7.0,34.0,0.0
2024,1,Daytona,9.0,22.0,9.0,Brandon Jones,Menards/Swiffer (JR Motorsports),Chevrolet,120.0,running,0.0,29.0,0.0
2024,1,Daytona,10.0,3.0,16.0,A.J. Allmendinger,Celsius (Matthew Kaulig),Chevrolet,120.0,running,3.0,32.0,0.0
2024,1,Daytona,11.0,36.0,43.0,Ryan Ellis,Heartbeat Hot Sauce Co. (Tommy Joe Martins),Chevrolet,120.0,running,11.0,26.0,0.0
2024,1,Daytona,12.0,5.0,97.0,Shane Van Gisbergen,WeatherTech (Matthew Kaulig),Chevrolet,120.0,running,0.0,25.0,0.0
2024,1,Daytona,13.0,17.0,0.0,Cole Custer,Haas Automation (Stewart Haas Racing),Ford,120.0,running,6.0,31.0,0.0
2024,1,Daytona,14.0,34.0,29.0,Blaine Perkins,AUTOPARKIT.com (Rod Sieg),Ford,120.0,running,0.0,23.0,0.0
2024,1,Daytona,15.0,38.0,78.0,B.J. McLeod,Kales Truck Heavy Equipment (B.J. McLeod),Chevrolet,120.0,running,0.0,22.0,0.0
2024,1,Daytona,16.0,23.0,6.0,Garrett Smithley,Z&M Harley Davidson (Johnny Davis),Chevrolet,120.0,running,0.0,21.0,0.0
2024,1,Daytona,17.0,13.0,7.0,Patrick Emerling,"Phillips, Hunt, Walker (Bobby Dotter)",Chevrolet,120.0,running,0.0,20.0,0.0
2024,1,Daytona,18.0,30.0,36.0,Natalie Decker,Amped Fitness (Mario Gosselin),Chevrolet,120.0,running,7.0,19.0,0.0
2024,1,Daytona,19.0,33.0,44.0,Brennan Poole,Finance Pro Plus (Tommy Joe Martins),Chevrolet,120.0,running,0.0,18.0,0.0
2024,1,Daytona,20.0,1.0,2.0,Jesse Love,Whelen (Richard Childress),Chevrolet,120.0,running,34.0,27.0,1.0
2024,1,Daytona,21.0,20.0,19.0,Ryan Truex,Toyota SmartPath (Joe Gibbs),Toyota,120.0,running,0.0,22.0,0.0
2024,1,Daytona,22.0,31.0,39.0,Ryan Sieg,Sci Aps/Scrap University (Rod Sieg),Ford,120.0,running,12.0,21.0,0.0
2024,1,Daytona,23.0,12.0,8.0,Sammy Smith,Pilot Flying J (JR Motorsports),Chevrolet,119.0,running,6.0,23.0,0.0
2024,1,Daytona,24.0,10.0,5.0,Anthony Alfredo,Dude Wipes (Chris Our),Chevrolet,118.0,running,0.0,20.0,0.0
2024,1,Daytona,25.0,4.0,48.0,Parker Kligerman,Spiked Lite Coolers (Scott Borchetta),Chevrolet,118.0,running,0.0,20.0,0.0
2024,1,Daytona,26.0,16.0,27.0,Jeb Burton,Golden Corral (Jordan Anderson),Chevrolet,118.0,running,8.0,0.0,0.0
2024,1,Daytona,27.0,26.0,10.0,Daniel Dye,Champion Containers (Matthew Kaulig),Chevrolet,117.0,running,0.0,0.0,0.0
2024,1,Daytona,28.0,32.0,26.0,Sage Karam,CRC Brakleen (Sam Hunt),Toyota,111.0,crash,0.0,9.0,0.0
2024,1,Daytona,29.0,7.0,51.0,Jeremy Clements,One Stop / All South Electric (Jeremy Clements),Chevrolet,109.0,dvp,0.0,8.0,0.0
2024,1,Daytona,30.0,24.0,42.0,Leland Honeyman,Ohio Logistics (Randy Young),Chevrolet,102.0,crash,0.0,7.0,0.0
2024,1,Daytona,31.0,35.0,4.0,Dawson Cram,FIRMAN Power Equipment (Johnny Davis),Chevrolet,51.0,crash,0.0,6.0,0.0
2024,1,Daytona,32.0,27.0,92.0,Josh Bilicki,Zeigler Auto Group (Mario Gosselin),Chevrolet,51.0,crash,0.0,5.0,0.0
2024,1,Daytona,33.0,37.0,35.0,Frankie Muniz,Ford Performance (Emerling-Gase Motorsports),Ford,37.0,dvp,0.0,0.0,0.0
2024,1,Daytona,34.0,21.0,11.0,Josh Williams,Alloy Employer Services (Matthew Kaulig),Chevrolet,37.0,dvp,0.0,3.0,0.0
2024,1,Daytona,35.0,18.0,14.0,Daniel Suarez,Wendy's (Bobby Dotter),Chevrolet,23.0,crash,0.0,0.0,0.0
2024,1,Daytona,36.0,15.0,1.0,Sam Mayer,Carolina Carports (JR Motorsports),Chevrolet,22.0,crash,0.0,1.0,0.0
2024,1,Daytona,37.0,28.0,15.0,Hailie Deegan,Klutch Vodka (Kevin Cywinski),Ford,22.0,crash,0.0,1.0,0.0
2024,1,Daytona,38.0,25.0,91.0,Kyle Weatherman,DriveSmartWarranty.com (Mario Gosselin),Chevrolet,22.0,crash,0.0,1.0,0.0
2024,2,Atlanta,1.0,2.0,21.0,Austin Hill,Bennett Transportation (Richard Childress),Chevrolet,169.0,running,2.0,43.0,5.0
2024,2,Atlanta,2.0,12.0,81.0,Chandler Smith,QuickTie (Joe Gibbs),Toyota,169.0,running,0.0,40.0,0.0
2024,2,Atlanta,3.0,13.0,97.0,Shane Van Gisbergen,WeatherTech (Matthew Kaulig),Chevrolet,169.0,running,0.0,34.0,0.0
2024,2,Atlanta,4.0,10.0,18.0,Sheldon Creed,Friends of Jaclyn Foundation (Joe Gibbs),Toyota,169.0,running,0.0,37.0,0.0
2024,2,Atlanta,5.0,24.0,31.0,Parker Retzlaff,FVP / Bommarito.com (Jordan Anderson),Chevrolet,169.0,running,0.0,32.0,0.0
2024,2,Atlanta,6.0,23.0,51.0,Jeremy Clements,One Stop / All South Electric (Jeremy Clements),Chevrolet,169.0,running,0.0,31.0,0.0
2024,2,Atlanta,7.0,15.0,5.0,Anthony Alfredo,Chapman Fence (Chris Our),Chevrolet,169.0,running,0.0,30.0,0.0
2024,2,Atlanta,8.0,22.0,26.0,Jeffrey Earnhardt,ForeverLawn (Sam Hunt),Toyota,169.0,running,0.0,29.0,0.0
2024,2,Atlanta,9.0,8.0,19.0,Ryan Truex,Toyota Genuine Parts (Joe Gibbs),Toyota,169.0,running,0.0,42.0,0.0
2024,2,Atlanta,10.0,14.0,8.0,Sammy Smith,Pilot Flying J (JR Motorsports),Chevrolet,169.0,running,0.0,34.0,0.0
2024,2,Atlanta,11.0,6.0,1.0,Sam Mayer,Raptor High Heat (JR Motorsports),Chevrolet,169.0,running,0.0,34.0,0.0
2024,2,Atlanta,12.0,1.0,2.0,Jesse Love,Whelen (Richard Childress),Chevrolet,169.0,running,157.0,45.0,2.0
2024,2,Atlanta,13.0,7.0,16.0,A.J. Allmendinger,Campers Inn RV (Matthew Kaulig),Chevrolet,169.0,running,8.0,31.0,0.0
2024,2,Atlanta,14.0,18.0,9.0,Brandon Jones,Menards / Atlas Roofing (JR Motorsports),Chevrolet,169.0,running,0.0,23.0,0.0
2024,2,Atlanta,15.0,4.0,98.0,Riley Herbst,Monster Energy (Stewart Haas Racing),Ford,168.0,running,0.0,39.0,0.0
2024,2,Atlanta,16.0,11.0,0.0,Cole Custer,Haas Automation (Stewart Haas Racing),Ford,168.0,running,0.0,25.0,0.0
