driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
A.J. Allmendinger,112,17,0.15179,10.03,1,38,9.88,1,39,11.62,1301,73,38.53,0.81,314853,31485,59325,22775
A.J. Alsup,6,0,0.0,35.17,28,43,36.5,29,42,0.0,0,0,46.83,,63870,12774,14655,11000
A.J. Fike,7,0,0.0,34.0,25,41,29.14,21,33,0.0,0,0,75.57,,133950,19136,40925,11765
A.J. Foyt IV,11,0,0.0,30.45,11,37,34.91,21,42,0.0,0,0,58.27,,314240,28567,53225,15120
A.J. Frank,4,0,0.0,35.0,28,40,37.5,36,39,0.0,0,0,50.5,,36536,9134,17685,2595
Aaron Dudley,12,0,0.0,22.25,15,29,19.83,12,39,0.0,0,0,103.5,,4850,404,950,160
Aaron Fike,52,0,0.0,25.42,2,43,29.73,8,43,0.0,0,0,73.87,,997970,19192,45910,10925
Aaron Quine,1,0,0.0,31.0,31,31,30.0,30,30,0.0,0,0,7.0,0.0,0,,,
Adam Petty,43,0,0.0,24.67,2,43,26.63,4,43,0.56,24,23,84.0,,573240,13331,34500,4160
Adrian Fernandez,10,0,0.0,27.5,4,41,24.3,9,43,0.4,4,4,90.9,,290790,29079,49518,14962
Akinori Ogata,8,0,0.0,36.38,33,40,31.63,25,38,0.0,0,0,0.63,0.0,0,,,
Al Hylton,18,0,0.0,21.15,15,30,19.83,7,34,0.0,0,0,75.11,,5740,319,865,200
Al Turner,1,0,0.0,34.0,34,34,42.0,42,42,0.0,0,0,0.0,,1000,1000,1000,1000
Alan Kulwicki,6,0,0.0,10.83,1,21,13.0,2,34,11.67,70,43,102.17,,16240,2707,6150,950
Alan Russell,3,0,0.0,37.0,34,39,30.0,25,40,0.0,0,0,73.0,,15400,5133,10550,2315
Albert Hammond,1,0,0.0,25.0,25,25,21.0,21,21,0.0,0,0,0.0,,1315,1315,1315,1315
Alex Bowman,55,1,0.01818,10.75,1,38,14.95,1,38,2.05,113,33,22.85,0.0,976058,23806,85603,13600
Alex Garcia,5,0,0.0,31.8,24,43,29.2,23,36,0.0,0,0,75.4,,163060,32612,41550,15875
