season,driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
1982,Jody Ridley,2,0,0.0,3.5,3,4,2.0,2,2,10.0,20,20,170.0,,20600,10300,15950,4650
1982,Darrell Waltrip,2,1,0.5,4.5,3,6,3.5,1,6,76.5,153,152,165.0,,23310,11655,19000,4310
1982,Gary Balough,1,0,0.0,33.0,33,33,4.0,4,4,15.0,15,15,160.0,,6740,6740,6740,6740
1982,Brad Teague,1,0,0.0,4.0,4,4,5.0,5,5,0.0,0,0,155.0,,1100,1100,1100,1100
1982,David Pearson,5,1,0.2,1.6,1,2,6.0,1,19,32.4,162,90,155.2,,15865,3173,8100,740
1982,Larry Utsman,1,0,0.0,21.0,21,21,6.0,6,6,0.0,0,0,150.0,,900,900,900,900
1982,Jack Ingram,29,7,0.24138,5.54,1,17,6.17,1,31,17.24,500,180,155.0,,70825,2442,8000,600
1982,Sam Ard,29,4,0.13793,3.86,1,21,6.38,1,28,22.1,641,188,153.38,,89235,3077,17650,300
1982,Bobby Allison,4,0,0.0,11.67,10,14,6.5,3,9,3.25,13,12,149.0,,14000,3500,8250,1100
1982,Butch Lindley,14,4,0.28571,5.0,1,9,8.64,1,39,16.64,233,104,147.36,,34260,2447,8800,200
1982,John Settlemyre,6,1,0.16667,11.5,5,18,8.83,1,20,8.83,53,53,142.33,,4860,810,2200,220
1982,Richie Rice,1,0,0.0,,,,9.0,9,9,0.0,0,0,138.0,,550,550,550,550
1982,Harry Gant,4,1,0.25,3.0,1,9,9.0,1,15,33.25,133,127,142.25,,15570,3893,9130,700
1982,Rodney Combs,1,0,0.0,7.0,7,7,9.0,9,9,0.0,0,0,138.0,,3950,3950,3950,3950
1982,Buck Doran,1,0,0.0,26.0,26,26,9.0,9,9,0.0,0,0,138.0,,600,600,600,600
1982,Ray Hendrick,7,0,0.0,12.5,7,18,9.71,4,20,0.0,0,0,137.86,,4896,699,1500,200
1982,Jimmy Hensley,11,0,0.0,11.25,8,15,9.82,2,23,0.0,0,0,138.18,,9455,860,2300,270
1982,Larry Pearson,3,0,0.0,9.0,3,15,10.0,8,14,0.0,0,0,135.0,,6900,2300,4500,700
1982,Paul Radford,1,0,0.0,23.0,23,23,10.0,10,10,0.0,0,0,134.0,,1000,1000,1000,1000
1982,Tommy Hilbert,2,0,0.0,23.0,23,23,10.0,8,12,0.0,0,0,134.5,,1100,550,700,400
1982,Joe Thurman,4,0,0.0,14.5,11,19,10.0,5,16,2.0,8,8,135.75,,5495,1374,2320,850
1982,Dickie Boswell,6,0,0.0,24.0,11,37,10.17,7,18,0.0,0,0,134.5,,3130,522,850,230
1982,Morgan Shepherd,12,2,0.16667,3.11,1,8,10.17,1,33,22.67,272,120,141.0,,23290,1941,7500,245
1982,Billy Hess,4,0,0.0,38.0,38,38,10.5,6,16,0.0,0,0,133.25,,2505,626,980,225
