owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
7-Up,2,0,0.0,19.0,15,23,17.5,7,28,0.0,0,0,112.5,,910,455,650,260
A. Steve Pierce,1,0,0.0,27.0,27,27,23.0,23,23,0.0,0,0,94.0,,650,650,650,650
A.J. Foyt,69,0,0.0,25.41,5,40,25.19,8,41,0.03,2,1,86.93,,1041402,15315,34795,7700
AAA Mobile Homes,1,0,0.0,34.0,34,34,31.0,31,31,0.0,0,0,70.0,,550,550,550,550
AAA Radiators,1,0,0.0,26.0,26,26,31.0,31,31,0.0,0,0,70.0,,850,850,850,850
AC Delco,1,0,0.0,33.0,33,33,21.0,21,21,0.0,0,0,100.0,,525,525,525,525
AC Delco Magneto,1,0,0.0,6.0,6,6,11.0,11,11,0.0,0,0,0.0,,1700,1700,1700,1700
ADAP / Auto Palace,2,0,0.0,38.0,36,40,28.0,23,33,0.0,0,0,79.0,,6958,3479,3483,3475
ADAP Auto Parts,8,0,0.0,29.5,11,42,29.0,13,43,0.0,0,0,76.0,,18668,2334,3700,875
Action Tire,3,0,0.0,23.0,20,26,25.33,25,26,0.0,0,0,87.0,,625,208,225,200
Adams-Harris Racing,1,0,0.0,28.0,28,28,16.0,16,16,0.0,0,0,115.0,,1115,1115,1115,1115
Adandy Properties,1,0,0.0,32.0,32,32,14.0,14,14,0.0,0,0,121.0,,850,850,850,850
Adkins Service Center,10,0,0.0,28.1,20,35,22.3,12,35,0.0,0,0,96.1,,5520,552,900,315
Adrian Berryhill,46,0,0.0,30.39,18,43,32.39,17,41,0.02,1,1,11.7,,768564,16708,26995,10290
Advance Auto Parts,2,0,0.0,17.0,16,18,24.5,19,30,25.0,50,50,0.0,,1070,535,620,450
Advanced Eagle,1,0,0.0,34.0,34,34,29.0,29,29,0.0,0,0,76.0,,460,460,460,460
Adventure Land Video,10,0,0.0,15.9,2,38,17.5,5,33,0.0,0,0,111.6,,9600,960,2485,500
Al Hylton,1,0,0.0,30.0,30,30,30.0,30,30,0.0,0,0,73.0,,200,200,200,200
Al Niece,1,0,0.0,29.0,29,29,31.0,31,31,0.0,0,0,6.0,0.0,0,,,
Al Rudd,1,0,0.0,43.0,43,43,34.0,34,34,0.0,0,0,61.0,,9810,9810,9810,9810
"Alan Dillard, Jr.",352,13,0.03693,13.39,1,40,15.64,1,43,6.22,2190,259,118.76,,1278872,3633,36450,205
Alec Pinsonneault,36,0,0.0,22.83,3,43,19.75,6,40,0.33,12,5,104.78,,633505,17597,30450,9075
Alex Garcia,5,0,0.0,31.8,24,43,29.2,23,36,0.0,0,0,75.4,,163060,32612,41550,15875
All-Pro Auto Parts,1,0,0.0,27.0,27,27,21.0,21,21,0.0,0,0,100.0,,615,615,615,615
Allan Powell,2,0,0.0,21.0,19,23,23.0,22,24,0.0,0,0,94.0,,660,330,450,210
Allen Avery,50,1,0.02,25.16,4,46,22.54,1,43,0.7,35,29,87.02,,180637,3613,31100,500
Allen Bloom,9,0,0.0,22.78,9,37,33.56,25,40,0.0,0,0,62.33,,59120,6569,11840,3460
Allen Cretsinger,57,2,0.03509,22.95,4,43,23.51,1,43,7.35,419,154,94.14,,643402,11489,53200,2955
Allen Lumber,1,0,0.0,13.0,13,13,29.0,29,29,0.0,0,0,0.0,,1310,1310,1310,1310
Allen Lumber / L&W,1,0,0.0,16.0,16,16,2.0,2,2,60.0,60,60,0.0,,19525,19525,19525,19525
Almay,1,0,0.0,20.0,20,20,23.0,23,23,0.0,0,0,94.0,,420,420,420,420
Almay Cosmetics,1,0,0.0,23.0,23,23,13.0,13,13,0.0,0,0,124.0,,795,795,795,795
Almay Racing,1,0,0.0,32.0,32,32,40.0,40,40,0.0,0,0,43.0,,680,680,680,680
Amelia Auto Parts,2,0,0.0,9.0,8,10,20.0,20,20,0.0,0,0,103.0,,1125,563,655,470
