manufacturer,mfg_overall_races,mfg_overall_wins,mfg_overall_win_pct,mfg_overall_top_5,mfg_overall_top_10,mfg_overall_top_20,mfg_overall_cars_raced,mfg_overall_car_win_pct,mfg_overall_avg_start,mfg_overall_avg_finish,mfg_overall_laps_led,mfg_overall_avg_laps_led
'46 Buick,2,0,0.0,0,1,2,2,0.0,6.0,14.5,0,0.0
'46 Chrysler,1,0,0.0,0,1,1,1,0.0,,10.0,0,0.0
'46 Ford,7,0,0.0,2,4,8,12,0.0,30.5,17.17,0,0.0
'46 Hudson,3,0,0.0,0,1,3,5,0.0,18.5,18.4,5,1.0
'46 Plymouth,1,0,0.0,0,0,1,1,0.0,,19.0,0,0.0
'46 Pontiac,1,0,0.0,0,0,1,1,0.0,41.0,19.0,0,0.0
'47 Buick,14,0,0.0,2,4,9,17,0.0,14.7,18.12,97,5.71
'47 Chrysler,5,0,0.0,0,2,4,5,0.0,18.0,13.2,0,0.0
'47 Ford,19,0,0.0,2,5,19,37,0.0,24.18,19.95,0,0.0
'47 Frazer,1,0,0.0,0,0,1,1,0.0,,19.0,0,0.0
'47 Hudson,11,0,0.0,0,1,5,11,0.0,19.0,23.73,0,0.0
'47 Kaiser,2,0,0.0,0,0,1,2,0.0,,19.0,0,0.0
'47 Mercury,2,0,0.0,0,0,1,2,0.0,26.0,20.5,0,0.0
'47 Nash,2,0,0.0,0,0,1,2,0.0,13.0,28.0,0,0.0
'47 Oldsmobile,1,0,0.0,0,0,0,1,0.0,,22.0,0,0.0
'47 Packard,2,0,0.0,0,0,1,2,0.0,,21.5,0,0.0
'47 Plymouth,2,0,0.0,0,0,0,2,0.0,,21.5,0,0.0
'47 Pontiac,3,0,0.0,0,0,0,3,0.0,33.0,29.67,0,0.0
'48 Buick,10,0,0.0,0,0,7,11,0.0,10.17,20.91,0,0.0
'48 Cadillac,3,0,0.0,0,1,2,3,0.0,23.0,20.33,0,0.0
'48 Ford,18,0,0.0,2,6,19,25,0.0,13.67,17.24,0,0.0
'48 Hudson,5,0,0.0,0,0,3,6,0.0,17.67,23.17,0,0.0
'48 Kaiser,2,0,0.0,0,0,1,2,0.0,,26.0,0,0.0
'48 Lincoln,1,0,0.0,0,0,1,1,0.0,,14.0,0,0.0
'48 Mercury,4,0,0.0,0,0,2,4,0.0,11.0,20.5,31,7.75
'48 Nash,4,0,0.0,0,1,5,6,0.0,37.0,20.33,0,0.0
'48 Oldsmobile,2,1,0.5,1,2,2,2,0.5,9.0,5.0,200,100.0
'48 Plymouth,1,0,0.0,0,0,0,1,0.0,,23.0,0,0.0
'48 Pontiac,4,0,0.0,2,3,3,4,0.0,13.0,9.5,0,0.0
'48 Tucker,2,0,0.0,0,0,0,2,0.0,,27.5,0,0.0
'49 Buick,14,0,0.0,1,6,10,17,0.0,19.42,18.76,0,0.0
'49 Cadillac,11,0,0.0,2,7,12,15,0.0,18.88,16.0,185,12.33
'49 Chevrolet,5,0,0.0,3,5,5,6,0.0,12.0,9.83,0,0.0
'49 Chrysler,1,0,0.0,0,0,0,1,0.0,5.0,26.0,0,0.0
'49 Dodge,2,0,0.0,0,0,1,2,0.0,,18.0,0,0.0
'49 Ford,63,0,0.0,7,30,97,141,0.0,20.84,17.4,0,0.0
'49 Hudson,21,0,0.0,1,2,16,26,0.0,19.57,20.35,0,0.0
'49 Kaiser,6,0,0.0,0,1,5,7,0.0,38.0,16.71,0,0.0
'49 Lincoln,31,4,0.12903,9,21,49,78,0.05128,17.66,19.55,486,6.23
'49 Mercury,22,0,0.0,3,11,22,35,0.0,21.63,17.97,0,0.0
'49 Nash,1,0,0.0,0,0,1,1,0.0,44.0,17.0,0,0.0
'49 Oldsmobile,39,5,0.12821,21,39,61,98,0.05102,13.34,18.46,626,6.39
'49 Packard,2,0,0.0,0,0,1,2,0.0,,25.0,0,0.0
'49 Plymouth,65,2,0.03077,20,42,75,95,0.02105,26.16,13.6,385,4.05
'49 Pontiac,3,0,0.0,0,0,3,3,0.0,18.0,16.0,0,0.0
'49 Studebaker,1,0,0.0,0,0,0,1,0.0,,21.0,0,0.0
'50 Buick,5,0,0.0,1,1,2,6,0.0,41.2,29.67,0,0.0
'50 Cadillac,8,0,0.0,2,4,6,8,0.0,7.29,15.63,62,7.75
'50 Chevrolet,11,0,0.0,0,2,8,11,0.0,25.43,16.91,0,0.0
'50 Chrysler,1,0,0.0,0,0,0,1,0.0,33.0,33.0,0,0.0
'50 Dodge,13,0,0.0,1,4,9,14,0.0,24.38,17.21,0,0.0
'50 Ford,109,1,0.00917,15,59,177,273,0.00366,22.22,18.97,89,0.33
'50 Henry J,1,0,0.0,0,1,1,1,0.0,,9.0,0,0.0
'50 Hudson,9,0,0.0,0,0,2,11,0.0,34.0,36.36,0,0.0
'50 Kaiser,2,0,0.0,0,0,1,3,0.0,50.0,36.67,0,0.0
'50 Lincoln,15,0,0.0,2,7,11,23,0.0,24.14,28.3,27,1.17
'50 Mercury,47,4,0.08511,20,40,69,85,0.04706,20.21,14.58,503,5.92
'50 Meteor,1,0,0.0,0,0,1,1,0.0,,14.0,0,0.0
'50 Nash,14,0,0.0,0,2,8,15,0.0,33.86,21.8,0,0.0
'50 Oldsmobile,96,14,0.14583,59,91,199,327,0.04281,14.98,19.13,2929,8.96
'50 Packard,7,0,0.0,0,2,2,7,0.0,19.0,28.86,0,0.0
'50 Plymouth,119,3,0.02521,42,114,227,335,0.00896,20.52,16.41,637,1.9
'50 Pontiac,5,0,0.0,1,2,4,7,0.0,23.0,23.71,0,0.0
'50 Studebaker,4,0,0.0,0,0,2,7,0.0,31.71,34.86,0,0.0
'51 Buick,2,0,0.0,1,2,2,2,0.0,5.0,7.5,0,0.0
'51 Cadillac,3,0,0.0,0,0,1,3,0.0,35.67,30.67,0,0.0
'51 Chevrolet,4,0,0.0,0,1,2,4,0.0,32.5,22.0,0,0.0
'51 Chrysler,20,1,0.05,4,8,17,27,0.03704,19.95,17.15,58,2.15
'51 Dodge,3,0,0.0,0,0,1,3,0.0,51.5,29.33,0,0.0
'51 Ford,90,0,0.0,23,61,133,197,0.0,22.04,19.35,73,0.37
'51 Henry J,34,0,0.0,1,9,26,54,0.0,28.35,21.69,0,0.0
'51 Hudson,120,23,0.19167,72,123,229,367,0.06267,14.32,17.79,3541,9.65
'51 Kaiser,11,0,0.0,0,0,3,12,0.0,33.8,28.33,0,0.0
'51 Lincoln,9,0,0.0,0,3,4,11,0.0,30.0,25.09,0,0.0
'51 Mercury,25,0,0.0,3,8,22,30,0.0,24.92,17.5,0,0.0
'51 Nash,53,1,0.01887,4,14,37,71,0.01408,24.28,23.11,132,1.86
'51 Oldsmobile,87,16,0.18391,55,89,141,207,0.07729,14.34,16.26,3357,16.22
'51 Packard,8,0,0.0,2,5,8,10,0.0,17.17,14.4,0,0.0
'51 Plymouth,110,5,0.04545,46,120,219,291,0.01718,22.06,15.2,330,1.13
'51 Pontiac,6,0,0.0,2,4,4,7,0.0,30.2,26.29,0,0.0
'51 Studebaker,65,3,0.04615,14,26,64,111,0.02703,16.46,20.86,643,5.79
'52 Buick,2,0,0.0,0,0,2,2,0.0,27.0,16.0,0,0.0
'52 Chevrolet,2,0,0.0,0,1,2,2,0.0,16.5,14.0,0,0.0
