manufacturer,season,mfg_season_races,mfg_season_wins,mfg_season_top_5,mfg_season_top_10,mfg_season_top_20,mfg_season_win_pct,mfg_season_cars_raced,mfg_season_car_win_pct,mfg_season_avg_start,mfg_season_avg_finish,mfg_season_avg_laps_led,mfg_season_laps_led
'46 Buick,1949,2,0,0,1,2,0.0,2,0.0,6.0,14.5,0.0,0
'46 Chrysler,1949,1,0,0,1,1,0.0,1,0.0,,10.0,0.0,0
'46 Ford,1949,3,0,1,2,4,0.0,7,0.0,30.5,18.29,0.0,0
'46 Hudson,1949,2,0,0,1,2,0.0,4,0.0,1.0,19.75,1.25,5
'47 Buick,1949,5,0,2,3,5,0.0,7,0.0,18.67,15.0,12.14,85
'47 Chrysler,1949,4,0,0,2,3,0.0,4,0.0,15.0,13.5,0.0,0
'47 Ford,1949,6,0,1,1,10,0.0,21,0.0,23.0,20.95,0.0,0
'47 Hudson,1949,4,0,0,1,3,0.0,4,0.0,20.5,18.75,0.0,0
'47 Kaiser,1949,2,0,0,0,1,0.0,2,0.0,,19.0,0.0,0
'47 Mercury,1949,1,0,0,0,1,0.0,1,0.0,26.0,13.0,0.0,0
'47 Oldsmobile,1949,1,0,0,0,0,0.0,1,0.0,,22.0,0.0,0
'48 Buick,1949,3,0,0,0,3,0.0,4,0.0,9.0,17.5,0.0,0
'48 Cadillac,1949,2,0,0,0,1,0.0,2,0.0,42.0,27.5,0.0,0
'48 Ford,1949,5,0,0,1,6,0.0,8,0.0,16.5,18.88,0.0,0
'48 Kaiser,1949,1,0,0,0,1,0.0,1,0.0,,11.0,0.0,0
'48 Lincoln,1949,1,0,0,0,1,0.0,1,0.0,,14.0,0.0,0
'48 Mercury,1949,2,0,0,0,1,0.0,2,0.0,,20.0,0.0,0
'48 Nash,1949,2,0,0,0,2,0.0,2,0.0,,19.5,0.0,0
'48 Oldsmobile,1949,2,1,1,2,2,0.5,2,0.5,9.0,5.0,100.0,200
'49 Buick,1949,2,0,0,0,1,0.0,5,0.0,21.0,31.0,0.0,0
'49 Cadillac,1949,4,0,2,4,5,0.0,6,0.0,13.0,12.5,30.0,180
'49 Chevrolet,1949,3,0,3,4,4,0.0,4,0.0,12.0,5.5,0.0,0
'49 Ford,1949,7,0,5,14,21,0.0,27,0.0,23.86,12.7,0.0,0
'49 Hudson,1949,3,0,1,1,4,0.0,6,0.0,5.5,16.67,0.0,0
'49 Kaiser,1949,3,0,0,1,3,0.0,4,0.0,38.0,16.5,0.0,0
'49 Lincoln,1949,8,2,3,3,10,0.25,17,0.11765,10.44,18.82,15.18,258
'49 Mercury,1949,6,0,3,6,10,0.0,10,0.0,17.5,9.3,0.0,0
'49 Nash,1949,1,0,0,0,1,0.0,1,0.0,44.0,17.0,0.0,0
'49 Oldsmobile,1949,8,4,14,25,31,0.5,41,0.09756,6.38,12.17,12.51,513
'49 Plymouth,1949,6,1,3,5,6,0.16667,6,0.16667,16.5,5.33,32.67,196
'49 Studebaker,1949,1,0,0,0,0,0.0,1,0.0,,21.0,0.0,0
Kaiser,1949,1,0,1,1,1,0.0,1,0.0,,2.0,0.0,0
Oldsmobile,1949,1,0,0,0,1,0.0,1,0.0,,16.0,0.0,0
–,1949,1,0,0,1,4,0.0,4,0.0,,12.25,0.0,0
'46 Ford,1950,4,0,1,2,4,0.0,5,0.0,,15.6,0.0,0
'46 Plymouth,1950,1,0,0,0,1,0.0,1,0.0,,19.0,0.0,0
'46 Pontiac,1950,1,0,0,0,1,0.0,1,0.0,41.0,19.0,0.0,0
'47 Buick,1950,6,0,0,1,4,0.0,7,0.0,13.0,17.14,1.71,12
'47 Ford,1950,8,0,1,4,8,0.0,11,0.0,27.5,14.36,0.0,0
'47 Hudson,1950,4,0,0,0,0,0.0,4,0.0,29.5,28.0,0.0,0
'47 Mercury,1950,1,0,0,0,0,0.0,1,0.0,,28.0,0.0,0
'47 Nash,1950,2,0,0,0,1,0.0,2,0.0,13.0,28.0,0.0,0
'47 Packard,1950,2,0,0,0,1,0.0,2,0.0,,21.5,0.0,0
'47 Plymouth,1950,2,0,0,0,0,0.0,2,0.0,,21.5,0.0,0
'47 Pontiac,1950,1,0,0,0,0,0.0,1,0.0,39.0,36.0,0.0,0
'48 Buick,1950,2,0,0,0,2,0.0,2,0.0,16.0,16.0,0.0,0
'48 Cadillac,1950,1,0,0,1,1,0.0,1,0.0,4.0,6.0,0.0,0
'48 Ford,1950,4,0,0,1,3,0.0,4,0.0,,17.75,0.0,0
'48 Hudson,1950,1,0,0,0,0,0.0,1,0.0,32.0,33.0,0.0,0
'48 Kaiser,1950,1,0,0,0,0,0.0,1,0.0,,41.0,0.0,0
'48 Mercury,1950,2,0,0,0,1,0.0,2,0.0,11.0,21.0,15.5,31
'48 Nash,1950,1,0,0,1,3,0.0,3,0.0,,11.33,0.0,0
'48 Pontiac,1950,1,0,0,1,1,0.0,1,0.0,,9.0,0.0,0
'48 Tucker,1950,2,0,0,0,0,0.0,2,0.0,,27.5,0.0,0
'49 Buick,1950,1,0,1,1,1,0.0,1,0.0,14.0,5.0,0.0,0
'49 Cadillac,1950,7,0,0,3,7,0.0,9,0.0,22.4,18.33,0.56,5
'49 Chrysler,1950,1,0,0,0,0,0.0,1,0.0,5.0,26.0,0.0,0
'49 Dodge,1950,1,0,0,0,1,0.0,1,0.0,,15.0,0.0,0
'49 Ford,1950,13,0,2,5,22,0.0,33,0.0,23.7,18.7,0.0,0
'49 Hudson,1950,4,0,0,0,1,0.0,4,0.0,17.0,24.0,0.0,0
'49 Kaiser,1950,2,0,0,0,2,0.0,2,0.0,,13.5,0.0,0
'49 Lincoln,1950,16,2,6,16,34,0.125,49,0.04082,18.9,18.43,4.65,228
'49 Mercury,1950,6,0,0,1,2,0.0,8,0.0,16.0,27.0,0.0,0
'49 Oldsmobile,1950,17,1,5,11,21,0.05882,43,0.02326,19.65,23.77,2.63,113
'49 Packard,1950,1,0,0,0,1,0.0,1,0.0,,18.0,0.0,0
'49 Plymouth,1950,18,1,13,22,31,0.05556,35,0.02857,31.58,9.51,5.4,189
'50 Buick,1950,2,0,1,1,2,0.0,3,0.0,24.0,15.33,0.0,0
'50 Cadillac,1950,2,0,1,1,2,0.0,2,0.0,4.5,11.0,16.5,33
'50 Chevrolet,1950,1,0,0,0,1,0.0,1,0.0,,14.0,0.0,0
'50 Ford,1950,15,1,6,15,30,0.06667,50,0.02,37.42,20.1,1.12,56
'50 Henry J,1950,1,0,0,1,1,0.0,1,0.0,,9.0,0.0,0
'50 Hudson,1950,1,0,0,0,0,0.0,3,0.0,55.0,58.0,0.0,0
'50 Kaiser,1950,2,0,0,0,1,0.0,3,0.0,50.0,36.67,0.0,0
'50 Lincoln,1950,4,0,1,2,3,0.0,10,0.0,29.71,40.5,0.0,0
'50 Mercury,1950,17,2,14,22,32,0.11765,43,0.04651,25.92,16.02,5.7,245
'50 Nash,1950,10,0,0,1,6,0.0,11,0.0,18.67,21.0,0.0,0
'50 Oldsmobile,1950,19,9,27,41,69,0.47368,102,0.08824,13.55,15.62,20.52,2093
'50 Plymouth,1950,13,3,15,27,42,0.23077,56,0.05357,21.08,13.54,10.95,613
'50 Pontiac,1950,3,0,0,0,2,0.0,4,0.0,41.0,27.0,0.0,0
'50 Studebaker,1950,1,0,0,0,0,0.0,3,0.0,45.0,51.0,0.0,0
Chevrolet,1950,2,0,0,0,0,0.0,2,0.0,,23.5,0.0,0
Dodge,1950,1,0,0,0,0,0.0,1,0.0,,25.0,0.0,0
Ford,1950,2,0,0,2,7,0.0,13,0.0,1.0,17.85,0.0,0
Hudson,1950,1,0,0,0,0,0.0,1,0.0,,29.0,0.0,0
Lincoln,1950,1,0,0,1,2,0.0,2,0.0,,14.0,0.0,0
Mercury,1950,2,0,0,1,2,0.0,3,0.0,,16.67,0.0,0
Nash,1950,2,0,0,0,1,0.0,2,0.0,5.0,27.0,0.0,0
Oldsmobile,1950,2,0,1,1,2,0.0,4,0.0,2.0,16.5,0.0,0
–,1950,5,0,0,4,14,0.0,16,0.0,,15.19,0.0,0
'46 Hudson,1951,1,0,0,0,1,0.0,1,0.0,36.0,13.0,0.0,0
'47 Buick,1951,3,0,0,0,0,0.0,3,0.0,13.0,27.67,0.0,0
'47 Chrysler,1951,1,0,0,0,1,0.0,1,0.0,21.0,12.0,0.0,0
'47 Ford,1951,5,0,0,0,1,0.0,5,0.0,24.33,28.0,0.0,0
'47 Frazer,1951,1,0,0,0,1,0.0,1,0.0,,19.0,0.0,0
'47 Hudson,1951,3,0,0,0,2,0.0,3,0.0,7.0,24.67,0.0,0
'47 Pontiac,1951,2,0,0,0,0,0.0,2,0.0,27.0,26.5,0.0,0
'48 Buick,1951,5,0,0,0,2,0.0,5,0.0,5.5,25.6,0.0,0
'48 Ford,1951,9,0,2,4,10,0.0,13,0.0,13.1,16.08,0.0,0
'48 Hudson,1951,4,0,0,0,3,0.0,5,0.0,10.5,21.2,0.0,0
'48 Nash,1951,1,0,0,0,0,0.0,1,0.0,37.0,49.0,0.0,0
'48 Pontiac,1951,3,0,2,2,2,0.0,3,0.0,13.0,9.67,0.0,0
'49 Buick,1951,3,0,0,1,2,0.0,3,0.0,18.0,16.67,0.0,0
'49 Ford,1951,13,0,0,5,16,0.0,29,0.0,17.06,20.62,0.0,0
'49 Hudson,1951,2,0,0,0,0,0.0,2,0.0,30.5,43.5,0.0,0
'49 Kaiser,1951,1,0,0,0,0,0.0,1,0.0,,24.0,0.0,0
'49 Lincoln,1951,6,0,0,2,5,0.0,11,0.0,18.5,22.64,0.0,0
'49 Mercury,1951,7,0,0,3,8,0.0,14,0.0,23.55,19.71,0.0,0
'49 Oldsmobile,1951,5,0,1,2,4,0.0,5,0.0,15.8,17.4,0.0,0
'49 Plymouth,1951,15,0,4,10,17,0.0,24,0.0,21.0,14.71,0.0,0
'49 Pontiac,1951,3,0,0,0,3,0.0,3,0.0,18.0,16.0,0.0,0
'50 Buick,1951,3,0,0,0,0,0.0,3,0.0,67.0,44.0,0.0,0
'50 Cadillac,1951,5,0,1,2,3,0.0,5,0.0,9.75,18.8,1.4,7
'50 Chevrolet,1951,6,0,0,1,3,0.0,6,0.0,32.0,19.83,0.0,0
'50 Dodge,1951,3,0,0,0,0,0.0,3,0.0,32.0,28.0,0.0,0
'50 Ford,1951,36,0,8,31,71,0.0,98,0.0,19.33,16.58,0.34,33
'50 Hudson,1951,1,0,0,0,0,0.0,1,0.0,41.0,24.0,0.0,0
'50 Lincoln,1951,6,0,1,3,4,0.0,7,0.0,15.75,18.86,3.86,27
'50 Mercury,1951,16,2,6,11,24,0.125,26,0.07692,13.45,12.31,9.92,258
'50 Nash,1951,1,0,0,0,0,0.0,1,0.0,41.0,30.0,0.0,0
'50 Oldsmobile,1951,38,5,26,39,84,0.13158,145,0.03448,12.91,20.48,5.2,754
'50 Packard,1951,4,0,0,1,1,0.0,4,0.0,19.0,29.0,0.0,0
'50 Plymouth,1951,37,0,20,45,90,0.0,138,0.0,20.58,16.99,0.17,24
'50 Pontiac,1951,2,0,1,2,2,0.0,3,0.0,17.0,19.33,0.0,0
'51 Buick,1951,2,0,1,2,2,0.0,2,0.0,5.0,7.5,0.0,0
'51 Cadillac,1951,2,0,0,0,1,0.0,2,0.0,26.0,31.0,0.0,0
'51 Chevrolet,1951,1,0,0,0,0,0.0,1,0.0,65.0,38.0,0.0,0
'51 Chrysler,1951,7,1,1,2,6,0.14286,8,0.125,21.0,16.38,7.25,58
'51 Dodge,1951,1,0,0,0,0,0.0,1,0.0,78.0,49.0,0.0,0
'51 Ford,1951,32,0,17,35,61,0.0,89,0.0,22.26,19.03,0.65,58
'51 Henry J,1951,23,0,1,6,18,0.0,41,0.0,29.53,22.39,0.0,0
