Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1967,1,Augusta,Augusta Speedway,0.5,paved track,1.0,3.0,43.0,Richard Petty,Plymouth GTX (Petty Enterprises),'66 Plymouth,300.0,1735.0,running,223.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,2.0,6.0,1.0,Paul Lewis,Paul Lewis,'65 Plymouth,297.0,1170.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,3.0,2.0,6.0,David Pearson,Cotton Owens,'66 Dodge,297.0,1050.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,4.0,10.0,48.0,James Hylton,Econo Wash (Bud Hartje),'65 Dodge,296.0,645.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,5.0,11.0,55.0,Tiny Lund,Lyle Stelter,'64 Ford,289.0,605.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,6.0,7.0,59.0,Tom Pistone,Tom Pistone,'64 Ford,278.0,345.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,7.0,22.0,75.0,Earl Brooks,Gene Black,'66 Ford,276.0,275.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,8.0,13.0,64.0,Elmo Langley,Elmo Langley / Henry Woodfield,'64 Ford,276.0,375.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,9.0,18.0,73.0,Curly Mills,Joan Petre,'64 Ford,274.0,230.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,10.0,19.0,25.0,Jabe Thomas,Jeff Handy,'64 Ford,269.0,200.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,11.0,20.0,34.0,Wendell Scott,Wendell Scott,'65 Ford,269.0,125.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,12.0,21.0,94.0,Don Biederman,Ron Stotten,'64 Chevrolet,266.0,100.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,13.0,17.0,97.0,Henley Gray,Henley Gray,'66 Ford,246.0,140.0,engine,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,14.0,8.0,2.0,Bobby Allison,Donald Brackins,'66 Chevrolet,241.0,120.0,running,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,15.0,5.0,14.0,Jim Paschal,Friedkin Enterprises (Tom Friedkin),'66 Plymouth,151.0,125.0,oil pan,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,16.0,9.0,4.0,John Sears,L.G. DeWitt,'64 Ford,146.0,120.0,engine,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,17.0,1.0,29.0,Dick Hutcherson,Holman-Moody Racing,'66 Ford,142.0,175.0,engine,77.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,18.0,16.0,70.0,J.D. McDuffie,J.D. McDuffie,'64 Ford,137.0,150.0,engine,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,19.0,23.0,61.0,Joel Davis,Toy Bolton,'66 Chevrolet,129.0,100.0,differential,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,20.0,14.0,33.0,LeeRoy Yarbrough,–,'66 Chevrolet,59.0,185.0,crash,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,21.0,12.0,19.0,J.T. Putney,J.T. Putney,'66 Chevrolet,55.0,220.0,distributor,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,22.0,15.0,87.0,Neil Castles,Buck Baker,'66 Oldsmobile,47.0,165.0,engine,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,23.0,25.0,9.0,Roy Tyner,Truett Rodgers,'66 Chevrolet,19.0,100.0,engine,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,24.0,24.0,45.0,Buster Sexton,Bill Seifert,'64 Ford,15.0,100.0,ball joint,0.0
1967,1,Augusta,Augusta Speedway,0.5,paved track,25.0,4.0,39.0,Friday Hassler,Red Sharp,'66 Chevrolet,7.0,25.0,engine,0.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,1.0,6.0,115.0,Parnelli Jones,Vel's Ford (Bill Stroppe),'67 Ford,185.0,18720.0,running,126.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,2.0,11.0,99.0,Paul Goldsmith,Nichels Engineering / Plymouth GTX (Ray Nichels),'66 Plymouth,183.0,8600.0,running,6.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,3.0,15.0,11.0,Norm Nelson,Plymouth (Norm Nelson),'67 Plymouth,183.0,5250.0,running,0.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,4.0,12.0,31.0,Don White,Nichels Engineering / Dodge (Ray Nichels),'66 Dodge,183.0,3325.0,running,0.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,5.0,17.0,48.0,James Hylton,Econo Wash (Bud Hartje),'65 Dodge,178.0,2175.0,running,0.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,6.0,29.0,18.0,Bruce Worrell,Motor Supply & Machine / Candy's Lounge (Bob Bristol),'64 Mercury,174.0,1650.0,running,0.0
1967,2,Riverside,Riverside International Raceway,2.7,road course,7.0,21.0,451.0,Scotty Cain,Bill Clinton,'66 Ford,171.0,1400.0,running,0.0
