Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1984,1,Daytona,1.0,1.0,28.0,Cale Yarborough,Hardee's (Harry Ranier),Chevrolet,200.0,160300.0,running,89.0,185.0
1984,1,Daytona,2.0,29.0,3.0,Dale Earnhardt,Wrangler Jeans (Richard Childress),Chevrolet,200.0,81825.0,running,19.0,175.0
1984,1,Daytona,3.0,26.0,11.0,Darrell Waltrip,Budweiser (Junior Johnson),Chevrolet,200.0,68650.0,running,39.0,170.0
1984,1,Daytona,4.0,7.0,12.0,Neil Bonnett,Budweiser (Junior Johnson),Chevrolet,200.0,50000.0,running,1.0,165.0
1984,1,Daytona,5.0,3.0,9.0,Bill Elliott,Coors (Harry Melling),Ford,200.0,58700.0,running,1.0,160.0
1984,1,Daytona,6.0,6.0,33.0,Harry Gant,Skoal Bandit (Hal Needham),Chevrolet,200.0,48755.0,running,1.0,155.0
1984,1,Daytona,7.0,14.0,15.0,Ricky Rudd,Wrangler Jeans (Bud Moore),Ford,199.0,38700.0,running,0.0,146.0
1984,1,Daytona,8.0,9.0,5.0,Geoffrey Bodine,All-Star Racing (Rick Hendrick),Chevrolet,199.0,27650.0,running,0.0,142.0
1984,1,Daytona,9.0,11.0,16.0,David Pearson,Chattanooga Chew (Bobby Hawkins),Chevrolet,198.0,25655.0,running,0.0,138.0
1984,1,Daytona,10.0,33.0,84.0,Jody Ridley,Cumberland Carpet Mills (Robert McEntyre),Chevrolet,198.0,23950.0,running,0.0,134.0
1984,1,Daytona,11.0,13.0,66.0,Phil Parsons,Skoal Bandit (Johnny Hayes),Chevrolet,198.0,18950.0,running,0.0,130.0
1984,1,Daytona,12.0,2.0,44.0,Terry Labonte,Piedmont Airlines (Billy Hagan),Chevrolet,198.0,29845.0,running,9.0,132.0
1984,1,Daytona,13.0,24.0,4.0,Lennie Pond,Burger King / Jim Testa Chevrolet (Larry McClure),Chevrolet,197.0,17150.0,running,0.0,124.0
1984,1,Daytona,14.0,17.0,77.0,Ken Ragan,McCord Gaskets (Marvin Ragan),Chevrolet,197.0,16350.0,running,0.0,121.0
1984,1,Daytona,15.0,40.0,10.0,Sterling Marlin,Kings Inn (Roger Hamby),Chevrolet,197.0,15150.0,running,0.0,118.0
1984,1,Daytona,16.0,19.0,89.0,Dean Roper,Evinrude Motors (Mueller Brothers),Pontiac,196.0,13850.0,running,0.0,115.0
1984,1,Daytona,17.0,41.0,52.0,Jimmy Means,Broadway Motors (Jimmy Means),Chevrolet,196.0,14775.0,running,0.0,112.0
1984,1,Daytona,18.0,20.0,51.0,Greg Sacks,Native Tan (Arnie Sacks),Chevrolet,195.0,12450.0,running,0.0,109.0
1984,1,Daytona,19.0,25.0,97.0,Dean Combs,Best Products (Irv Sanderson),Oldsmobile,194.0,7050.0,running,0.0,106.0
