Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1999,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,1.0,24.0,Jeff Gordon,DuPont Automotive Finishes (Rick Hendrick),Chevrolet,200.0,1172246.0,running,17.0,180.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,4.0,3.0,Dale Earnhardt,GM Goodwrench Service Plus (Richard Childress),Chevrolet,200.0,613659.0,running,0.0,170.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,41.0,28.0,"Kenny Irwin, Jr.",Texaco / Havoline (Yates Racing),Ford,200.0,440584.0,running,0.0,165.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,12.0,31.0,Mike Skinner,Lowe's (Richard Childress),Chevrolet,200.0,350634.0,running,31.0,165.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,13.0,7.0,Michael Waltrip,Philips / Klaussner (Jim Mattei),Chevrolet,200.0,290596.0,running,0.0,155.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,7.0,33.0,Ken Schrader,Skoal U.S. Tobacco Company (Andy Petree),Chevrolet,200.0,186731.0,running,0.0,150.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,24.0,44.0,Kyle Petty,Hot Wheels (Petty Enterprises),Pontiac,200.0,145809.0,running,0.0,146.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,10.0,2.0,Rusty Wallace,Miller Lite (Roger Penske),Ford,200.0,173209.0,running,104.0,152.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,26.0,97.0,Chad Little,John Deere (Jack Roush),Ford,200.0,142884.0,running,0.0,138.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,21.0,98.0,Rick Mast,Sonic (Cale Yarborough),Ford,200.0,139096.0,running,0.0,134.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,25.0,9.0,Jerry Nadeau,Cartoon Network / Dexter's Laboratory (Harry Melling),Ford,200.0,125106.0,running,0.0,130.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,34.0,25.0,"Wally Dallenbach, Jr.",Budweiser (Rick Hendrick),Chevrolet,200.0,128156.0,running,0.0,127.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,14.0,16.0,Kevin Lepage,Primestar / TV Guide (Jack Roush),Ford,200.0,129009.0,running,0.0,124.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,31.0,36.0,Ernie Irvan,M&M's (Nelson Bowers),Pontiac,200.0,123584.0,running,0.0,121.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,27.0,75.0,Ted Musgrave,Remington Arms Camouflage (Butch Mock),Ford,200.0,116571.0,running,0.0,118.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,35.0,71.0,Dave Marcis,RealTree Camouflage (Dave Marcis),Chevrolet,199.0,110709.0,running,0.0,115.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,39.0,26.0,"Johnny Benson, Jr.",Cheerios / Pop Secret (Jack Roush),Ford,199.0,122081.0,running,0.0,112.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,20.0,30.0,Derrike Cope,Jimmy Dean Sausage (Chuck Rider),Pontiac,199.0,110859.0,running,0.0,109.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,15.0,77.0,Robert Pressley,Jasper Engines & Transmissions (Doug Bawel),Ford,199.0,109231.0,running,0.0,106.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,6.0,12.0,Jeremy Mayfield,Mobil 1 (Michael Kranefuss),Ford,199.0,138934.0,running,7.0,108.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,43.0,66.0,Darrell Waltrip,Big Kmart (Travis Carter),Ford,199.0,104946.0,running,0.0,100.0
1999,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,40.0,11.0,Brett Bodine,Paychex (Brett Bodine),Ford,199.0,114309.0,running,0.0,97.0
