Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2017,1,Daytona,1.0,8.0,41.0,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,200.0,running,1.0,48.0,5.0
2017,1,Daytona,2.0,36.0,21.0,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,200.0,running,2.0,44.0,0.0
2017,1,Daytona,3.0,38.0,47.0,A.J. Allmendinger,Kroger ClickList / Stouffer's / Cheez-It (JTG-Daugherty Racing),Chevrolet,200.0,running,2.0,39.0,0.0
2017,1,Daytona,4.0,13.0,43.0,Aric Almirola,Smithfield Foods (Richard Petty Motorsports),Ford,200.0,running,2.0,33.0,0.0
2017,1,Daytona,5.0,33.0,27.0,Paul Menard,Menards / Peak (Richard Childress),Chevrolet,200.0,running,0.0,32.0,0.0
2017,1,Daytona,6.0,15.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,200.0,running,16.0,40.0,0.0
2017,1,Daytona,7.0,26.0,5.0,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,200.0,running,7.0,30.0,0.0
2017,1,Daytona,8.0,30.0,15.0,Michael Waltrip,"Aaron's ""Thanks, Mikey!"" (Jay Robinson)",Toyota,200.0,running,0.0,29.0,0.0
2017,1,Daytona,9.0,25.0,32.0,Matt DiBenedetto,E.J. Wade Foundation (Archie St. Hilaire),Ford,200.0,running,0.0,28.0,0.0
2017,1,Daytona,10.0,11.0,6.0,Trevor Bayne,AdvoCare (Jack Roush),Ford,200.0,running,0.0,27.0,0.0
2017,1,Daytona,11.0,39.0,75.0,Brendan Gaughan,Beard Oil Distributing (Beard Motorsports),Chevrolet,200.0,running,0.0,0.0,0.0
2017,1,Daytona,12.0,16.0,42.0,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,200.0,running,16.0,33.0,0.0
2017,1,Daytona,13.0,35.0,78.0,Martin Truex Jr,Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,200.0,running,2.0,24.0,0.0
2017,1,Daytona,14.0,1.0,24.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,200.0,running,39.0,23.0,0.0
2017,1,Daytona,15.0,22.0,95.0,Michael McDowell,K-LOVE Radio (Leavine Family Racing),Chevrolet,200.0,running,0.0,22.0,0.0
2017,1,Daytona,16.0,27.0,34.0,Landon Cassill,Love's Travel Stops (Bob Jenkins),Ford,199.0,running,0.0,21.0,0.0
2017,1,Daytona,17.0,4.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,199.0,running,0.0,23.0,0.0
