Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2019,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,10.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,207.0,running,30.0,45.0,5.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,31.0,18.0,Kyle Busch,M&M's Chocolate Bar (Joe Gibbs),Toyota,207.0,running,37.0,45.0,1.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,28.0,20.0,Erik Jones,Sport Clips (Joe Gibbs),Toyota,207.0,running,0.0,35.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,4.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,207.0,running,11.0,42.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,34.0,34.0,Michael McDowell,Love's Travel Stops (Bob Jenkins),Ford,207.0,running,0.0,32.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,22.0,13.0,Ty Dillon,GEICO (Germain Racing),Chevrolet,207.0,running,0.0,31.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,26.0,42.0,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,207.0,running,0.0,33.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,21.0,47.0,Ryan Preece,Kroger.com / Breyer's / Velveeta / Tide (JTG-Daugherty Racing),Chevrolet,207.0,running,0.0,29.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,17.0,48.0,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,207.0,running,0.0,30.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,36.0,15.0,Ross Chastain,Royal Teak Collection (Jay Robinson),Chevrolet,207.0,running,0.0,0.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,2.0,88.0,Alex Bowman,Nationwide (Rick Hendrick),Chevrolet,207.0,running,0.0,35.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,35.0,2.0,Brad Keselowski,Discount Tire (Roger Penske),Ford,207.0,running,0.0,32.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,5.0,17.0,Ricky Stenhouse Jr,Fastenal / 3M (Jack Roush),Ford,207.0,running,16.0,30.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,19.0,6.0,Ryan Newman,Oscar Mayer Deli Fresh (Jack Roush),Ford,207.0,running,0.0,23.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,25.0,96.0,Parker Kligerman,Toyota: Proud Sponsor of Team USA (Gaunt Brothers),Toyota,205.0,running,0.0,0.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,20.0,3.0,Austin Dillon,Dow / Childress 50th Anniversary (Richard Childress),Chevrolet,205.0,running,0.0,21.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,18.0,9.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,200.0,crash,0.0,24.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,32.0,32.0,Corey LaJoie,Old Spice (Archie St. Hilaire),Ford,200.0,running,0.0,19.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,38.0,51.0,B.J. McLeod,Jacob Companies (Rick Ware),Chevrolet,200.0,running,0.0,0.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,6.0,14.0,Clint Bowyer,Rush Truck Centers / Mobil 1 (Stewart Haas Racing),Ford,199.0,crash,0.0,17.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,1.0,24.0,William Byron,Axalta (Rick Hendrick),Chevrolet,198.0,crash,44.0,25.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,16.0,40.0,Jamie McMurray,McDonald's / Cessna (Spire Motorsports),Chevrolet,198.0,crash,6.0,15.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,30.0,62.0,Brendan Gaughan,Beard Oil / South Point Hotel & Casino (Beard Motorsports),Chevrolet,197.0,crash,0.0,0.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,27.0,0.0,Landon Cassill,Permatex (StarCom Racing),Chevrolet,196.0,crash,0.0,0.0,0.0
