driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
A.F. Nichols,1,0,0.0,46.0,46,46,46.0,46,46,0.0,0,0,,,200,200,200,200
A.J. Allmendinger,435,3,0.0069,20.37,1,43,20.58,1,43,1.46,634,143,39.61,0.04,30437397,115732,786563,58730
A.J. Cox,2,0,0.0,35.5,32,39,32.5,32,33,0.0,0,0,,,940,470,615,325
A.J. Foyt,129,7,0.05426,13.35,1,41,22.26,1,43,11.77,1518,205,70.84,,705184,5509,51850,150
A.J. Reno,2,0,0.0,46.0,44,48,33.0,21,45,0.0,0,0,100.0,,2430,1215,1670,760
Ace Shearer,1,0,0.0,,,,20.0,20,20,0.0,0,0,,,0,,,
Adam Petty,1,0,0.0,33.0,33,33,40.0,40,40,0.0,0,0,43.0,,38675,38675,38675,38675
Al Bolinger,1,0,0.0,,,,17.0,17,17,0.0,0,0,,,25,25,25,25
Al Bonnell,2,0,0.0,9.0,1,17,16.0,9,23,2.0,4,4,,,150,150,150,150
Al Brand,5,0,0.0,23.8,17,32,29.6,12,44,0.0,0,0,,,855,214,500,55
Al Conroy,1,0,0.0,32.0,32,32,36.0,36,36,0.0,0,0,,,150,150,150,150
Al DeAngelo,1,0,0.0,26.0,26,26,27.0,27,27,0.0,0,0,,,0,,,
Al Disney,1,0,0.0,14.0,14,14,13.0,13,13,0.0,0,0,,,125,125,125,125
Al Elmore,5,0,0.0,26.2,18,33,18.0,15,22,0.0,0,0,109.0,,14420,2884,4785,1265
Al Fleming,1,0,0.0,9.0,9,9,32.0,32,32,0.0,0,0,,,210,210,210,210
Al Funderburk,1,0,0.0,26.0,26,26,10.0,10,10,0.0,0,0,,,50,50,50,50
Al Grinnan,1,0,0.0,23.0,23,23,13.0,13,13,0.0,0,0,,,495,495,495,495
Al Gross,3,0,0.0,8.0,8,8,16.67,4,28,0.0,0,0,,,550,550,550,550
Al Hager,1,0,0.0,40.0,40,40,14.0,14,14,0.0,0,0,,,125,125,125,125
Al Holbert,19,0,0.0,15.95,8,28,24.74,7,40,0.26,5,5,96.5,,45910,2416,8315,855
Al Jacobs,4,0,0.0,17.0,15,19,19.5,12,34,0.0,0,0,,,100,25,25,25
Al Keller,29,2,0.06897,16.28,1,51,16.1,1,56,13.03,378,184,,,6925,301,1000,25
Al Kent,1,0,0.0,,,,13.0,13,13,0.0,0,0,,,25,25,25,25
Al King,1,0,0.0,,,,20.0,20,20,0.0,0,0,,,25,25,25,25
Al Loquasto,6,0,0.0,28.67,21,37,26.0,16,36,0.0,0,0,85.0,,16435,2739,4190,1150
Al Metz,1,0,0.0,,,,11.0,11,11,0.0,0,0,,,25,25,25,25
Al Miller,1,0,0.0,58.0,58,58,40.0,40,40,0.0,0,0,,,0,,,
Al Neal,1,0,0.0,,,,55.0,55,55,0.0,0,0,,,0,,,
Al Neves,2,0,0.0,22.0,17,27,22.5,19,26,0.0,0,0,,,65,33,40,25
Al Pombo,3,0,0.0,10.0,4,14,19.67,16,23,0.0,0,0,,,140,47,50,40
"Al Rudd, Jr.",1,0,0.0,23.0,23,23,32.0,32,32,0.0,0,0,,,740,740,740,740
Al Self,5,0,0.0,31.6,23,43,26.2,10,43,0.0,0,0,,,1750,350,500,100
Al Smith,1,0,0.0,26.0,26,26,24.0,24,24,0.0,0,0,,,25,25,25,25
Al Stearns,1,0,0.0,12.0,12,12,15.0,15,15,0.0,0,0,,,100,100,100,100
Al Straub,2,0,0.0,22.0,19,25,31.0,30,32,0.0,0,0,,,1250,625,950,300
Al Tasnady,4,0,0.0,27.75,14,40,41.25,12,77,0.0,0,0,,,385,193,275,110
Al Terrell,1,0,0.0,26.0,26,26,31.0,31,31,0.0,0,0,,,0,,,
Al Tibbetts,1,0,0.0,,,,27.0,27,27,0.0,0,0,,,0,,,
Al Unser,5,0,0.0,11.8,6,25,12.6,4,29,0.2,1,1,76.0,,15900,3180,6250,1550
"Al Unser, Jr.",1,0,0.0,40.0,40,40,36.0,36,36,0.0,0,0,55.0,,23005,23005,23005,23005
Al Wagoner,1,0,0.0,13.0,13,13,8.0,8,8,0.0,0,0,,,75,75,75,75
Al Watkins,18,0,0.0,20.88,12,38,13.67,8,18,0.0,0,0,,,1510,84,175,25
Al Webber,2,0,0.0,19.5,18,21,13.0,9,17,0.0,0,0,,,150,75,100,50
Al Weber,1,0,0.0,,,,21.0,21,21,0.0,0,0,,,0,,,
Al White,36,0,0.0,21.64,4,48,15.81,6,42,0.0,0,0,,,4425,130,250,35
Alan Kulwicki,207,5,0.02415,12.0,1,41,16.41,1,40,12.98,2686,282,118.45,,3151092,15223,89000,1250
Albert Lemieux,1,0,0.0,17.0,17,17,10.0,10,10,0.0,0,0,,,50,50,50,50
Albert Price,1,0,0.0,28.0,28,28,26.0,26,26,0.0,0,0,,,25,25,25,25
Alex Bowman,305,7,0.02295,18.04,1,43,19.6,1,43,4.29,1307,194,21.22,0.16,6524446,91894,334346,53830
Alex Kennedy,22,0,0.0,40.27,35,43,35.09,25,42,0.0,0,0,8.77,,1587027,75573,107193,51050
Allan Clarke,6,0,0.0,19.0,14,26,15.67,9,29,0.0,0,0,,,200,33,75,25
Allan Grice,2,0,0.0,34.0,32,36,34.5,34,35,0.0,0,0,61.0,,3600,1800,1900,1700
Allan Harley,2,0,0.0,33.0,23,43,34.5,25,44,0.0,0,0,,,150,150,150,150
Allen Adkins,14,0,0.0,13.07,3,66,9.79,2,34,5.64,79,79,,,3670,262,700,50
Allen Franklin,2,0,0.0,31.0,25,37,34.0,30,38,0.0,0,0,,,225,113,125,100
Allen Heath,5,0,0.0,18.33,13,24,25.4,17,30,0.0,0,0,,,100,25,25,25
Allen McMillion,2,0,0.0,18.0,15,21,17.0,13,21,0.0,0,0,,,260,130,150,110
