owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
23XI Racing,214,6,0.02804,14.88,1,40,17.45,1,39,7.14,1528,174,22.36,0.21,0,,,
A.C. Rakestraw,5,0,0.0,30.0,20,43,28.2,8,42,0.0,0,0,,,3165,633,1125,250
A.J. Blackwelder,5,0,0.0,21.2,9,34,23.8,11,36,0.0,0,0,,,625,208,300,125
A.J. Cox,3,0,0.0,31.0,22,39,29.0,22,33,0.0,0,0,,,1815,605,875,325
A.J. Foyt,191,0,0.0,24.51,1,43,28.63,3,43,0.5,95,24,73.95,,6192479,32592,212487,550
A.J. King,34,0,0.0,13.74,2,32,20.59,5,48,2.06,70,24,25.0,,29089,856,2725,135
A.J. Kurten,6,0,0.0,27.17,11,37,26.83,20,36,0.0,0,0,73.33,,7300,1217,1580,750
A.J. Lorenzo,7,0,0.0,19.43,9,31,16.86,7,34,0.0,0,0,,,445,64,120,25
A.J. Parker,1,0,0.0,38.0,38,38,31.0,31,31,0.0,0,0,70.0,,6330,6330,6330,6330
A.L. Bumgarner,46,0,0.0,10.55,1,53,18.83,3,51,4.91,226,136,,,5425,139,400,25
A.T. Mulherin,1,0,0.0,22.0,22,22,29.0,29,29,0.0,0,0,,,0,,,
A.W. Miller,1,0,0.0,74.0,74,74,70.0,70,70,0.0,0,0,,,0,,,
Acey Taylor,4,0,0.0,25.5,19,32,25.75,14,47,0.0,0,0,,,1425,356,550,75
Adele Emerson,3,0,0.0,42.0,39,44,41.0,40,43,0.0,0,0,38.5,,11175,3725,4725,3225
Adelmo Tiezzi,4,0,0.0,36.0,14,73,27.75,13,39,0.0,0,0,,,200,50,100,25
Al Brand,1,0,0.0,26.0,26,26,44.0,44,44,0.0,0,0,,,500,500,500,500
Al Clark,3,0,0.0,14.33,11,21,26.0,20,29,0.0,0,0,85.0,,3285,1095,1745,700
Al Holbert,6,0,0.0,15.0,8,20,26.0,8,38,0.83,5,5,100.5,,14170,2362,8315,895
Al Holz,1,0,0.0,3.0,3,3,25.0,25,25,0.0,0,0,,,110,110,110,110
Al Jacobs,4,0,0.0,17.0,15,19,19.5,12,34,0.0,0,0,,,100,25,25,25
Al Keller,4,0,0.0,15.25,4,40,15.0,2,30,0.0,0,0,,,1300,650,700,600
Al Liberty,7,0,0.0,16.83,10,37,23.0,8,32,0.0,0,0,,,550,92,325,25
Al Liggons,7,0,0.0,11.57,1,22,14.29,3,25,0.0,0,0,,,910,152,450,25
Al McCline,5,0,0.0,30.6,19,43,29.4,12,40,0.0,0,0,,,1750,350,725,100
Al Neal,1,0,0.0,,,,55.0,55,55,0.0,0,0,,,0,,,
Al Neves,4,0,0.0,17.0,11,27,14.5,4,26,0.0,0,0,,,515,129,350,25
Al Rudd,50,0,0.0,17.48,2,40,19.74,4,41,1.88,94,62,108.38,,148930,2979,15350,400
Al Schmidhamer,5,1,0.2,1.0,1,1,7.0,1,11,20.0,100,100,,,1755,351,940,100
Al Self,3,0,0.0,36.67,30,43,36.0,26,43,0.0,0,0,,,1200,400,500,200
Al Straub,3,0,0.0,25.67,19,33,32.33,30,35,0.0,0,0,,,2125,708,950,300
Al Tasnady,2,0,0.0,18.5,14,23,44.5,12,77,0.0,0,0,,,110,110,110,110
Al Wagoner,2,0,0.0,13.0,13,13,6.5,5,8,0.0,0,0,,,275,138,200,75
Al Watkins,5,0,0.0,17.6,13,23,15.2,11,18,0.0,0,0,,,450,90,175,50
Al Wheatley,23,0,0.0,22.29,5,46,18.96,2,54,0.0,0,0,,,3250,155,750,25
Al White,36,0,0.0,21.64,4,48,15.81,6,42,0.0,0,0,,,4425,130,250,35
Alan Aroneck,15,0,0.0,34.93,25,40,33.0,21,40,0.0,0,0,64.0,,75155,5010,17805,1740
"Alan Dillard, Jr.",53,0,0.0,22.57,1,42,27.85,2,42,2.21,117,43,80.43,,661880,12488,47925,4375
Alan Kulwicki,218,5,0.02294,12.08,1,41,16.58,1,40,12.33,2687,282,117.76,,3446092,15808,89000,1550
Alfred McClure,16,0,0.0,25.27,5,41,19.69,5,41,0.0,0,0,99.54,,33060,2066,5815,50
Allan Brooke,9,0,0.0,22.78,9,46,19.89,2,50,0.67,6,6,,,26870,2986,7930,710
Allan Brown,9,0,0.0,23.44,15,33,23.22,18,33,0.0,0,0,,,2635,293,485,200
Allan Clarke,2,0,0.0,24.0,22,26,13.0,11,15,0.0,0,0,,,50,25,25,25
Allan Grice,1,0,0.0,32.0,32,32,34.0,34,34,0.0,0,0,61.0,,1900,1900,1900,1900
Allan Harley,2,0,0.0,33.0,23,43,34.5,25,44,0.0,0,0,,,150,150,150,150
Allan Schlauer,45,0,0.0,23.8,1,40,24.64,9,40,0.0,0,0,,,30290,673,2000,200
Allen Franklin,2,0,0.0,31.0,25,37,34.0,30,38,0.0,0,0,,,225,113,125,100
Allen Heath,6,0,0.0,18.33,13,24,25.33,17,30,0.0,0,0,,,140,28,40,25
Allen McMillion,40,0,0.0,25.33,15,41,15.7,5,32,0.0,0,0,,,8250,223,1030,100
Alton Haddock,2,0,0.0,45.0,17,73,55.0,38,72,0.0,0,0,,,125,63,100,25
Alvin Woodall,1,0,0.0,25.0,25,25,14.0,14,14,0.0,0,0,,,110,110,110,110
Amos Johnson,1,0,0.0,35.0,35,35,13.0,13,13,0.0,0,0,,,1450,1450,1450,1450
Andrew Scott,1,0,0.0,29.0,29,29,18.0,18,18,0.0,0,0,109.0,,2965,2965,2965,2965
Andy Hillenburg,2,0,0.0,34.5,32,37,36.0,32,40,0.0,0,0,55.0,,7520,3760,4120,3400
Andy Petree,322,2,0.00621,20.05,1,43,22.36,1,43,2.27,732,196,97.31,,17602031,54665,313480,14995
Andy Pierce,2,0,0.0,1.0,1,1,25.5,18,33,0.0,0,0,,,25,25,25,25
