Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,1,High Point,Tri-City Speedway,0.5,dirt track,1.0,3.0,42,Lee Petty,Petty Enterprises,'54 Chrysler,200.0,1000.0,running,194.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,2.0,5.0,14,Buck Baker,Frank Christian,'54 Oldsmobile,200.0,650.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,3.0,1.0,92,Herb Thomas,Herb Thomas,'54 Hudson,199.0,450.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,4.0,4.0,51,Gober Sosebee,Cherokee Garage (Gober Sosebee),'54 Oldsmobile,196.0,350.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,5.0,12.0,5,Jimmie Lewallen,Joe Blair,'54 Mercury,196.0,300.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,6.0,13.0,B-29,Dink Widenhouse,Dink Widenhouse,'53 Oldsmobile,192.0,250.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,7.0,11.0,111,Blackie Pitt,Gary Drake,'54 Oldsmobile,189.0,200.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,8.0,8.0,8,Bud Harless,Edgar Clay,'53 Hudson,187.0,150.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,9.0,15.0,19,Clyde Minter,Ken Pace,'50 Mercury,178.0,100.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,10.0,10.0,9,Donald Thomas,Herb Thomas,'53 Hudson,170.0,100.0,running,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,11.0,20.0,71,Ken Pace,Ken Pace,'49 Hudson,151.0,25.0,crash,0.0
1955,1,High Point,Tri-City Speedway,0.5,dirt track,12.0,21.0,11,George Parrish,George Parrish,'53 Studebaker,112.0,25.0,wheel,0.0
