Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1990,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,12.0,10.0,Derrike Cope,Purolator (Bob Whitcomb),Chevrolet,200.0,188150.0,running,5.0,180.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,20.0,1.0,Terry Labonte,Skoal Classic (Richard Jackson),Oldsmobile,200.0,117800.0,running,7.0,175.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,4.0,9.0,Bill Elliott,Coors (Harry Melling),Ford,200.0,114100.0,running,1.0,170.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,19.0,5.0,Ricky Rudd,Levi Garrett (Rick Hendrick),Chevrolet,200.0,77050.0,running,1.0,165.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,2.0,3.0,Dale Earnhardt,GM Goodwrench (Richard Childress),Chevrolet,200.0,109325.0,running,155.0,165.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,10.0,8.0,"Bobby Hillin, Jr.",Snickers (Stavola Brothers),Buick,200.0,63225.0,running,4.0,155.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,38.0,27.0,Rusty Wallace,Miller Genuine Draft (Raymond Beadle),Pontiac,200.0,59682.0,running,0.0,146.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,24.0,30.0,Michael Waltrip,Country Time Drink Mix (Chuck Rider),Pontiac,199.0,46200.0,running,0.0,142.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,3.0,11.0,Geoffrey Bodine,Budweiser (Junior Johnson),Ford,199.0,80950.0,running,8.0,143.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,30.0,15.0,Morgan Shepherd,Motorcraft (Bud Moore),Ford,199.0,44125.0,running,0.0,134.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,31.0,21.0,Neil Bonnett,Citgo (Wood Brothers),Ford,199.0,38400.0,running,0.0,130.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,32.0,66.0,Dick Trickle,TropArtic (Cale Yarborough),Pontiac,199.0,36200.0,running,0.0,127.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,18.0,90.0,Ernie Irvan,Bull's Eye Barbecue Sauce (Junie Donlavey),Ford,199.0,31455.0,running,0.0,124.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,9.0,17.0,Darrell Waltrip,Tide (Rick Hendrick),Chevrolet,199.0,49340.0,running,0.0,121.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,6.0,57.0,Jimmy Spencer,Heinz 57 (Rod Osterlund),Pontiac,199.0,41050.0,running,4.0,123.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,14.0,83.0,Lake Speed,Prestone (Lake Speed),Oldsmobile,199.0,29930.0,running,3.0,120.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,33.0,26.0,Brett Bodine,Quaker State (Kenny Bernstein),Buick,199.0,27160.0,running,0.0,112.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,5.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson),Oldsmobile,199.0,58990.0,running,1.0,114.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,21.0,94.0,Sterling Marlin,Sunoco (Billy Hagan),Oldsmobile,198.0,26070.0,running,0.0,106.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,16.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,198.0,31935.0,running,2.0,108.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,7.0,6.0,Mark Martin,Folger's Coffee (Jack Roush),Ford,198.0,39955.0,running,3.0,105.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,17.0,98.0,Butch Miller,Winn-Dixie (Travis Carter),Chevrolet,198.0,22100.0,running,0.0,97.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,42.0,71.0,Dave Marcis,Big Apple Markets (Dave Marcis),Chevrolet,197.0,22995.0,running,0.0,94.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,22.0,42.0,Kyle Petty,Peak Antifreeze (Felix Sabates),Pontiac,196.0,21640.0,handling,0.0,91.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,23.0,47.0,Jack Pennington,Close Racing (Derick Close),Oldsmobile,196.0,20935.0,running,6.0,93.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,27.0,32.0,Joe Ruttman,Sears Roadhandler Suspension (Chuck Wellings),Pontiac,196.0,22950.0,running,0.0,85.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,26.0,16.0,Larry Pearson,Publix Supermarkets (David Pearson),Buick,195.0,22275.0,running,0.0,82.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,29.0,2.0,Rich Bickle,Aarco (Rich Bickle),Oldsmobile,195.0,19120.0,running,0.0,79.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,37.0,52.0,Jimmy Means,Alka-Seltzer (Jimmy Means),Pontiac,195.0,19090.0,running,0.0,76.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,28.0,75.0,Rick Wilson,Dinner Bell Foods (Rahmoc Enterprises),Oldsmobile,193.0,21260.0,engine,0.0,73.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,31.0,39.0,53.0,Jerry O'Neil,Aroneck Racing (Alan Aroneck),Oldsmobile,193.0,17805.0,running,0.0,70.0
1990,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,41.0,2.0,Eddie Bierschwale,Native Tan (D.K. Ulrich),Oldsmobile,191.0,20125.0,running,0.0,67.0
