Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts
2016,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,11.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,200.0,running,95.0,45.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,28.0,78.0,Martin Truex Jr,Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,200.0,running,2.0,40.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,4.0,18.0,Kyle Busch,M&M's 75th Anniversary (Joe Gibbs),Toyota,200.0,running,19.0,39.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,9.0,4.0,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Chevrolet,200.0,running,0.0,37.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,10.0,19.0,Carl Edwards,Arris (Joe Gibbs),Toyota,200.0,running,0.0,36.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,5.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,200.0,running,0.0,35.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,14.0,42.0,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,200.0,running,0.0,34.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,27.0,7.0,Regan Smith,"Golden Corral / Nikko (Tommy Baldwin, Jr.)",Chevrolet,200.0,running,0.0,33.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,21.0,3.0,Austin Dillon,Dow (Richard Childress),Chevrolet,200.0,running,1.0,33.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,8.0,41.0,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Chevrolet,200.0,running,0.0,31.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,38.0,31.0,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,200.0,running,1.0,31.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,34.0,43.0,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,200.0,running,0.0,29.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,13.0,5.0,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,200.0,running,0.0,28.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,2.0,20.0,Matt Kenseth,Dollar General (Joe Gibbs),Toyota,200.0,running,40.0,28.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,39.0,59.0,Michael McDowell,Thrivent Financial / K-LOVE (Leavine Family Racing),Chevrolet,200.0,running,0.0,26.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,26.0,48.0,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,200.0,running,18.0,26.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,6.0,1.0,Jamie McMurray,McDonald's / Cessna (Chip Ganassi),Chevrolet,200.0,running,0.0,24.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,37.0,27.0,Paul Menard,Peak Antifreeze / Menards (Richard Childress),Chevrolet,200.0,running,0.0,23.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,7.0,21.0,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,200.0,running,0.0,22.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,25.0,2.0,Brad Keselowski,Miller Lite (Roger Penske),Ford,200.0,running,1.0,22.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,30.0,47.0,A.J. Allmendinger,Kroger / Scott Products / Kingsford (JTG-Daugherty Racing),Chevrolet,200.0,running,0.0,20.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,19.0,17.0,Ricky Stenhouse Jr,Lenox Industrial Tools / Fastenal (Jack Roush),Ford,200.0,running,0.0,19.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,24.0,38.0,Landon Cassill,Florida Lottery (Bob Jenkins),Ford,200.0,running,0.0,18.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,35.0,44.0,Brian Scott,Albertson's / Shore Lodge / Ritz Triscuit (Richard Petty Motorsports),Ford,200.0,running,1.0,18.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,12.0,95.0,Ty Dillon,Cheerios / Kroger (Leavine Family Racing),Chevrolet,200.0,running,0.0,0.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,18.0,14.0,Brian Vickers,Bass Pro Shops / Mobil 1 (Stewart Haas Racing),Chevrolet,200.0,running,0.0,15.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,22.0,46.0,Michael Annett,"Pilot / Flying J (Harry Scott, Jr.)",Chevrolet,200.0,running,1.0,15.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,23.0,6.0,Trevor Bayne,AdvoCare (Jack Roush),Ford,200.0,running,0.0,13.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,29.0,23.0,David Ragan,Dr. Pepper (BK Racing),Toyota,200.0,running,1.0,13.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,36.0,83.0,Michael Waltrip,Maxwell House (BK Racing),Toyota,200.0,running,1.0,12.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,31.0,33.0,32.0,Bobby Labonte,C&J Energy Services (Archie St. Hilaire),Ford,200.0,running,1.0,11.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,32.0,13.0,Casey Mears,GEICO (Germain Racing),Chevrolet,199.0,running,0.0,9.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,33.0,31.0,15.0,Clint Bowyer,"5-hour Energy (Harry Scott, Jr.)",Chevrolet,199.0,running,0.0,8.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,34.0,15.0,16.0,Greg Biffle,KFC Nashville Hot Chicken (Jack Roush),Ford,198.0,running,0.0,7.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,35.0,16.0,10.0,Danica Patrick,Nature's Bakery (Stewart Haas Racing),Chevrolet,184.0,crash,0.0,6.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,36.0,3.0,88.0,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,169.0,crash,15.0,6.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,37.0,1.0,24.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,160.0,running,3.0,5.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,38.0,40.0,26.0,"Robert Richardson, Jr.",Stalk It (BK Racing),Toyota,135.0,engine,0.0,3.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,39.0,17.0,34.0,Chris Buescher,Love's Travel Stops (Bob Jenkins),Ford,91.0,crash,0.0,2.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,40.0,20.0,93.0,Matt DiBenedetto,Dustless Blasting (BK Racing),Toyota,91.0,crash,0.0,1.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,1.0,19.0,48.0,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,330.0,running,52.0,44.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,2.0,16.0,88.0,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,330.0,running,0.0,39.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,3.0,39.0,18.0,Kyle Busch,M&M's 75th Anniversary (Joe Gibbs),Toyota,330.0,running,2.0,39.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,4.0,1.0,41.0,Kurt Busch,Monster Energy / Haas Automation (Stewart Haas Racing),Chevrolet,330.0,running,62.0,38.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,5.0,7.0,19.0,Carl Edwards,Arris (Joe Gibbs),Toyota,330.0,running,1.0,37.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,6.0,6.0,4.0,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Chevrolet,330.0,running,131.0,37.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,7.0,9.0,78.0,Martin Truex Jr,Furniture Row / Denver Mattress (Barney Visser),Toyota,330.0,running,34.0,20.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,8.0,24.0,24.0,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,330.0,running,0.0,33.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,9.0,17.0,2.0,Brad Keselowski,Autotrader.com (Roger Penske),Ford,330.0,running,0.0,32.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,10.0,5.0,17.0,Ricky Stenhouse Jr,Ford EcoBoost (Jack Roush),Ford,330.0,running,0.0,31.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,11.0,8.0,3.0,Austin Dillon,Dow (Richard Childress),Chevrolet,330.0,running,0.0,20.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,12.0,26.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,330.0,running,0.0,29.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,13.0,14.0,16.0,Greg Biffle,Roush Performance Parts (Jack Roush),Ford,329.0,running,0.0,28.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,14.0,15.0,13.0,Casey Mears,GEICO (Germain Racing),Chevrolet,329.0,running,0.0,27.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,15.0,27.0,43.0,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,328.0,running,0.0,26.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,16.0,12.0,11.0,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,328.0,running,0.0,25.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,17.0,18.0,14.0,Ty Dillon,Bass Pro Shops / Tracker Boats (Stewart Haas Racing),Chevrolet,328.0,running,0.0,0.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,18.0,21.0,27.0,Paul Menard,Valvoline / Menards (Richard Childress),Chevrolet,328.0,running,0.0,13.0
