owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
A.J. Foyt,1995,1,0,0,0,1,0.0,1,0.0,9.0,18.0,0.0,0
Alex Decuir,1995,9,0,0,0,3,0.0,9,0.0,23.11,26.67,0.0,0
Bell Sadler,1995,2,0,1,1,2,0.0,2,0.0,23.5,9.0,0.0,0
Bill Stroppe,1995,12,0,0,0,5,0.0,12,0.0,22.0,23.25,0.0,0
Bob Blake,1995,1,0,0,0,0,0.0,1,0.0,29.0,32.0,0.0,0
Bob Brevak,1995,11,0,0,0,7,0.0,11,0.0,25.91,19.64,0.0,0
Bob Jones,1995,1,0,0,0,0,0.0,1,0.0,29.0,27.0,0.0,0
Bobby Allison,1995,1,0,0,1,1,0.0,1,0.0,14.0,7.0,0.0,0
Brad Akins / Bob Sutton,1995,20,0,1,5,11,0.0,20,0.0,15.3,19.45,3.3,66
Bruce Griffin,1995,13,0,1,10,11,0.0,13,0.0,8.46,10.62,0.23,3
Cathy Venturini,1995,1,0,0,0,0,0.0,1,0.0,30.0,34.0,0.0,0
"Dale Earnhardt, Inc.",1995,20,6,10,15,21,0.3,22,0.27273,6.27,8.27,42.91,944
Darrell Waltrip,1995,3,0,0,1,1,0.0,3,0.0,14.67,21.33,0.0,0
Earl Barban,1995,3,0,1,2,3,0.0,3,0.0,19.33,9.0,0.67,2
Ernest Winslow,1995,1,0,0,0,0,0.0,1,0.0,22.0,26.0,0.0,0
G.T. Tallas,1995,2,0,0,0,0,0.0,2,0.0,29.0,28.0,0.0,0
Geoffrey Bodine,1995,20,0,8,14,18,0.0,22,0.0,11.55,11.05,7.59,167
Grier Lackey,1995,11,0,2,3,6,0.0,11,0.0,12.27,17.18,6.55,72
Jack Roush,1995,6,0,2,6,6,0.0,6,0.0,9.5,5.83,0.17,1
Jeff Sinden,1995,3,0,0,0,1,0.0,3,0.0,24.67,26.67,0.0,0
Jerry Churchill,1995,9,0,0,1,6,0.0,10,0.0,24.1,18.2,0.0,0
Jerry Glanville,1995,14,0,0,0,7,0.0,14,0.0,23.64,20.64,0.0,0
Jim Herrick,1995,20,1,9,14,17,0.05,20,0.05,11.9,9.5,4.65,93
Jim Rosenblum,1995,12,0,0,0,7,0.0,12,0.0,23.25,20.42,0.0,0
Jim Smith,1995,20,1,5,13,20,0.05,27,0.03704,14.15,13.67,0.78,21
