driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
A.J. Allmendinger,14,0,0.0,2,0.14286,3,0.21429,6,0.42857,20.93,2,34,20.57,2,34,1.21,17,7,168230,12941,27650,7715
A.J. Fike,2,0,0.0,0,0.0,0,0.0,0,0.0,36.0,36,36,30.0,27,33,0.0,0,0,13130,6565,6765,6365
A.J. Foyt,3,0,0.0,0,0.0,0,0.0,1,0.33333,20.67,9,32,26.33,18,33,0.0,0,0,15725,5242,10000,2575
A.J. Russell,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,26.0,26,26,0.0,0,0,7300,7300,7300,7300
Aaron Daniel,11,0,0.0,0,0.0,0,0.0,5,0.45455,30.0,20,36,22.82,15,35,0.0,0,0,109960,9996,14340,7635
Aaron Fike,12,0,0.0,1,0.08333,4,0.33333,10,0.83333,9.92,5,17,13.58,5,24,0.5,6,6,165275,13773,17925,7700
Adam Clarke,2,0,0.0,0,0.0,0,0.0,1,0.5,15.5,15,16,21.5,20,23,0.0,0,0,11730,5865,6165,5565
Adam Edwards,8,0,0.0,0,0.0,0,0.0,0,0.0,31.13,28,36,30.0,28,33,0.0,0,0,69886,8736,11840,6750
Adam Petty,2,0,0.0,0,0.0,1,0.5,2,1.0,24.0,23,25,13.0,10,16,0.0,0,0,14665,7333,8090,6575
Akinori Ogata,14,0,0.0,0,0.0,0,0.0,2,0.14286,30.21,23,38,28.21,17,37,0.07,1,1,47037,11759,14641,7475
Alex Bowman,4,0,0.0,0,0.0,1,0.25,2,0.5,7.5,3,16,17.75,6,29,0.25,1,1,13852,13852,13852,13852
Alex Guenette,3,0,0.0,0,0.0,1,0.33333,1,0.33333,16.67,12,24,23.33,9,36,0.0,0,0,28690,9563,10735,7630
Alex Mueller,2,0,0.0,0,0.0,0,0.0,0,0.0,32.0,31,33,25.5,25,26,0.0,0,0,15055,7528,7915,7140
Alex Tagliani,6,0,0.0,2,0.33333,3,0.5,5,0.83333,8.17,1,21,12.33,2,22,2.5,15,8,43132,21566,26832,16300
Alex Yontz,4,0,0.0,0,0.0,0,0.0,0,0.0,33.25,30,36,31.5,28,36,0.0,0,0,28210,7053,8165,5965
Alon Day,2,0,0.0,0,0.0,0,0.0,0,0.0,28.0,27,29,25.0,24,26,0.0,0,0,0,,,
Amber Cope,1,0,0.0,0,0.0,0,0.0,0,0.0,34.0,34,34,26.0,26,26,0.0,0,0,8025,8025,8025,8025
Andrew Gordon,3,0,0.0,0,0.0,0,0.0,0,0.0,30.33,22,40,29.0,24,32,0.0,0,0,0,,,
Andrew Myers,2,0,0.0,0,0.0,0,0.0,0,0.0,32.0,30,34,32.0,30,34,0.0,0,0,17150,8575,9600,7550
Andrew Ranger,1,0,0.0,1,1.0,1,1.0,1,1.0,6.0,6,6,5.0,5,5,4.0,4,4,17300,17300,17300,17300
Andy Brass,1,0,0.0,0,0.0,0,0.0,0,0.0,34.0,34,34,23.0,23,23,0.0,0,0,2100,2100,2100,2100
Andy Genzman,13,0,0.0,0,0.0,0,0.0,6,0.46154,31.08,19,35,22.92,17,32,0.0,0,0,89105,6854,11540,4150
Andy Hillenburg,4,0,0.0,0,0.0,0,0.0,2,0.5,26.25,14,32,24.5,14,36,0.0,0,0,23540,5885,13765,1650
Andy Houston,121,3,0.02479,27,0.22314,51,0.42149,94,0.77686,14.83,1,34,13.82,1,34,3.45,418,56,1492223,12332,49869,4275
Andy Lally,14,0,0.0,0,0.0,0,0.0,5,0.35714,23.07,4,32,23.64,11,36,0.0,0,0,152390,10885,17935,7405
Andy Michner,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,24.0,24,24,0.0,0,0,10400,10400,10400,10400
Andy Petree,7,0,0.0,0,0.0,1,0.14286,6,0.85714,11.71,3,20,17.57,10,31,1.86,13,13,54590,7799,10015,5890
Andy Ponstein,7,0,0.0,0,0.0,0,0.0,0,0.0,29.71,15,36,28.71,22,36,0.0,0,0,60946,8707,11030,5590
Andy Santerre,1,0,0.0,0,0.0,0,0.0,1,1.0,21.0,21,21,16.0,16,16,0.0,0,0,8595,8595,8595,8595
Andy Seuss,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,32.0,32,32,0.0,0,0,0,,,
Andy Thurman,2,0,0.0,0,0.0,0,0.0,0,0.0,29.0,29,29,24.0,21,27,0.0,0,0,13980,6990,7115,6865
Angela Ruch,18,0,0.0,0,0.0,1,0.05556,3,0.16667,26.67,12,32,24.22,8,30,0.17,3,2,6850,6850,6850,6850
Angie Wilson,4,0,0.0,0,0.0,0,0.0,0,0.0,31.25,27,34,26.75,23,34,0.0,0,0,36210,9053,9190,8740
Anthony Alfredo,13,0,0.0,0,0.0,2,0.15385,8,0.61538,15.62,6,27,18.77,8,32,0.23,3,3,0,,,
