Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2006,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,1.0,6.0,Mark Martin,Scotts (Jack Roush),Ford,102.0,88850.0,running,42.0,190.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,8.0,30.0,Todd Bodine,iRacing.com Motorsport Simulations (Germain Racing),Toyota,102.0,59100.0,running,6.0,175.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,17.0,9.0,Ted Musgrave,Team ASE / Germain Motor Co. (Germain Racing),Toyota,102.0,41650.0,running,6.0,170.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,5.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,102.0,32000.0,running,34.0,165.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,7.0,60.0,Jack Sprague,Con-Way Transportation (Jeff Wyler),Toyota,102.0,23725.0,running,1.0,160.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,15.0,99.0,Erik Darnell,Roush Racing (Jack Roush),Ford,102.0,22375.0,running,0.0,150.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,18.0,8.0,"Bobby Hamilton, Jr.",Tech-Net (Bobby Dotter),Dodge,102.0,20375.0,running,1.0,151.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,12.0,14.0,Rick Crawford,Circle Bar Truck Corral (Tom Mitchell),Ford,102.0,21775.0,running,8.0,147.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,13.0,17.0,David Reutimann,Toyota Tundra (Darrell Waltrip),Toyota,102.0,20075.0,running,0.0,138.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,31.0,10.0,Terry Cook,Power Stroke Diesel (Greg Pollex),Ford,102.0,18725.0,running,0.0,134.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,29.0,4.0,Kevin Hamlin,Dodge Motorsports (Bobby Hamilton Racing),Dodge,102.0,17275.0,running,1.0,135.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,28.0,4.0,Timothy Peters,Dodge Motorsports (Bobby Hamilton Racing),Dodge,102.0,17090.0,running,0.0,127.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,25.0,85.0,Dennis Setzer,Flex Fuel E85 Silverado (David Dollar),Chevrolet,102.0,16990.0,running,0.0,124.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,6.0,11.0,David Starr,Red Horse Racing (Tom DeLoach),Toyota,102.0,16890.0,running,0.0,121.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,10.0,23.0,"Johnny Benson, Jr.",Toyota Certified Used Vehicles (Bill Davis),Toyota,102.0,17290.0,running,0.0,118.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,4.0,20.0,Jon Wood,U.S. Air Force (Wood Brothers),Ford,102.0,14340.0,running,0.0,115.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,35.0,1.0,"Robert Richardson, Jr.","WinYourMortgage.com (Robert Richardson, Sr.)",Dodge,102.0,16485.0,running,0.0,112.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,21.0,13.0,Kerry Earnhardt,ThorSport Racing (Duke Thorson),Chevrolet,102.0,16365.0,running,0.0,109.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,34.0,8.0,Chase Montgomery,BHR2 (Ray Montgomery),Dodge,102.0,16265.0,running,0.0,106.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,30.0,7.0,Sean Murphy,Garden Fresh Chips & Salsa (Gene Christensen),Chevrolet,102.0,16265.0,running,0.0,103.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,26.0,18.0,Bobby Hamilton,Fastenal (Bobby Hamilton Racing),Dodge,101.0,16365.0,running,0.0,100.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,19.0,16.0,Mike Bliss,Xpress Motorsports (David Fuge),Chevrolet,101.0,13715.0,running,0.0,97.0
2006,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,20.0,33.0,"Ron Hornaday, Jr.","Kevin Harvick, Inc. (Kevin Harvick)",Chevrolet,101.0,15840.0,running,0.0,94.0
