Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2023,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,15.0,38.0,Zane Smith,Love's / Speedco (Bob Jenkins),Ford,79.0,running,17.0,40.0,5.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,19.0,15.0,Tanner Gray,Dead On Tools (David Gilliland),Toyota,79.0,running,0.0,38.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,4.0,19.0,Christian Eckes,NAPA AUTOCARE (Bill McAnally),Chevrolet,79.0,running,19.0,50.0,1.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,21.0,9.0,Colby Howard,Grant County Mulch (Codie Rohrbaugh),Chevrolet,79.0,running,2.0,33.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,16.0,23.0,Grant Enfinger,Champion Power Equipment (Maury Gallagher),Chevrolet,79.0,running,0.0,36.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,2.0,98.0,Ty Majeski,Road Ranger (Mike Curb),Ford,79.0,running,2.0,41.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,27.0,16.0,Tyler Ankrum,LiUNA! (Shigeaki Hattori),Toyota,79.0,running,15.0,40.0,1.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,13.0,11.0,Corey Heim,Safelite (David Gilliland),Toyota,79.0,running,0.0,29.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,6.0,88.0,Matt Crafton,Mold-Armor/Menards (Duke Thorson),Ford,79.0,running,2.0,45.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,14.0,35.0,Chase Elliott,Gates Hydraulics (Bill McAnally),Chevrolet,79.0,running,0.0,0.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,26.0,99.0,Ben Rhodes,Clarks Pump-N-Shop (Duke Thorson),Ford,79.0,running,0.0,30.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,9.0,42.0,Carson Hocevar,Worldwide Express (Al Niece),Chevrolet,79.0,running,0.0,30.0,0.0
2023,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,25.0,41.0,Travis Pastrana,Worldwide Express/BRCC (Al Niece),Chevrolet,79.0,running,0.0,0.0,0.0
