season,driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
1995,Terry Labonte,3,1,0.33333,8.67,1,22,2.0,1,3,23.0,69,45,171.67,,48250,16083,27750,7800
1995,"Wally Dallenbach, Jr.",1,0,0.0,3.0,3,3,2.0,2,2,0.0,0,0,170.0,,17050,17050,17050,17050
1995,Ted Musgrave,1,0,0.0,4.0,4,4,4.0,4,4,0.0,0,0,160.0,,4500,4500,4500,4500
1995,Mike Skinner,20,8,0.4,3.85,1,16,4.8,1,27,52.65,1053,200,161.2,,261700,13085,26650,2050
1995,Joe Ruttman,20,2,0.1,6.05,1,17,5.35,1,13,7.7,154,53,154.9,,181475,9074,29850,2800
1995,Todd Bodine,5,0,0.0,10.6,2,26,6.2,4,8,0.2,1,1,149.6,,16325,3265,3900,3050
1995,Dave Marcis,1,0,0.0,10.0,10,10,7.0,7,7,0.0,0,0,146.0,,3200,3200,3200,3200
1995,Derrike Cope,1,0,0.0,14.0,14,14,7.0,7,7,0.0,0,0,146.0,,3085,3085,3085,3085
1995,"Ron Hornaday, Jr.",20,6,0.3,5.2,1,22,7.35,1,19,47.2,944,170,149.3,,243205,12160,31700,2750
1995,"Johnny Benson, Jr.",7,0,0.0,10.14,2,22,8.57,2,17,0.0,0,0,141.57,,45575,6511,21050,2600
1995,Geoffrey Bodine,10,0,0.0,8.1,2,17,8.9,2,26,16.7,167,97,143.6,,79200,7920,16150,1950
1995,Hermie Sadler,2,0,0.0,23.5,12,35,9.0,5,13,0.0,0,0,139.5,,6800,3400,4000,2800
1995,David Green,1,0,0.0,8.0,8,8,9.0,9,9,0.0,0,0,138.0,,3100,3100,3100,3100
1995,Kenny Wallace,3,0,0.0,19.33,8,36,9.0,4,15,0.67,2,2,140.0,,10275,3425,4350,2875
1995,Butch Miller,20,1,0.05,11.9,2,23,9.5,1,35,4.65,93,31,140.6,,124825,6241,25050,1900
1995,Mike Bliss,19,1,0.05263,11.58,3,19,9.53,1,27,1.11,21,21,138.74,,120375,6336,31250,2500
