truck,season,total_trucks_raced,wins,races_participated,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led
Chevrolet,1995,314,16,20,0.8,14.61,1,38,15.81,1,40,7.36,2312
Dodge,1995,47,0,20,0.0,19.11,2,37,19.83,2,37,1.53,72
Ford,1995,247,4,20,0.2,17.3,1,40,15.63,1,39,2.53,624
Chevrolet,1996,385,18,24,0.75,17.2,1,39,17.06,1,36,8.94,3442
Dodge,1996,116,0,24,0.0,15.58,1,36,18.59,2,36,2.44,283
Ford,1996,305,6,24,0.25,18.34,1,40,17.37,1,40,2.66,811
Chevrolet,1997,422,16,26,0.61538,18.5,1,40,17.6,1,40,7.57,3195
Dodge,1997,114,2,26,0.07692,16.25,1,37,17.91,1,36,5.31,605
Ford,1997,363,8,26,0.30769,17.68,1,40,18.21,1,40,2.87,1040
Chevrolet,1998,413,15,27,0.55556,17.24,1,40,17.43,1,39,5.71,2359
Dodge,1998,138,2,27,0.07407,21.38,3,36,18.59,1,36,2.03,280
Ford,1998,387,10,27,0.37037,17.48,1,39,18.28,1,40,5.98,2316
Chevrolet,1999,370,9,25,0.36,19.92,1,37,19.59,1,37,4.86,1797
Dodge,1999,150,4,25,0.16,11.05,1,35,12.87,1,34,7.91,1187
Ford,1999,324,12,25,0.48,17.58,1,36,17.1,1,36,4.31,1397
Chevrolet,2000,382,6,24,0.25,19.91,1,37,19.15,1,36,2.69,1026
Dodge,2000,199,6,24,0.25,15.38,1,34,15.67,1,37,6.67,1327
Ford,2000,248,12,24,0.5,16.48,1,36,17.43,1,36,7.19,1784
Chevrolet,2001,481,7,24,0.29167,19.18,1,36,18.87,1,36,3.59,1727
Dodge,2001,185,15,24,0.625,15.43,1,36,16.42,1,36,10.36,1917
Ford,2001,183,2,24,0.08333,18.5,1,36,18.31,1,36,3.48,636
Chevrolet,2002,399,11,22,0.5,19.99,1,36,19.31,1,36,2.99,1194
Dodge,2002,251,7,22,0.31818,17.13,1,36,17.65,1,36,6.23,1564
Ford,2002,138,4,22,0.18182,16.18,1,36,17.21,1,36,7.09,979
Chevrolet,2003,386,6,25,0.24,20.68,1,36,19.77,1,36,2.2,850
Dodge,2003,269,13,25,0.52,14.97,1,36,15.8,1,36,8.93,2401
Ford,2003,236,6,25,0.24,18.4,1,36,18.86,1,36,4.52,1066
Chevrolet,2004,327,6,25,0.24,20.38,1,36,19.42,1,36,3.85,1258
Dodge,2004,189,11,25,0.44,16.33,1,35,16.2,1,36,8.95,1691
Ford,2004,195,4,25,0.16,20.38,1,36,19.31,1,36,2.13,416
Toyota,2004,181,4,25,0.16,14.58,1,35,17.61,1,36,4.78,865
Chevrolet,2005,303,10,25,0.4,20.51,1,36,18.96,1,36,5.08,1540
Dodge,2005,246,4,25,0.16,22.31,1,36,19.02,1,36,1.83,450
Ford,2005,135,2,25,0.08,18.06,1,35,17.79,1,36,2.67,360
Toyota,2005,216,9,25,0.36,11.62,1,32,17.71,1,36,8.51,1839
Chevrolet,2006,318,5,25,0.2,21.85,1,36,20.99,1,36,3.1,987
Dodge,2006,158,0,25,0.0,23.11,1,36,22.17,2,36,0.42,67
Ford,2006,196,8,25,0.32,14.93,1,36,17.01,1,36,5.44,1067
Toyota,2006,227,12,25,0.48,13.6,1,36,13.67,1,36,8.63,1958
Chevrolet,2007,371,7,25,0.28,21.58,1,36,20.98,1,36,3.62,1344
Dodge,2007,76,0,25,0.0,23.63,7,36,20.83,3,35,0.71,54
Ford,2007,214,5,25,0.2,17.6,1,36,17.26,1,36,3.64,780
Toyota,2007,235,13,25,0.52,12.5,1,36,14.67,1,36,8.06,1895
Chevrolet,2008,330,10,25,0.4,20.16,1,36,19.9,1,36,4.77,1573
Dodge,2008,95,1,25,0.04,22.42,1,36,21.72,1,36,2.49,237
Ford,2008,178,1,25,0.04,17.19,1,36,17.9,1,36,1.98,353
Toyota,2008,266,13,25,0.52,13.98,1,35,14.09,1,36,7.21,1919
