owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
A&M Premier Roofing,1,0,0.0,30.0,30,30,20.0,20,20,0.0,0,0,17.0,0.0,0,,,
A.J. Foyt,5,0,0.0,18.8,9,32,26.4,18,35,0.0,0,0,83.8,,32600,6520,12600,2575
ARS Construction & Record Rack,1,0,0.0,29.0,29,29,26.0,26,26,0.0,0,0,11.0,0.0,0,,,
Al Niece,485,9,0.01856,19.13,1,40,19.11,1,40,2.82,1370,141,16.65,0.09,0,,,
Alex Decuir,9,0,0.0,23.11,11,36,26.67,15,36,0.0,0,0,83.0,,17050,1894,2925,1200
Alexander Meshkin,43,2,0.04651,10.91,1,32,14.14,1,32,13.37,575,127,125.93,,649425,15103,54500,6465
All Out Motorsports,24,0,0.0,23.08,9,34,22.25,13,35,0.17,4,2,15.13,0.0,0,,,
Allen Reyen,10,0,0.0,21.1,14,25,23.1,14,34,0.0,0,0,93.7,,74390,7439,11565,4840
Alvin Thompson,1,0,0.0,29.0,29,29,27.0,27,27,0.0,0,0,82.0,,6190,6190,6190,6190
Andy Belmont,1,0,0.0,35.0,35,35,32.0,32,32,0.0,0,0,67.0,,8200,8200,8200,8200
Andy Campbell,12,0,0.0,27.67,17,38,22.83,9,32,0.0,0,0,94.67,,76880,6407,10765,3850
Andy Hillenburg,79,0,0.0,30.82,13,36,28.09,12,36,0.05,4,1,78.99,,734941,9303,15230,5925
Andy Petree,15,2,0.13333,16.73,3,29,16.2,1,36,5.27,79,34,117.67,,178697,11913,35600,5890
Andy Santerre,1,0,0.0,21.0,21,21,16.0,16,16,0.0,0,0,115.0,,8595,8595,8595,8595
Arne Henriksen,3,0,0.0,33.33,29,40,26.33,23,32,0.0,0,0,84.0,,18025,6008,8850,3825
Arnie Mahlik,1,0,0.0,36.0,36,36,20.0,20,20,0.0,0,0,103.0,,8940,8940,8940,8940
Arthur Shelton,2,0,0.0,23.0,22,24,18.0,13,23,0.0,0,0,109.0,,26660,13330,15430,11230
Auggie Vidovich,3,0,0.0,28.0,25,32,25.67,22,30,0.0,0,0,86.0,,16885,5628,6645,4995
B.A. Wilson,17,0,0.0,20.65,7,39,24.06,12,34,0.0,0,0,90.82,,115610,6801,13375,4625
Backyard Blues Pools,1,0,0.0,31.0,31,31,35.0,35,35,0.0,0,0,2.0,0.0,0,,,
Bell Sadler,2,0,0.0,23.5,12,35,9.0,5,13,0.0,0,0,139.5,,6800,3400,4000,2800
Bernie Cox,1,0,0.0,27.0,27,27,26.0,26,26,0.0,0,0,85.0,,3650,3650,3650,3650
Bert Oostlander,4,0,0.0,33.75,33,34,26.25,18,32,0.0,0,0,84.25,,43935,10984,16440,6715
Bill Alger,27,0,0.0,25.52,14,36,25.11,8,36,0.04,1,1,15.33,0.0,221587,9634,15650,7070
Bill Davis,360,24,0.06667,11.32,1,36,14.68,1,36,11.24,4046,246,124.87,,6281848,17450,89650,5145
Bill Elliott,9,0,0.0,12.67,2,23,16.11,4,31,3.78,34,34,116.56,,71725,7969,13000,3875
Bill Kimmel,1,0,0.0,36.0,36,36,21.0,21,21,0.0,0,0,100.0,,8250,8250,8250,8250
Bill McAnally,203,6,0.02956,14.0,1,36,15.07,1,38,5.59,1134,150,29.28,0.23,73050,9131,17440,6125
Bill Stroppe,18,0,0.0,22.61,12,36,23.17,13,38,0.0,0,0,93.5,,57925,3218,8650,1800
Bill Venturini,5,0,0.0,20.4,16,30,17.8,9,29,0.0,0,0,26.2,,79638,15928,18461,12811
Bill Westbrook,1,0,0.0,25.0,25,25,36.0,36,36,0.0,0,0,55.0,,7785,7785,7785,7785
Billy Ballew,365,20,0.05479,15.53,1,36,15.68,1,38,8.67,3165,145,115.91,,5486120,15030,73275,3700
Billy Boat,31,0,0.0,18.03,8,25,19.19,3,32,0.13,4,4,24.84,,441109,14229,36014,8475
Billy Hess,10,1,0.1,12.1,1,31,22.9,1,35,2.1,21,21,96.7,,101865,10187,42150,5050
Billy Kann,3,0,0.0,34.33,33,36,28.67,25,32,0.0,0,0,77.0,,24365,8122,8490,7450
"Billy Ogle, Jr.",1,0,0.0,29.0,29,29,19.0,19,19,0.0,0,0,106.0,,4100,4100,4100,4100
Blaise Alexander,2,0,0.0,20.5,17,24,11.5,9,14,0.0,0,0,129.5,,12425,6213,7075,5350
Bob Best,11,0,0.0,18.36,8,37,16.18,8,31,3.55,39,39,115.18,,59600,5418,12550,3950
Bob Blake,19,0,0.0,27.47,17,37,23.16,11,36,0.0,0,0,93.53,,114337,6018,10700,1650
Bob Brevak,167,0,0.0,25.13,2,39,21.92,3,36,0.0,0,0,97.54,,1193456,7146,15025,2000
Bob Coffey,2,0,0.0,33.0,32,34,33.0,32,34,0.0,0,0,64.0,,14695,7348,7840,6855
Bob Jenkins,104,8,0.07692,11.17,1,36,12.93,1,37,11.53,1199,133,31.03,0.55,0,,,
Bob Jones,1,0,0.0,29.0,29,29,27.0,27,27,0.0,0,0,82.0,,1950,1950,1950,1950
