Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2005,1,Daytona,1.0,36.0,4.0,Bobby Hamilton,Lufkin Pro Series (Bobby Hamilton Racing),Dodge,100.0,86850.0,running,1.0,185.0
2005,1,Daytona,2.0,21.0,2.0,Jimmy Spencer,Team ASE (Jim Smith),Dodge,100.0,53925.0,running,5.0,175.0
2005,1,Daytona,3.0,6.0,66.0,Todd Bodine,Fiddleback Racing (Tom Eldredge),Toyota,100.0,46115.0,running,16.0,175.0
2005,1,Daytona,4.0,26.0,99.0,Ricky Craven,Superchips (Jack Roush),Ford,100.0,27400.0,running,2.0,165.0
2005,1,Daytona,5.0,31.0,1.0,Ted Musgrave,Mopar (Jim Smith),Dodge,100.0,25050.0,running,0.0,155.0
2005,1,Daytona,6.0,32.0,8.0,Ken Weaver,1-800-4-A-Phone (Gene Christensen),Chevrolet,100.0,20950.0,running,0.0,150.0
2005,1,Daytona,7.0,13.0,29.0,Brad Keselowski,SUBcrews.com (Bob Keselowski),Ford,100.0,19850.0,running,1.0,151.0
2005,1,Daytona,8.0,24.0,75.0,David Starr,Spears Manufacturing (Wayne Spears),Chevrolet,100.0,18850.0,running,0.0,142.0
2005,1,Daytona,9.0,35.0,24.0,Wayne Edwards,Mighty Motorsports (Rob Ferguson),Chevrolet,100.0,17850.0,running,0.0,138.0
2005,1,Daytona,10.0,17.0,23.0,"Johnny Benson, Jr.",TRD (Bill Davis),Toyota,100.0,18300.0,running,5.0,139.0
2005,1,Daytona,11.0,25.0,88.0,Matt Crafton,Menards (Duke Thorson),Chevrolet,99.0,16750.0,crash,0.0,130.0
2005,1,Daytona,12.0,14.0,17.0,David Reutimann,NTN Bearings (Darrell Waltrip),Toyota,99.0,16565.0,crash,1.0,132.0
2005,1,Daytona,13.0,15.0,16.0,Jack Sprague,Chevy Trucks (David Fuge),Chevrolet,99.0,16465.0,crash,0.0,124.0
2005,1,Daytona,14.0,30.0,4.0,Casey Atwood,Bailey's (Bobby Hamilton Racing),Dodge,99.0,16365.0,crash,0.0,121.0
2005,1,Daytona,15.0,20.0,59.0,Robert Pressley,Melling Select Oil Pumps (James Harris),Dodge,99.0,16765.0,crash,6.0,123.0
2005,1,Daytona,16.0,2.0,46.0,Dennis Setzer,Chevy Silverado (David Dollar),Chevrolet,99.0,13815.0,crash,12.0,120.0
2005,1,Daytona,17.0,22.0,2.0,Kelly Sutton,Team Copaxone (Ed Sutton),Chevrolet,99.0,15960.0,running,0.0,112.0
2005,1,Daytona,18.0,34.0,21.0,Mike Harmon,Global Pigeon Supply (Bert Oostlander),Chevrolet,99.0,16440.0,running,0.0,109.0
2005,1,Daytona,19.0,3.0,12.0,Robert Huffman,Toyota Tundra (Darrell Waltrip),Toyota,96.0,15740.0,crash,0.0,106.0
2005,1,Daytona,20.0,12.0,10.0,Terry Cook,Power Stroke Diesel (Greg Pollex),Ford,96.0,16040.0,crash,14.0,108.0
2005,1,Daytona,21.0,9.0,30.0,Chad Chaffin,Toyota Tundra (Germain Racing),Toyota,95.0,14540.0,crash,4.0,105.0
2005,1,Daytona,22.0,5.0,13.0,Tracy Hines,ThorSport Racing (Duke Thorson),Chevrolet,90.0,15440.0,crash,0.0,97.0
2005,1,Daytona,23.0,18.0,62.0,Steve Park,Orleans Hotel & Casino (Michael Gaughan),Dodge,82.0,14065.0,engine,0.0,94.0
2005,1,Daytona,24.0,28.0,7.0,Sean Murphy,Green Light Racing (Gene Christensen),Chevrolet,81.0,14965.0,engine,0.0,91.0
2005,1,Daytona,25.0,16.0,5.0,Mike Skinner,Toyota Tundra (Bill Davis),Toyota,73.0,13865.0,crash,3.0,93.0
2005,1,Daytona,26.0,27.0,6.0,"Ron Hornaday, Jr.",GM Goodwrench (Kevin Harvick),Chevrolet,67.0,12765.0,crash,9.0,90.0
2005,1,Daytona,27.0,33.0,8.0,Deborah Renshaw,BHR2 (Ray Montgomery),Dodge,66.0,13640.0,radiator,0.0,82.0
2005,1,Daytona,28.0,29.0,38.0,Brandon Whitt,Cure Autism Now / McMillin Homes (Tom DeLoach),Toyota,64.0,12540.0,radiator,0.0,79.0
2005,1,Daytona,29.0,4.0,22.0,Bill Lester,Sun Trust (Bill Davis),Toyota,63.0,12440.0,crash,13.0,81.0
2005,1,Daytona,30.0,10.0,77.0,Brendan Gaughan,Jasper Engines & Transmissions (Michael Gaughan),Dodge,61.0,12340.0,crash,3.0,78.0
2005,1,Daytona,31.0,23.0,18.0,Chase Montgomery,Bobby Hamilton Racing (Bobby Hamilton Racing),Dodge,49.0,12290.0,crash,0.0,70.0
2005,1,Daytona,32.0,11.0,50.0,Todd Kluever,Shell ROTELLA T (Jack Roush),Ford,49.0,12240.0,crash,0.0,67.0
2005,1,Daytona,33.0,8.0,19.0,Regan Smith,Xpress Motorsports (David Fuge),Chevrolet,48.0,12190.0,crash,4.0,69.0
2005,1,Daytona,34.0,7.0,9.0,Shigeaki Hattori,AISIN / AISIN AW (Don Arnold),Toyota,48.0,12140.0,crash,0.0,61.0
2005,1,Daytona,35.0,1.0,15.0,Kerry Earnhardt,Kraft Foods / Albertson's (Billy Ballew),Chevrolet,47.0,13590.0,crash,1.0,63.0
2005,1,Daytona,36.0,19.0,14.0,Rick Crawford,Circle Bar Motel & RV Park (Tom Mitchell),Ford,10.0,11990.0,crash,0.0,55.0
2005,2,Fontana,1.0,25.0,62.0,Steve Park,Jasper Engines & Transmissions (Michael Gaughan),Dodge,100.0,57035.0,running,6.0,185.0
2005,2,Fontana,2.0,18.0,4.0,Bobby Hamilton,Bailey's (Bobby Hamilton Racing),Dodge,100.0,37600.0,running,0.0,170.0
