Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
2009,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,3.0,30.0,Todd Bodine,Germain.com (Germain Racing),Toyota,100.0,93750.0,running,25.0,195.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,19.0,51.0,Kyle Busch,Miccosukee Resort & Gaming (Billy Ballew),Toyota,100.0,56495.0,running,18.0,175.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,7.0,25.0,Terry Cook,Cajun Industries (James Harris),Toyota,100.0,38490.0,running,0.0,165.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,14.0,7.0,J.R. Fitzpatrick,Mammoet (Kevin Buckler),Chevrolet,100.0,34980.0,running,17.0,165.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,4.0,33.0,"Ron Hornaday, Jr.",Longhorn Smokeless Tobacco (Kevin Harvick),Chevrolet,100.0,26880.0,running,8.0,135.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,18.0,17.0,Timothy Peters,Strutmasters.com / Hayes Iron & Metal (Steve Stallings),Toyota,100.0,20855.0,running,0.0,150.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,5.0,5.0,Mike Skinner,Exide Batteries (Randy Moss),Toyota,100.0,19805.0,running,4.0,151.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,2.0,88.0,Matt Crafton,Menards / Ideal Door (Duke Thorson),Chevrolet,100.0,20055.0,running,1.0,147.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,1.0,6.0,Colin Braun,Con-way Freight (Jack Roush),Ford,100.0,21055.0,running,15.0,143.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,11.0,81.0,Tayler Malsam,One-Eighty (Randy Moss),Toyota,100.0,19405.0,running,0.0,134.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,17.0,11.0,T.J. Bell,Home4TheHolidays.org (Tom DeLoach),Toyota,100.0,17955.0,running,0.0,130.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,12.0,16.0,Brian Scott,Albertson's (Joe Scott),Toyota,100.0,17780.0,running,4.0,132.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,22.0,32.0,Chase Austin,Griffin Masonry (Arthur Shelton),Chevrolet,100.0,15430.0,running,0.0,124.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,10.0,60.0,Stacy Compton,Wyler.com / Melling Engine Parts (Jeff Wyler),Toyota,100.0,17580.0,running,0.0,121.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,16.0,15.0,Shane Sieg,Phoenix Construction / Red Top Auto Auction (Billy Ballew),Toyota,100.0,18630.0,running,0.0,118.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,30.0,48.0,Bryan Silas,D.R. Horton-America's Home Builder (Andy Hillenburg),Chevrolet,100.0,15230.0,running,1.0,120.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,26.0,24.0,David Starr,Zachry (James Harris),Toyota,100.0,17175.0,running,0.0,112.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,32.0,21.0,Dennis Setzer,GunBroker.com (Dwayne Gaulding),Dodge,100.0,14805.0,running,0.0,109.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,24.0,7.0,Chad McCumbee,ASI Limited (Ken Smith),Chevrolet,98.0,16955.0,running,0.0,106.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,34.0,74.0,Larry Foyt,Blu Frog Energy Drink (Derrike Cope),Dodge,85.0,15305.0,running,0.0,103.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,15.0,14.0,Rick Crawford,Circle Bar Truck Corral (Tom Mitchell),Ford,79.0,16755.0,crash,0.0,100.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,8.0,23.0,Jason White,GunBroker.com (Dwayne Gaulding),Dodge,79.0,14405.0,crash,0.0,97.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,20.0,85.0,Brent Raymer,Brent Raymer Racing (Brent Raymer),Ford,67.0,14280.0,crash,3.0,99.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,6.0,4.0,Ricky Carmichael,Monster Energy Drink (Kevin Harvick),Chevrolet,48.0,16405.0,crash,0.0,91.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,13.0,10.0,James Buescher,International Maxx Force Diesel (Tom Mitchell),Ford,47.0,16305.0,crash,0.0,88.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,21.0,1.0,"Johnny Benson, Jr.",K&N Filters (Tom DeLoach),Toyota,47.0,14955.0,crash,1.0,90.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,9.0,13.0,Johnny Sauter,Fun Sand / Rodney Atkins / Curb Records (Mike Curb),Chevrolet,47.0,16080.0,crash,3.0,87.0
2009,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,28.0,53.0,Justin Hobgood,Georgia Beef Board (William Bishop),Chevrolet,47.0,13730.0,engine,0.0,79.0
