Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts
2016,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,2.0,21.0,Johnny Sauter,Smokey Mountain Herbal Snuff (Maury Gallagher),Chevrolet,100.0,running,12.0,36.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,20.0,81.0,Ryan Truex,Goodyear (Shigeaki Hattori),Toyota,100.0,running,14.0,32.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,23.0,92.0,Parker Kligerman,Valvoline / Advance Auto Parts / BTS Tire (Ricky Benton),Ford,100.0,running,0.0,30.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,22.0,86.0,Brandon Brown,NCaseIt Sports Displays (Jerry Brown),Chevrolet,100.0,running,0.0,29.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,32.0,50.0,Travis Kvapil,MAKE Motorsports (Mark Beaver),Chevrolet,100.0,running,2.0,29.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,21.0,2.0,Tyler Young,Randco / Young's Building Systems (Randy Young),Chevrolet,100.0,running,0.0,27.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,24.0,41.0,Ben Rhodes,Alpha Energy Solutions (Duke Thorson),Toyota,100.0,running,0.0,16.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,18.0,19.0,Daniel Hemric,DrawTite (Brad Keselowski),Ford,100.0,running,0.0,25.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,26.0,14.0,"Scott Lagasse, Jr.",Alert Today Florida / Boy Scouts of America (Bob Newberry),Chevrolet,100.0,running,0.0,0.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,6.0,88.0,Matt Crafton,Menards / Slim Jim (Duke Thorson),Toyota,100.0,running,5.0,24.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,29.0,7.0,Michel Disdier,Pray for Paris (Bobby Dotter),Chevrolet,100.0,running,0.0,22.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,25.0,36.0,Bobby Gerhart,Lucas Oil Racing TV (Mike Mittler),Chevrolet,100.0,running,0.0,0.0
2016,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,13.0,9.0,William Byron,Liberty University (Kyle Busch),Toyota,100.0,running,0.0,20.0
