Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2017,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,1.0,33.0,Kaz Grala,Kiklos Greek Extra Virgin Olive Oil (Maury Gallagher),Chevrolet,100.0,running,14.0,56.0,5.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,22.0,32.0,Austin Wayne Self,AM Technical Solutions (Tim Self),Toyota,100.0,running,0.0,35.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,16.0,29.0,Chase Briscoe,Cooper Standard (Brad Keselowski),Ford,100.0,running,0.0,39.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,19.0,8.0,John H. Nemechek,Fire Alarm Services (Joe Nemechek),Chevrolet,100.0,running,0.0,34.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,9.0,87.0,Joe Nemechek,Fleetwing (Joe Nemechek),Chevrolet,100.0,running,0.0,36.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,25.0,92.0,Regan Smith,Advance Auto / BTS Tire & Wheel / Carquest (Ricky Benton),Ford,100.0,running,0.0,31.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,14.0,24.0,"Scott Lagasse, Jr.",Florida DOT - Alert Today Alive Tomorrow (Maury Gallagher),Chevrolet,100.0,running,0.0,0.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,4.0,4.0,Christopher Bell,JBL.com (Kyle Busch),Toyota,100.0,running,6.0,33.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,27.0,22.0,J.J. Yeley,Legrand / Superior Essex / AM Tech. Solutions (Tim Self),Toyota,100.0,running,0.0,0.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,13.0,51.0,Myatt Snider,Louisiana Hot Sauce (Kyle Busch),Toyota,100.0,running,0.0,30.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,17.0,13.0,Cody Coughlin,Ride TV / JEGS (Duke Thorson),Toyota,100.0,running,0.0,26.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,8.0,27.0,Ben Rhodes,Safelite Auto Glass (Duke Thorson),Toyota,100.0,running,20.0,38.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,3.0,23.0,Spencer Gallagher,Allegiant (Maury Gallagher),Chevrolet,100.0,running,2.0,0.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,7.0,88.0,Matt Crafton,Goof Off / Menards (Duke Thorson),Toyota,99.0,running,1.0,23.0,0.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,2.0,21.0,Johnny Sauter,Allegiant Travel (Maury Gallagher),Chevrolet,99.0,running,52.0,42.0,2.0
2017,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,11.0,98.0,Grant Enfinger,Jive (Mike Curb),Toyota,99.0,running,0.0,21.0,0.0
