Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2019,1,Daytona,1.0,10.0,16.0,Austin Hill,Chiba Toyopet (Shigeaki Hattori),Toyota,111.0,running,39.0,49.0,5.0
2019,1,Daytona,2.0,5.0,98.0,Grant Enfinger,Champion Power Equipment / Curb Records (Mike Curb),Ford,111.0,running,0.0,46.0,0.0
2019,1,Daytona,3.0,23.0,45.0,Ross Chastain,Tru North / Paul Jr. Designs (Al Niece),Chevrolet,111.0,running,0.0,0.0,0.0
2019,1,Daytona,4.0,14.0,20.0,Spencer Boyd,1A Auto (Randy Young),Chevrolet,111.0,running,0.0,39.0,0.0
2019,1,Daytona,5.0,15.0,88.0,Matt Crafton,Ideal Door / Menards (Duke Thorson),Ford,111.0,running,0.0,32.0,0.0
2019,1,Daytona,6.0,32.0,33.0,Josh Reaume,TheChallengesBook.com (Josh Reaume),Chevrolet,111.0,running,1.0,31.0,0.0
2019,1,Daytona,7.0,28.0,44.0,Timothy Peters,Friends of Jaclyn Foundation (Al Niece),Chevrolet,111.0,running,0.0,30.0,0.0
2019,1,Daytona,8.0,30.0,8.0,Angela Ruch,JJ Resources (Joe Nemechek),Chevrolet,111.0,running,2.0,29.0,0.0
2019,1,Daytona,9.0,12.0,22.0,Austin Wayne Self,AM Technical Solutions / Go Texan (Tim Self),Chevrolet,111.0,running,0.0,34.0,0.0
2019,1,Daytona,10.0,7.0,52.0,Stewart Friesen,"Halmar International ""We Build America"" (Chris Larsen)",Chevrolet,108.0,crash,0.0,36.0,0.0
2019,1,Daytona,11.0,29.0,63.0,Bobby Gerhart,Lucas Oil (D.J. Copp),Chevrolet,105.0,crash,0.0,26.0,0.0
2019,1,Daytona,12.0,9.0,68.0,Clay Greenfield,Rackley Roofing (Clay Greenfield),Chevrolet,103.0,crash,0.0,29.0,0.0
2019,1,Daytona,13.0,2.0,17.0,David Gilliland,Fred's / Valvoline (David Gilliland),Toyota,100.0,crash,16.0,31.0,0.0
2019,1,Daytona,14.0,22.0,99.0,Ben Rhodes,Carolina Nut Co. / Menards (Duke Thorson),Ford,98.0,crash,11.0,31.0,0.0
2019,1,Daytona,15.0,13.0,12.0,Gus Dean,LG Air Conditioning Technologies (Randy Young),Chevrolet,98.0,crash,0.0,22.0,0.0
2019,1,Daytona,16.0,19.0,87.0,Joe Nemechek,D.A.B. Constructors (Joe Nemechek),Chevrolet,98.0,crash,0.0,21.0,0.0
2019,1,Daytona,17.0,6.0,2.0,Sheldon Creed,United Rentals / A.M. Ortega (Maury Gallagher),Chevrolet,98.0,crash,21.0,30.0,1.0
2019,1,Daytona,18.0,4.0,18.0,Harrison Burton,Safelite Auto Glass (Kyle Busch),Toyota,89.0,crash,0.0,21.0,0.0
2019,1,Daytona,19.0,3.0,4.0,Todd Gilliland,JBL (Kyle Busch),Toyota,88.0,crash,1.0,22.0,0.0
2019,1,Daytona,20.0,25.0,4.0,Cory Roper,Preferred Industrial Contractors (Roper Racing),Ford,76.0,crash,0.0,17.0,0.0
2019,1,Daytona,21.0,24.0,27.0,Myatt Snider,Louisiana Hot Sauce (Duke Thorson),Ford,62.0,crash,0.0,23.0,0.0
2019,1,Daytona,22.0,1.0,51.0,Christian Eckes,Sirius XM (Kyle Busch),Toyota,61.0,crash,1.0,23.0,0.0
2019,1,Daytona,23.0,17.0,13.0,Johnny Sauter,Tenda Heal (Duke Thorson),Ford,60.0,crash,12.0,24.0,1.0
2019,1,Daytona,24.0,26.0,30.0,Brennan Poole,Bad Boy Mowers (Steven Lane),Toyota,55.0,crash,0.0,15.0,0.0
2019,1,Daytona,25.0,27.0,3.0,Jordan Anderson,Bommarito.com / FVP Parts (Jordan Anderson),Chevrolet,53.0,crash,0.0,12.0,0.0
2019,1,Daytona,26.0,8.0,24.0,Brett Moffitt,Plan B Sales (Maury Gallagher),Chevrolet,53.0,crash,7.0,18.0,0.0
2019,1,Daytona,27.0,16.0,47.0,Chris Fontaine,Glenden Enterprises (Chris Fontaine),Toyota,27.0,crash,0.0,10.0,0.0
2019,1,Daytona,28.0,31.0,49.0,Ray Ciccarelli,CMI Installations (Ray Ciccarelli),Chevrolet,27.0,crash,0.0,9.0,0.0
2019,1,Daytona,29.0,18.0,2.0,Tyler Dippel,D&A Concrete Contractors / Lobas Productions (Randy Young),Chevrolet,23.0,crash,0.0,8.0,0.0
2019,1,Daytona,30.0,20.0,42.0,Robby Lyons,Sunwest Construction / Auto Value (Jeff Finley),Chevrolet,16.0,crash,0.0,7.0,0.0
2019,1,Daytona,31.0,21.0,28.0,Bryan Dauzat,O.B. Builders / FDNY Racing (Jim Rosenblum),Chevrolet,2.0,crash,0.0,6.0,0.0
2019,1,Daytona,32.0,11.0,54.0,Natalie Decker,N29 Technologies (David Gilliland),Toyota,1.0,crash,0.0,5.0,0.0
2019,2,Atlanta,1.0,7.0,51.0,Kyle Busch,Cessna / Beechcraft (Kyle Busch),Toyota,130.0,running,92.0,0.0,0.0
2019,2,Atlanta,2.0,12.0,13.0,Johnny Sauter,Tenda Heal (Duke Thorson),Ford,130.0,running,9.0,49.0,0.0
2019,2,Atlanta,3.0,5.0,98.0,Grant Enfinger,Champion Power Equipment / Curb Records (Mike Curb),Ford,130.0,running,4.0,45.0,0.0
2019,2,Atlanta,4.0,3.0,24.0,Brett Moffitt,Chevrolet Accessories (Maury Gallagher),Chevrolet,130.0,running,0.0,39.0,0.0
2019,2,Atlanta,5.0,6.0,99.0,Ben Rhodes,Carolina Nut Co. (Duke Thorson),Ford,130.0,running,20.0,46.0,0.0
2019,2,Atlanta,6.0,21.0,45.0,Ross Chastain,OEM2 Powered by Tru North (Al Niece),Chevrolet,130.0,running,0.0,0.0,0.0
2019,2,Atlanta,7.0,1.0,16.0,Austin Hill,United Rentals (Shigeaki Hattori),Toyota,130.0,running,0.0,41.0,0.0
2019,2,Atlanta,8.0,2.0,18.0,Harrison Burton,Safelite Auto Glass (Kyle Busch),Toyota,130.0,running,1.0,46.0,0.0
2019,2,Atlanta,9.0,11.0,4.0,Todd Gilliland,Mobil 1 (Kyle Busch),Toyota,130.0,running,0.0,32.0,0.0
2019,2,Atlanta,10.0,14.0,44.0,Timothy Peters,Friends of Jaclyn Foundation (Al Niece),Chevrolet,130.0,running,0.0,27.0,0.0
2019,2,Atlanta,11.0,15.0,2.0,Tyler Dippel,D&A Concrete Contractors / Lobas Productions (Randy Young),Chevrolet,130.0,running,0.0,26.0,0.0
