driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
A.J. Allmendinger,112,17,0.15179,53,0.47321,75,0.66964,96,0.85714,10.03,1,38,9.88,1,39,11.62,1301,73,314853,31485,59325,22775
A.J. Alsup,6,0,0.0,0,0.0,0,0.0,0,0.0,35.17,28,43,36.5,29,42,0.0,0,0,63870,12774,14655,11000
A.J. Fike,7,0,0.0,0,0.0,0,0.0,0,0.0,34.0,25,41,29.14,21,33,0.0,0,0,133950,19136,40925,11765
A.J. Foyt IV,11,0,0.0,0,0.0,0,0.0,0,0.0,30.45,11,37,34.91,21,42,0.0,0,0,314240,28567,53225,15120
A.J. Frank,4,0,0.0,0,0.0,0,0.0,0,0.0,35.0,28,40,37.5,36,39,0.0,0,0,36536,9134,17685,2595
Aaron Dudley,12,0,0.0,0,0.0,0,0.0,9,0.75,22.25,15,29,19.83,12,39,0.0,0,0,4850,404,950,160
Aaron Fike,52,0,0.0,0,0.0,1,0.01923,10,0.19231,25.42,2,43,29.73,8,43,0.0,0,0,997970,19192,45910,10925
Aaron Quine,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,30.0,30,30,0.0,0,0,0,,,
Adam Petty,43,0,0.0,3,0.06977,4,0.09302,11,0.25581,24.67,2,43,26.63,4,43,0.56,24,23,573240,13331,34500,4160
Adrian Fernandez,10,0,0.0,0,0.0,2,0.2,5,0.5,27.5,4,41,24.3,9,43,0.4,4,4,290790,29079,49518,14962
Akinori Ogata,8,0,0.0,0,0.0,0,0.0,0,0.0,36.38,33,40,31.63,25,38,0.0,0,0,0,,,
Al Hylton,18,0,0.0,0,0.0,1,0.05556,9,0.5,21.15,15,30,19.83,7,34,0.0,0,0,5740,319,865,200
Al Turner,1,0,0.0,0,0.0,0,0.0,0,0.0,34.0,34,34,42.0,42,42,0.0,0,0,1000,1000,1000,1000
Alan Kulwicki,6,0,0.0,2,0.33333,3,0.5,5,0.83333,10.83,1,21,13.0,2,34,11.67,70,43,16240,2707,6150,950
Alan Russell,3,0,0.0,0,0.0,0,0.0,0,0.0,37.0,34,39,30.0,25,40,0.0,0,0,15400,5133,10550,2315
Albert Hammond,1,0,0.0,0,0.0,0,0.0,0,0.0,25.0,25,25,21.0,21,21,0.0,0,0,1315,1315,1315,1315
Alex Bowman,55,1,0.01818,7,0.12727,17,0.30909,45,0.81818,10.75,1,38,14.95,1,38,2.05,113,33,976058,23806,85603,13600
Alex Garcia,5,0,0.0,0,0.0,0,0.0,0,0.0,31.8,24,43,29.2,23,36,0.0,0,0,163060,32612,41550,15875
Alex Guenette,7,0,0.0,0,0.0,0,0.0,1,0.14286,30.86,18,38,28.71,15,38,0.0,0,0,0,,,
Alex Kennedy,16,0,0.0,0,0.0,0,0.0,3,0.1875,24.44,15,42,26.5,15,40,0.31,5,5,313443,20896,32323,11725
Alex Labbe,154,0,0.0,1,0.00649,13,0.08442,82,0.53247,21.25,4,37,20.64,4,40,0.18,28,19,0,,,
Alex Popow,1,0,0.0,0,0.0,0,0.0,0,0.0,17.0,17,17,38.0,38,38,0.0,0,0,16424,16424,16424,16424
Alex Tagliani,8,0,0.0,4,0.5,5,0.625,5,0.625,9.0,1,41,13.0,2,38,11.5,92,38,276963,39566,54975,24825
Allan Powell,29,0,0.0,0,0.0,6,0.2069,11,0.37931,23.19,7,40,21.66,6,40,0.03,1,1,24960,861,3630,200
Allen Applegate,10,0,0.0,0,0.0,0,0.0,7,0.7,22.86,16,26,18.4,11,26,0.0,0,0,3635,364,700,260
Alli Owens,1,0,0.0,0,0.0,0,0.0,0,0.0,38.0,38,38,36.0,36,36,0.0,0,0,0,,,
Alon Day,2,0,0.0,0,0.0,0,0.0,1,0.5,31.0,22,40,21.5,13,30,0.0,0,0,0,,,
Alx Danielsson,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,37.0,37,37,0.0,0,0,11635,11635,11635,11635
Amber Cope,2,0,0.0,0,0.0,0,0.0,0,0.0,42.5,42,43,29.0,26,32,0.0,0,0,29593,14797,17108,12485
Andre Castro,3,0,0.0,0,0.0,0,0.0,0,0.0,28.67,28,30,32.0,23,37,0.0,0,0,0,,,
Andrew Ranger,17,0,0.0,1,0.05882,2,0.11765,5,0.29412,21.0,9,39,26.59,3,41,0.65,11,10,378536,22267,63643,9900
Andy Belmont,5,0,0.0,0,0.0,0,0.0,0,0.0,37.4,33,43,31.4,21,42,0.0,0,0,28095,5619,16460,1165
Andy Hillenburg,9,0,0.0,1,0.11111,1,0.11111,2,0.22222,31.56,13,43,24.78,3,43,0.0,0,0,98335,10926,44825,1425
Andy Houston,7,0,0.0,0,0.0,1,0.14286,4,0.57143,26.14,7,37,21.0,9,36,0.71,5,5,112845,16121,39425,3295
Andy Kirby,28,0,0.0,0,0.0,1,0.03571,4,0.14286,33.07,5,41,31.43,6,42,0.0,0,0,353105,12611,29400,6050
Andy Lally,23,0,0.0,4,0.17391,9,0.3913,16,0.69565,18.09,6,33,16.78,5,37,0.57,13,7,158634,26439,34270,21550
Andy Petree,5,0,0.0,0,0.0,0,0.0,2,0.4,22.8,18,27,24.2,16,36,0.0,0,0,4035,807,2130,360
Andy Pilgrim,2,0,0.0,0,0.0,0,0.0,2,1.0,19.0,14,24,15.0,15,15,0.0,0,0,54000,27000,35700,18300
Andy Ponstein,26,0,0.0,0,0.0,0,0.0,0,0.0,33.54,16,43,34.73,21,42,0.0,0,0,423585,16292,23375,11240
Andy Santerre,68,1,0.01471,3,0.04412,7,0.10294,30,0.44118,24.28,1,43,23.63,1,43,1.35,92,72,808386,11888,66575,2700
Angela Ruch,14,0,0.0,0,0.0,0,0.0,0,0.0,37.64,34,42,32.79,25,43,0.0,0,0,99484,14212,21178,9060
Anthony Alfredo,99,0,0.0,4,0.0404,20,0.20202,60,0.60606,20.21,1,38,19.17,3,38,0.61,60,18,0,,,
Anthony Gandon,2,0,0.0,0,0.0,0,0.0,0,0.0,36.5,34,39,30.0,28,32,0.0,0,0,29645,14823,18720,10925
Anthony Kumpen,6,0,0.0,0,0.0,0,0.0,1,0.16667,31.83,29,35,23.83,16,28,0.0,0,0,67014,22338,27523,18298
Anthony Lazzaro,11,0,0.0,0,0.0,0,0.0,1,0.09091,26.64,5,43,29.91,16,43,0.0,0,0,103915,9447,16950,6600
Antonio Perez,7,0,0.0,0,0.0,0,0.0,1,0.14286,23.29,8,40,34.0,13,42,0.0,0,0,188126,26875,41190,15135
Aric Almirola,109,5,0.04587,17,0.15596,42,0.38532,86,0.78899,14.21,1,43,15.1,1,43,5.81,633,148,2147047,25259,66823,12565
Ashton Lewis,226,0,0.0,12,0.0531,37,0.16372,117,0.5177,22.55,1,42,21.36,2,43,0.63,143,44,4716930,20871,53965,1675
Auggie Vidovich,21,0,0.0,0,0.0,0,0.0,3,0.14286,27.24,11,42,28.57,15,43,0.14,3,3,528842,25183,33660,16750
Austin Cameron,3,0,0.0,0,0.0,0,0.0,0,0.0,40.0,38,42,38.33,35,42,0.0,0,0,37925,12642,16390,8435
Austin Cindric,133,13,0.09774,62,0.46617,89,0.66917,110,0.82707,6.61,1,31,10.71,1,40,18.37,2443,151,0,,,
Austin Dillon,154,9,0.05844,65,0.42208,107,0.69481,133,0.86364,8.55,1,42,9.82,1,38,12.04,1854,207,3433774,35039,100011,13735
Austin Green,3,0,0.0,1,0.33333,2,0.66667,3,1.0,24.33,22,26,8.67,4,15,0.0,0,0,0,,,
Austin Hill,95,8,0.08421,35,0.36842,58,0.61053,77,0.81053,11.32,1,40,11.77,1,37,8.45,803,103,0,,,
Austin Theriault,6,0,0.0,0,0.0,0,0.0,2,0.33333,25.67,15,40,24.5,15,37,0.0,0,0,58945,19648,22825,17725
B.J. McLeod,171,0,0.0,0,0.0,0,0.0,39,0.22807,28.01,12,40,25.88,11,40,0.01,2,1,215196,19563,30042,14397
