Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1987,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,5.0,15.0,Geoffrey Bodine,Levi Garrett (Rick Hendrick),Chevrolet,120.0,33147.0,running,30.0,180.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,11.0,17.0,Darrell Waltrip,Tide (Darrell Waltrip),Chevrolet,120.0,20747.0,running,0.0,170.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,12.0,21.0,Larry Pearson,Chattanooga Chew (David Pearson),Chevrolet,120.0,32497.0,running,0.0,165.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,27.0,0.0,Brett Bodine,Thomas Brothers Country Ham / Exxon (Howard Thomas),Oldsmobile,120.0,25047.0,running,0.0,160.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,9.0,77.0,Morgan Shepherd,Shepherd Racing (Morgan Shepherd),Buick,120.0,10372.0,running,2.0,155.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,18.0,31.0,Mark Martin,Fat Boys Bar-B-Q (Bruce Lawmaster),Ford,120.0,7250.0,running,0.0,150.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,38.0,75.0,Brad Teague,Food Country USA (Charlie Henderson),Pontiac,120.0,15147.0,running,0.0,146.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,31.0,11.0,Jack Ingram,Skoal Bandit (Jack Ingram),Chevrolet,120.0,14997.0,running,3.0,142.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,33.0,22.0,Rick Mast,"A.G. Dillard (Alan Dillard, Jr.)",Pontiac,120.0,10467.0,running,0.0,138.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,30.0,67.0,Rodney Combs,J & J Steel,Pontiac,119.0,4250.0,running,0.0,134.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,19.0,2.0,Kenny Burks,G.M. Ladd & Sons (J.C. Burks),Pontiac,119.0,8350.0,running,0.0,130.0
1987,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,24.0,12.0,Ed Berrier,Berrier Racing (Max Berrier),Pontiac,119.0,7575.0,running,0.0,127.0
