Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2022,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,2.0,21.0,Austin Hill,Bennett Transportation / United Rentals (Richard Childress),Chevrolet,120.0,running,23.0,47.0,5.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,11.0,16.0,A.J. Allmendinger,Nutrien Ag Solutions (Matthew Kaulig),Chevrolet,120.0,running,18.0,51.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,14.0,9.0,Noah Gragson,Bass Pro Shop / TrueTimber / BRCC (JR Motorsports),Chevrolet,120.0,running,12.0,40.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,10.0,98.0,Riley Herbst,Monster Energy (Stewart Haas Racing),Ford,120.0,running,0.0,42.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,17.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,120.0,running,0.0,42.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,4.0,2.0,Sheldon Creed,Whelen Engineering (Richard Childress),Chevrolet,120.0,running,0.0,31.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,16.0,23.0,Anthony Alfredo,Dude Wipes (Chris Our),Chevrolet,120.0,running,0.0,30.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,19.0,39.0,Ryan Sieg,CMR Construction & Roofing / A-Game (Rod Sieg),Ford,120.0,running,0.0,41.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,31.0,36.0,Josh Bilicki,Zeigler Auto Group / Elliott's Custom Trailer (Mario Gosselin),Chevrolet,120.0,running,10.0,28.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,13.0,68.0,Brandon Brown,TradeTheChain.com (Jerry Brown),Chevrolet,120.0,running,12.0,34.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,15.0,54.0,Ty Gibbs,Monster Energy (Joe Gibbs),Toyota,120.0,running,3.0,35.0,0.0
2022,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,38.0,26.0,Ryan Truex,Circle B Diecast (Sam Hunt),Toyota,120.0,running,0.0,25.0,0.0
