Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1992,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,4.0,3.0,Dale Earnhardt,"GM Goodwrench (Dale Earnhardt, Inc.)",Chevrolet,120.0,38068.0,running,100.0,180.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,9.0,4.0,Ernie Irvan,Kodak Film (Ernie Irvan),Chevrolet,120.0,26768.0,running,3.0,170.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,6.0,27.0,Ward Burton,"Gwaltney's Big 8's (Alan Dillard, Jr.)",Chevrolet,120.0,35607.0,running,2.0,165.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,17.0,45.0,Jimmy Spencer,Moly Black Gold (Mike Laughlin),Chevrolet,120.0,14300.0,running,0.0,160.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,25.0,59.0,Robert Pressley,Alliance Training Centers (Daniel Welch),Oldsmobile,120.0,27782.0,running,0.0,155.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,15.0,0.0,Rick Mast,Skoal Classic (Richard Jackson),Oldsmobile,120.0,10400.0,running,0.0,150.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,36.0,60.0,Mark Martin,Winn-Dixie (Jack Roush),Ford,120.0,8650.0,running,0.0,146.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,5.0,17.0,Darrell Waltrip,Western Auto (Darrell Waltrip),Chevrolet,120.0,8000.0,running,0.0,142.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,11.0,15.0,Ken Schrader,AC Delco (Ken Schrader),Chevrolet,120.0,8218.0,running,0.0,138.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,16.0,31.0,Steve Grissom,Roddenbery's Foods (Wayne Grissom),Oldsmobile,120.0,19007.0,running,0.0,134.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,8.0,11.0,Bill Elliott,Budweiser (Charles Hardy),Ford,120.0,6300.0,running,0.0,130.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,19.0,28.0,Davey Allison,Havoline (Davey Allison),Ford,120.0,6000.0,running,0.0,127.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,13.0,99.0,Ricky Craven,DuPont (Bill Papke),Chevrolet,120.0,13100.0,running,0.0,124.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,42.0,82.0,Jeff Barry,Townsend Race Cars (Jeff Barry),Oldsmobile,120.0,8950.0,running,0.0,121.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,31.0,24.0,Troy Beebe,Banana Boat (Marvin Thackston),Ford,120.0,10814.0,running,3.0,118.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,3.0,36.0,Kenny Wallace,Dura Pine by Cox (Rusty Wallace),Pontiac,120.0,9357.0,running,0.0,115.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,27.0,22.0,Ed Berrier,Tri-Ad Screen Printing / Greased Lightning (Three Star Motorsports),Oldsmobile,120.0,10157.0,running,0.0,112.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,32.0,16.0,Jeff Green,31-W Insulation (Wayne Day),Chevrolet,120.0,5589.0,running,0.0,109.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,12.0,48.0,Jack Sprague,Staff America (Fred Turner),Oldsmobile,119.0,4700.0,running,0.0,106.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,18.0,8.0,Jeff Burton,TIC Financial Systems (Fil Martocci),Oldsmobile,115.0,11332.0,running,0.0,103.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,37.0,92.0,Hut Stricklin,Stanley Tools (Mac Martin),Chevrolet,114.0,4500.0,running,0.0,100.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,21.0,75.0,Butch Miller,Food Country USA (Charlie Henderson),Oldsmobile,111.0,9157.0,engine,0.0,97.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,44.0,1.0,Jeff Gordon,Baby Ruth (Bill Davis),Ford,102.0,8957.0,engine,0.0,94.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,30.0,34.0,Todd Bodine,Hungry Jack (Frank Cicci),Chevrolet,101.0,9957.0,running,0.0,91.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,1.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,92.0,5518.0,crash,3.0,88.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,41.0,6.0,Tommy Houston,Rose's Stores / Havoline (Tommy Houston),Oldsmobile,92.0,7757.0,running,2.0,85.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,34.0,25.0,Jimmy Hensley,Beverley Racing (Don Beverley),Oldsmobile,90.0,9207.0,crash,0.0,82.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,38.0,20.0,Mike Wallace,Daily's 1st Ade (Dick Moroso),Oldsmobile,90.0,3900.0,running,0.0,79.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,35.0,91.0,Clifford Allison,Mac Tools (Barry Owen),Oldsmobile,87.0,3825.0,engine,0.0,76.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,29.0,44.0,Bobby Labonte,Slim Jim (Bob Labonte),Chevrolet,81.0,8457.0,crash,0.0,73.0
