Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2019,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,3.0,1.0,Michael Annett,American Heart Association / Flying J (JR Motorsports),Chevrolet,120.0,running,45.0,42.0,5.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,15.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,120.0,running,0.0,39.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,16.0,19.0,Brandon Jones,Juniper Networks (Joe Gibbs),Toyota,120.0,running,8.0,49.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,8.0,39.0,Ryan Sieg,Larry's Hard Lemonade (Rod Sieg),Chevrolet,120.0,running,0.0,37.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,13.0,22.0,Austin Cindric,Money Lion (Roger Penske),Ford,120.0,running,2.0,41.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,11.0,20.0,Christopher Bell,Rheem (Joe Gibbs),Toyota,120.0,running,4.0,39.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,21.0,93.0,Jeff Green,Night Owl Contractors / C2 Freight Resources (Rod Sieg),Chevrolet,120.0,running,0.0,30.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,14.0,23.0,John H. Nemechek,Fire Alarm Services (Maury Gallagher),Chevrolet,120.0,running,0.0,37.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,1.0,2.0,Tyler Reddick,Pinnacle Financial Partners (Richard Childress),Chevrolet,120.0,running,4.0,33.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,7.0,8.0,Chase Elliott,Aftershokz (JR Motorsports),Chevrolet,120.0,running,0.0,0.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,18.0,9.0,Noah Gragson,Switch (JR Motorsports),Chevrolet,120.0,running,0.0,31.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,10.0,98.0,Chase Briscoe,Nutri Chomps / Chewy.com (Fred Biagi),Ford,120.0,running,0.0,25.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,6.0,10.0,Ross Chastain,Nutrien Ag Solutions (Matthew Kaulig),Chevrolet,120.0,running,23.0,0.0,1.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,38.0,0.0,Cole Custer,Jacob Companies (Stewart Haas Racing),Ford,120.0,running,0.0,23.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,2.0,18.0,Jeffrey Earnhardt,iK9 (Joe Gibbs),Toyota,120.0,running,29.0,35.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,30.0,35.0,Joey Gase,Medic Air Systems / AGRI Supply / Eternal Fan (Carl Long),Toyota,120.0,running,0.0,21.0,0.0
2019,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,4.0,11.0,Justin Haley,Leaf Filter Gutter Protection (Matthew Kaulig),Chevrolet,120.0,running,3.0,31.0,1.0
