owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
"",447,0,0.0,38,242,998,1688,0.0,21.51,20.41,48,0.03
23XI Racing,130,6,0.04615,41,71,142,229,0.0262,14.95,17.27,1663,7.26
A.C. Rakestraw,5,0,0.0,0,1,2,5,0.0,30.0,28.2,0,0.0
A.J. Blackwelder,5,0,0.0,0,0,2,5,0.0,21.2,23.8,0,0.0
A.J. Cox,3,0,0.0,0,0,0,3,0.0,31.0,29.0,0,0.0
A.J. Foyt,189,0,0.0,8,16,42,191,0.0,24.51,28.63,95,0.5
A.J. King,34,0,0.0,3,15,19,34,0.0,13.74,20.59,70,2.06
A.J. Kurten,6,0,0.0,0,0,1,6,0.0,27.17,26.83,0,0.0
A.J. Lorenzo,7,0,0.0,0,3,5,7,0.0,19.43,16.86,0,0.0
A.J. Parker,1,0,0.0,0,0,0,1,0.0,38.0,31.0,0,0.0
A.L. Bumgarner,46,0,0.0,2,12,29,46,0.0,10.55,18.83,226,4.91
A.T. Mulherin,1,0,0.0,0,0,0,1,0.0,22.0,29.0,0,0.0
A.W. Miller,1,0,0.0,0,0,0,1,0.0,74.0,70.0,0,0.0
Acey Taylor,4,0,0.0,0,0,2,4,0.0,25.5,25.75,0,0.0
Adele Emerson,2,0,0.0,0,0,0,3,0.0,42.0,41.0,0,0.0
Adelmo Tiezzi,4,0,0.0,0,0,1,4,0.0,36.0,27.75,0,0.0
Al Brand,1,0,0.0,0,0,0,1,0.0,26.0,44.0,0,0.0
Al Clark,3,0,0.0,0,0,1,3,0.0,14.33,26.0,0,0.0
Al Holbert,6,0,0.0,0,1,2,6,0.0,15.0,26.0,5,0.83
Al Holz,1,0,0.0,0,0,0,1,0.0,3.0,25.0,0,0.0
Al Jacobs,4,0,0.0,0,0,3,4,0.0,17.0,19.5,0,0.0
Al Keller,4,0,0.0,1,2,2,4,0.0,15.25,15.0,0,0.0
Al Liberty,7,0,0.0,0,1,2,7,0.0,16.83,23.0,0,0.0
Al Liggons,7,0,0.0,1,2,6,7,0.0,11.57,14.29,0,0.0
Al McCline,5,0,0.0,0,0,1,5,0.0,30.6,29.4,0,0.0
Al Neal,1,0,0.0,0,0,0,1,0.0,,55.0,0,0.0
Al Neves,3,0,0.0,1,2,3,4,0.0,17.0,14.5,0,0.0
Al Rudd,49,0,0.0,2,18,24,50,0.0,17.48,19.74,94,1.88
Al Schmidhamer,5,1,0.2,2,3,5,5,0.2,1.0,7.0,100,20.0
Al Self,3,0,0.0,0,0,0,3,0.0,36.67,36.0,0,0.0
Al Straub,2,0,0.0,0,0,0,3,0.0,25.67,32.33,0,0.0
Al Tasnady,2,0,0.0,0,0,1,2,0.0,18.5,44.5,0,0.0
Al Wagoner,2,0,0.0,1,2,2,2,0.0,13.0,6.5,0,0.0
Al Watkins,5,0,0.0,0,0,5,5,0.0,17.6,15.2,0,0.0
Al Wheatley,21,0,0.0,3,7,14,23,0.0,22.29,18.96,0,0.0
Al White,36,0,0.0,0,7,27,36,0.0,21.64,15.81,0,0.0
Alan Aroneck,14,0,0.0,0,0,0,15,0.0,34.93,33.0,0,0.0
"Alan Dillard, Jr.",53,0,0.0,1,4,12,53,0.0,22.57,27.85,117,2.21
Alan Kulwicki,218,5,0.02294,38,77,137,218,0.02294,12.08,16.58,2687,12.33
Alfred McClure,16,0,0.0,1,2,9,16,0.0,25.27,19.69,0,0.0
Allan Brooke,9,0,0.0,2,2,6,9,0.0,22.78,19.89,6,0.67
Allan Brown,9,0,0.0,0,0,2,9,0.0,23.44,23.22,0,0.0
Allan Clarke,2,0,0.0,0,0,2,2,0.0,24.0,13.0,0,0.0
Allan Grice,1,0,0.0,0,0,0,1,0.0,32.0,34.0,0,0.0
Allan Harley,2,0,0.0,0,0,0,2,0.0,33.0,34.5,0,0.0
Allan Schlauer,45,0,0.0,0,2,15,45,0.0,23.8,24.64,0,0.0
Allen Franklin,2,0,0.0,0,0,0,2,0.0,31.0,34.0,0,0.0
Allen Heath,6,0,0.0,0,0,1,6,0.0,18.33,25.33,0,0.0
Allen McMillion,35,0,0.0,1,9,30,40,0.0,25.33,15.7,0,0.0
Alton Haddock,2,0,0.0,0,0,0,2,0.0,45.0,55.0,0,0.0
Alvin Woodall,1,0,0.0,0,0,1,1,0.0,25.0,14.0,0,0.0
Amos Johnson,1,0,0.0,0,0,1,1,0.0,35.0,13.0,0,0.0
Andrew Scott,1,0,0.0,0,0,1,1,0.0,29.0,18.0,0,0.0
Andy Hillenburg,2,0,0.0,0,0,0,2,0.0,34.5,36.0,0,0.0
Andy Petree,211,2,0.00948,16,54,150,322,0.00621,20.05,22.36,732,2.27
Andy Pierce,2,0,0.0,0,0,1,2,0.0,1.0,25.5,0,0.0
Andy Winfree,10,0,0.0,0,4,8,10,0.0,21.0,14.6,0,0.0
Ann Bunselmeyer,1,0,0.0,0,0,1,1,0.0,,18.0,0,0.0
Ansel Rakestraw,6,0,0.0,0,2,4,6,0.0,27.17,18.67,0,0.0
Anthony Davella,1,0,0.0,0,0,0,1,0.0,7.0,36.0,0,0.0
Archie Smith,112,0,0.0,2,10,61,112,0.0,25.65,21.38,20,0.18
Archie St. Hilaire,242,0,0.0,0,6,26,242,0.0,32.67,29.64,43,0.18
Arden Mounts,13,0,0.0,0,2,8,13,0.0,22.69,22.85,0,0.0
Arley Scranton,9,0,0.0,0,1,1,9,0.0,22.78,25.11,0,0.0
Armando Fitz / Terry Bradshaw,1,0,0.0,0,0,0,1,0.0,22.0,36.0,0,0.0
Arnie Sacks,38,0,0.0,0,3,12,38,0.0,24.21,24.71,2,0.05
Arnold Bennett,1,0,0.0,0,0,0,1,0.0,26.0,30.0,0,0.0
Art Binkley,4,0,0.0,0,0,0,4,0.0,32.25,24.5,0,0.0
Art Krebs,8,0,0.0,0,2,4,8,0.0,20.57,20.38,0,0.0
Art Watts,1,0,0.0,0,0,0,1,0.0,8.0,26.0,0,0.0
Arthur Godfrey,2,0,0.0,0,0,0,2,0.0,27.0,27.5,0,0.0
Arthur Williams,1,0,0.0,0,0,1,1,0.0,21.0,14.0,0,0.0
Atlanta Muffler,1,0,0.0,0,0,0,1,0.0,,22.0,0,0.0
Aubrey Boles,5,0,0.0,0,1,2,5,0.0,24.2,22.0,0,0.0
Auto Merchant,1,0,0.0,0,0,0,1,0.0,30.0,25.0,0,0.0
Axel Anderson,3,0,0.0,0,0,1,3,0.0,28.67,22.0,0,0.0
B & W Auto Supply,1,0,0.0,0,0,0,1,0.0,37.0,30.0,0,0.0
B.A. Pless,19,2,0.10526,5,8,16,19,0.10526,10.0,12.84,204,10.74
B.B. Morris,2,0,0.0,0,0,1,2,0.0,35.5,27.5,0,0.0
B.E. Renfro,2,0,0.0,0,0,1,2,0.0,,20.5,0,0.0
B.G. Holloway,101,7,0.06931,46,82,116,129,0.05426,11.15,10.42,1977,15.33
B.J. Dantone,13,0,0.0,1,4,9,14,0.0,30.57,18.93,0,0.0
B.J. McLeod,125,0,0.0,0,2,6,126,0.0,34.19,30.34,16,0.13
B.R. Waller,2,0,0.0,0,1,1,2,0.0,9.0,36.0,0,0.0
B.S. Beeson,1,0,0.0,0,0,1,1,0.0,19.0,20.0,0,0.0
BK Racing,240,0,0.0,0,3,40,520,0.0,34.1,31.09,43,0.08
Baird & Trivette,1,0,0.0,0,0,1,1,0.0,40.0,19.0,0,0.0
Banjo Matthews,153,8,0.05229,49,73,96,158,0.05063,8.27,16.09,4037,25.55
Banks Racing,1,0,0.0,0,0,0,1,0.0,33.0,33.0,0,0.0
Banks Simpson,8,0,0.0,0,0,6,8,0.0,22.75,16.5,0,0.0
Barney Shore,19,0,0.0,1,5,10,19,0.0,18.71,20.53,0,0.0
Barney Smith,6,0,0.0,0,2,6,6,0.0,16.0,11.67,0,0.0
Barney Visser,414,18,0.04348,75,132,242,451,0.03991,17.71,19.69,6452,14.31
Barry Haefele,1,0,0.0,0,0,0,1,0.0,43.0,43.0,0,0.0
Barry Owen,5,0,0.0,0,0,2,5,0.0,33.0,24.0,0,0.0
Basil Whittaker,4,0,0.0,0,0,1,4,0.0,26.5,27.5,0,0.0
Baxter Price,104,0,0.0,0,0,42,104,0.0,29.09,21.98,0,0.0
Bay Darnell,3,0,0.0,0,1,1,3,0.0,32.0,23.67,0,0.0
