Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led,Pts
1992,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,6.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,200.0,244050.0,running,127.0,185.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,4.0,21.0,Morgan Shepherd,Citgo (Wood Brothers),Ford,200.0,181300.0,running,7.0,175.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,16.0,15.0,Geoffrey Bodine,Motorcraft (Bud Moore),Ford,200.0,116250.0,running,0.0,165.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,41.0,7.0,Alan Kulwicki,Hooters (Alan Kulwicki),Ford,200.0,87500.0,running,0.0,160.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,28.0,75.0,Dick Trickle,RahMoc (Rahmoc Enterprises),Oldsmobile,200.0,78800.0,running,0.0,155.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,33.0,42.0,Kyle Petty,Mello Yello (Felix Sabates),Pontiac,199.0,67700.0,running,0.0,150.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,34.0,94.0,Terry Labonte,Sunoco (Billy Hagan),Oldsmobile,199.0,58575.0,running,0.0,146.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,40.0,55.0,Ted Musgrave,Jasper Engines (Ray DeWitt),Chevrolet,199.0,52750.0,running,0.0,142.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,3.0,3.0,Dale Earnhardt,GM Goodwrench (Richard Childress),Chevrolet,199.0,87000.0,running,0.0,138.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,19.0,9.0,Phil Parsons,Melling Performance (Harry Melling),Ford,199.0,49150.0,running,0.0,134.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,24.0,47.0,Buddy Baker,Close Racing (Derick Close),Oldsmobile,199.0,38275.0,running,0.0,130.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,11.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson),Oldsmobile,199.0,51100.0,running,0.0,127.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,13.0,1.0,Rick Mast,Skoal Classic (Richard Jackson),Oldsmobile,199.0,40355.0,running,0.0,124.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,9.0,41.0,Greg Sacks,Kellogg's (Larry Hedrick),Chevrolet,199.0,36790.0,running,0.0,121.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,37.0,16.0,"Wally Dallenbach, Jr.",Keystone Beer (Jack Roush),Ford,198.0,29700.0,running,0.0,118.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,32.0,43.0,Richard Petty,STP (Petty Enterprises),Pontiac,198.0,32530.0,running,0.0,115.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,25.0,73.0,Phil Barkdoll,X-1R (Phil Barkdoll),Oldsmobile,198.0,27960.0,running,0.0,112.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,10.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,197.0,37140.0,flagged,3.0,114.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,31.0,90.0,Dorsey Schroeder,Whistler Radar (Junie Donlavey),Ford,196.0,25750.0,running,0.0,106.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,23.0,71.0,Dave Marcis,Abilene Boots (Dave Marcis),Chevrolet,195.0,26210.0,running,0.0,103.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,39.0,14.0,A.J. Foyt,Copenhagen (Don Bierschwale),Oldsmobile,195.0,23055.0,running,0.0,100.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,30.0,49.0,Stanley Smith,Ameritron Batteries (Stanley Smith),Chevrolet,195.0,24150.0,running,0.0,97.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,38.0,8.0,Rick Wilson,Snickers (Stavola Brothers),Ford,195.0,24045.0,running,0.0,94.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,42.0,12.0,Hut Stricklin,Raybestos Brakes (Bobby Allison),Chevrolet,188.0,27740.0,running,0.0,91.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,27.0,0.0,Delma Cowart,Master's Economy Inn (H.L. Waters),Ford,188.0,23285.0,running,0.0,88.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,12.0,17.0,Darrell Waltrip,Western Auto (Darrell Waltrip),Chevrolet,180.0,33580.0,running,1.0,90.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,2.0,11.0,Bill Elliott,Budweiser (Junior Johnson),Ford,178.0,60255.0,running,23.0,87.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,7.0,4.0,Ernie Irvan,Kodak Film (Larry McClure),Chevrolet,166.0,43370.0,handling,0.0,79.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,5.0,6.0,Mark Martin,Valvoline (Jack Roush),Ford,162.0,49675.0,running,0.0,76.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,29.0,77.0,Mike Potter,Kenova Construction / Underground Ind. (Steve Balogh),Chevrolet,151.0,21710.0,fuel pump,0.0,73.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,31.0,17.0,2.0,Rusty Wallace,Miller Genuine Draft (Roger Penske),Pontiac,150.0,30455.0,running,0.0,70.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,22.0,68.0,Bobby Hamilton,Country Time (Mark Smith),Oldsmobile,125.0,27350.0,piston,0.0,67.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,33.0,21.0,3.0,Kerry Teague,Team USA (Kerry Teague),Oldsmobile,122.0,22445.0,crash,0.0,64.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,34.0,20.0,10.0,Derrike Cope,Purolator (Bob Whitcomb),Chevrolet,120.0,23115.0,radiator,0.0,61.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,35.0,1.0,22.0,Sterling Marlin,Maxwell House Coffee (Junior Johnson),Ford,91.0,34435.0,crash,33.0,63.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,36.0,35.0,18.0,Dale Jarrett,Interstate Batteries (Joe Gibbs),Chevrolet,91.0,19780.0,crash,0.0,55.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,37.0,15.0,25.0,Ken Schrader,Kodiak (Rick Hendrick),Chevrolet,91.0,30500.0,crash,6.0,57.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,38.0,26.0,31.0,"Bobby Hillin, Jr.",Team Ireland (Martin Birrane),Chevrolet,91.0,20370.0,crash,0.0,49.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,39.0,14.0,66.0,Chad Little,TropArtic (Cale Yarborough),Ford,90.0,22760.0,crash,0.0,46.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,40.0,8.0,5.0,Ricky Rudd,Tide (Rick Hendrick),Chevrolet,79.0,34350.0,engine,0.0,43.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,41.0,18.0,26.0,Brett Bodine,Quaker State (Kenny Bernstein),Ford,13.0,25150.0,distributor,0.0,40.0
1992,1,Daytona,Daytona International Speedway,2.5,paved track,42.0,36.0,95.0,Bob Schacht,Shoney's (Sadler Brothers),Oldsmobile,7.0,18250.0,engine,0.0,37.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,1.0,2.0,11.0,Bill Elliott,Budweiser (Junior Johnson),Ford,492.0,57800.0,running,260.0,185.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,2.0,10.0,28.0,Davey Allison,Havoline (Yates Racing),Ford,492.0,48875.0,running,190.0,175.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,3.0,13.0,33.0,Harry Gant,Skoal Bandit (Leo Jackson),Oldsmobile,492.0,31600.0,running,0.0,165.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,4.0,14.0,30.0,Michael Waltrip,Pennzoil (Chuck Rider),Pontiac,491.0,18650.0,running,0.0,160.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,5.0,9.0,25.0,Ken Schrader,Kodiak (Rick Hendrick),Chevrolet,491.0,21650.0,running,0.0,155.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,6.0,3.0,6.0,Mark Martin,Valvoline (Jack Roush),Ford,490.0,20575.0,running,0.0,150.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,7.0,21.0,94.0,Terry Labonte,Sunoco (Billy Hagan),Oldsmobile,490.0,15200.0,running,0.0,146.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,8.0,4.0,26.0,Brett Bodine,Quaker State (Kenny Bernstein),Ford,490.0,14700.0,running,0.0,142.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,9.0,15.0,12.0,Hut Stricklin,Raybestos Brakes (Bobby Allison),Chevrolet,490.0,14400.0,running,0.0,138.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,10.0,24.0,17.0,Darrell Waltrip,Western Auto (Darrell Waltrip),Chevrolet,490.0,19900.0,running,0.0,134.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,11.0,6.0,4.0,Ernie Irvan,Kodak Film (Larry McClure),Chevrolet,489.0,18400.0,running,0.0,130.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,12.0,19.0,1.0,Rick Mast,Skoal Classic (Richard Jackson),Oldsmobile,489.0,13300.0,running,0.0,127.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,13.0,22.0,21.0,Morgan Shepherd,Citgo (Wood Brothers),Ford,489.0,13000.0,running,1.0,129.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,14.0,12.0,15.0,Geoffrey Bodine,Motorcraft (Bud Moore),Ford,489.0,12600.0,running,0.0,121.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,15.0,25.0,22.0,Sterling Marlin,Maxwell House Coffee (Junior Johnson),Ford,489.0,12150.0,running,0.0,118.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,16.0,29.0,43.0,Richard Petty,STP (Petty Enterprises),Pontiac,488.0,11700.0,running,0.0,115.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,17.0,28.0,55.0,Ted Musgrave,Jasper Engines (Ray DeWitt),Oldsmobile,486.0,11400.0,running,0.0,112.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,18.0,20.0,68.0,Bobby Hamilton,Country Time (Mark Smith),Oldsmobile,486.0,12150.0,running,0.0,109.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,19.0,26.0,10.0,Derrike Cope,Purolator (Bob Whitcomb),Chevrolet,482.0,8375.0,running,0.0,106.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,20.0,27.0,98.0,Jimmy Spencer,Moly Black Gold (Travis Carter),Chevrolet,480.0,10950.0,running,0.0,103.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,21.0,34.0,16.0,"Wally Dallenbach, Jr.",Keystone Beer (Jack Roush),Ford,480.0,5650.0,running,0.0,100.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,22.0,30.0,66.0,Chad Little,TropArtic (Cale Yarborough),Ford,475.0,7200.0,running,0.0,97.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,23.0,32.0,13.0,Mike Skinner,Glidden Paints (Thee Dixon),Chevrolet,470.0,6150.0,running,0.0,94.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,24.0,8.0,3.0,Dale Earnhardt,Goodwrench (Richard Childress),Chevrolet,469.0,16850.0,running,0.0,91.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,25.0,38.0,87.0,Randy Baker,Buck Baker Driving School (Buck Baker),Chevrolet,459.0,8700.0,running,0.0,88.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,26.0,5.0,2.0,Rusty Wallace,Miller Genuine Draft (Roger Penske),Pontiac,442.0,13100.0,water pump,17.0,90.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,27.0,40.0,56.0,Jerry Hill,Hill Motorsports (Willie Tierney),Pontiac,440.0,5250.0,running,0.0,82.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,28.0,23.0,5.0,Ricky Rudd,Tide (Rick Hendrick),Chevrolet,437.0,12950.0,running,0.0,79.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,29.0,1.0,42.0,Kyle Petty,Mello Yello (Felix Sabates),Pontiac,430.0,12375.0,camshaft,24.0,81.0
1992,2,Rockingham,North Carolina Motor Speedway,1.017,paved track,30.0,33.0,9.0,Phil Parsons,Melling Engine Parts (Harry Melling),Ford,368.0,9325.0,running,0.0,73.0
