Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2018,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,14.0,3.0,Austin Dillon,Dow (Richard Childress),Chevrolet,207.0,running,1.0,42.0,5.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,7.0,43.0,Bubba Wallace,Click n' Close (Richard Petty Motorsports),Chevrolet,207.0,running,0.0,39.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,2.0,11.0,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,207.0,running,22.0,35.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,5.0,22.0,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,207.0,running,3.0,41.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,21.0,37.0,Chris Buescher,Kleenex / Cottonelle / Bush's Beans (JTG-Daugherty Racing),Chevrolet,207.0,running,0.0,32.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,16.0,21.0,Paul Menard,Omnicraft Auto Parts / Quick Lane Tire & Auto (Wood Brothers),Ford,207.0,running,1.0,42.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,3.0,12.0,Ryan Blaney,Menards / Peak (Roger Penske),Ford,207.0,running,118.0,48.0,1.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,13.0,31.0,Ryan Newman,Bass Pro Shops / Cabela's (Richard Childress),Chevrolet,207.0,running,0.0,29.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,22.0,34.0,Michael McDowell,Love's Travel Stops / Speedco (Bob Jenkins),Ford,207.0,running,0.0,39.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,20.0,47.0,A.J. Allmendinger,Kroger ClickList / Velveeta / Cheerios (JTG-Daugherty Racing),Chevrolet,207.0,running,1.0,27.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,37.0,10.0,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,206.0,running,1.0,33.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,29.0,51.0,Justin Marks,Harry's (Rick Ware),Chevrolet,206.0,running,1.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,18.0,6.0,Trevor Bayne,AdvoCare 25th Anniversary (Jack Roush),Ford,206.0,running,0.0,28.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,39.0,92.0,David Gilliland,Black's Tire Service / Carquest Auto Parts (Ricky Benton),Ford,206.0,running,0.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,10.0,14.0,Clint Bowyer,Rush Truck Centers / Mobil 1 (Stewart Haas Racing),Ford,206.0,running,0.0,22.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,19.0,1.0,Jamie McMurray,McDonald's / Cessna (Chip Ganassi),Chevrolet,205.0,running,0.0,21.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,1.0,88.0,Alex Bowman,Nationwide Insurance (Rick Hendrick),Chevrolet,205.0,running,13.0,29.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,24.0,78.0,Martin Truex Jr,Bass Pro Shops / 5-hour Energy (Barney Visser),Toyota,205.0,running,4.0,30.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,38.0,42.0,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,204.0,running,0.0,18.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,34.0,23.0,Gray Gaulding,Earthwater (BK Racing),Toyota,204.0,running,0.0,17.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,27.0,0.0,Jeffrey Earnhardt,VRX Simulators (StarCom Racing),Chevrolet,204.0,running,0.0,16.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,40.0,66.0,Mark Thompson,Phoenix Air Racing (Carl Long),Ford,203.0,running,0.0,15.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,33.0,24.0,William Byron,Axalta (Rick Hendrick),Chevrolet,203.0,running,0.0,14.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,30.0,96.0,D.J. Kennington,Lordco Auto Parts / Castrol (Gaunt Brothers),Toyota,201.0,running,0.0,13.0,0.0
