manufacturer,season,mfg_season_races,mfg_season_wins,mfg_season_top_5,mfg_season_top_10,mfg_season_top_20,mfg_season_win_pct,mfg_season_trucks_raced,mfg_season_truck_win_pct,mfg_season_avg_start,mfg_season_avg_finish,mfg_season_avg_laps_led,mfg_season_laps_led
Chevrolet,1995,20,16,57,105,213,0.8,314,0.05096,14.61,15.81,7.36,2312
Dodge,1995,20,0,2,8,23,0.0,47,0.0,19.11,19.83,1.53,72
Ford,1995,20,4,41,87,164,0.2,247,0.01619,17.3,15.63,2.53,624
Chevrolet,1996,24,18,65,125,232,0.75,385,0.04675,17.2,17.06,8.94,3442
Dodge,1996,24,0,10,29,68,0.0,116,0.0,15.58,18.59,2.44,283
Ford,1996,24,6,45,86,180,0.25,305,0.01967,18.34,17.37,2.66,811
Chevrolet,1997,26,16,74,135,243,0.61538,422,0.03791,18.5,17.6,7.57,3195
Dodge,1997,26,2,11,31,65,0.07692,114,0.01754,16.25,17.91,5.31,605
Ford,1997,26,8,45,94,212,0.30769,363,0.02204,17.68,18.21,2.87,1040
Chevrolet,1998,27,15,65,129,247,0.55556,413,0.03632,17.24,17.43,5.71,2359
Dodge,1998,27,2,12,36,77,0.07407,138,0.01449,21.38,18.59,2.03,280
Ford,1998,27,10,58,105,216,0.37037,387,0.02584,17.48,18.28,5.98,2316
Chevrolet,1999,25,9,41,80,193,0.36,370,0.02432,19.92,19.59,4.86,1797
Dodge,1999,25,4,33,74,116,0.16,150,0.02667,11.05,12.87,7.91,1187
Ford,1999,25,12,51,96,191,0.48,324,0.03704,17.58,17.1,4.31,1397
Chevrolet,2000,24,6,36,89,207,0.25,382,0.01571,19.91,19.15,2.69,1026
Dodge,2000,24,6,34,73,135,0.25,199,0.03015,15.38,15.67,6.67,1327
Ford,2000,24,12,50,78,138,0.5,248,0.04839,16.48,17.43,7.19,1784
Chevrolet,2001,24,7,57,125,261,0.29167,481,0.01455,19.18,18.87,3.59,1727
Dodge,2001,24,15,42,66,117,0.625,185,0.08108,15.43,16.42,10.36,1917
Ford,2001,24,2,21,49,102,0.08333,183,0.01093,18.5,18.31,3.48,636
Chevrolet,2002,22,11,51,108,205,0.5,399,0.02757,19.99,19.31,2.99,1194
Dodge,2002,22,7,38,66,151,0.31818,251,0.02789,17.13,17.65,6.23,1564
Ford,2002,22,4,21,46,84,0.18182,138,0.02899,16.18,17.21,7.09,979
Chevrolet,2003,25,6,39,89,198,0.24,386,0.01554,20.68,19.77,2.2,850
Dodge,2003,25,13,52,93,176,0.52,269,0.04833,14.97,15.8,8.93,2401
