owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
A&M Premier Roofing,1,0,0.0,0,0,1,1,0.0,30.0,20.0,0,0.0
A.J. Foyt,5,0,0.0,0,0,2,5,0.0,18.8,26.4,0,0.0
ARS Construction & Record Rack,1,0,0.0,0,0,0,1,0.0,29.0,26.0,0,0.0
Al Niece,175,9,0.05143,49,98,275,495,0.01818,19.21,19.09,1370,2.77
Alex Decuir,9,0,0.0,0,0,3,9,0.0,23.11,26.67,0,0.0
Alexander Meshkin,25,2,0.08,10,17,32,43,0.04651,10.91,14.14,575,13.37
All Out Motorsports,24,0,0.0,0,0,9,24,0.0,23.08,22.25,4,0.17
Allen Reyen,10,0,0.0,0,0,5,10,0.0,21.1,23.1,0,0.0
Alvin Thompson,1,0,0.0,0,0,0,1,0.0,29.0,27.0,0,0.0
Andy Belmont,1,0,0.0,0,0,0,1,0.0,35.0,32.0,0,0.0
Andy Campbell,12,0,0.0,0,1,5,12,0.0,27.67,22.83,0,0.0
Andy Hillenburg,52,0,0.0,0,0,8,79,0.0,30.82,28.09,4,0.05
Andy Petree,15,2,0.13333,2,4,10,15,0.13333,16.73,16.2,79,5.27
Andy Santerre,1,0,0.0,0,0,1,1,0.0,21.0,16.0,0,0.0
Arne Henriksen,3,0,0.0,0,0,0,3,0.0,33.33,26.33,0,0.0
Arnie Mahlik,1,0,0.0,0,0,1,1,0.0,36.0,20.0,0,0.0
Arthur Shelton,2,0,0.0,0,0,1,2,0.0,23.0,18.0,0,0.0
Auggie Vidovich,3,0,0.0,0,0,0,3,0.0,28.0,25.67,0,0.0
B.A. Wilson,17,0,0.0,0,0,7,17,0.0,20.65,24.06,0,0.0
Backyard Blues Pools,1,0,0.0,0,0,0,1,0.0,31.0,35.0,0,0.0
Bell Sadler,2,0,0.0,1,1,2,2,0.0,23.5,9.0,0,0.0
Bernie Cox,1,0,0.0,0,0,0,1,0.0,27.0,26.0,0,0.0
Bert Oostlander,4,0,0.0,0,0,1,4,0.0,33.75,26.25,0,0.0
Bill Alger,25,0,0.0,0,2,7,27,0.0,25.52,25.11,1,0.04
Bill Davis,125,24,0.192,98,160,240,360,0.06667,11.32,14.68,4046,11.24
Bill Elliott,9,0,0.0,1,4,6,9,0.0,12.67,16.11,34,3.78
Bill Kimmel,1,0,0.0,0,0,0,1,0.0,36.0,21.0,0,0.0
Bill McAnally,119,7,0.05882,36,83,157,215,0.03256,13.74,14.81,1368,6.36
Bill Stroppe,18,0,0.0,0,0,6,18,0.0,22.61,23.17,0,0.0
Bill Venturini,5,0,0.0,0,1,4,5,0.0,20.4,17.8,0,0.0
Bill Westbrook,1,0,0.0,0,0,0,1,0.0,25.0,36.0,0,0.0
Billy Ballew,272,20,0.07353,68,122,248,365,0.05479,15.53,15.68,3165,8.67
Billy Boat,28,0,0.0,1,4,19,31,0.0,18.03,19.19,4,0.13
Billy Hess,10,1,0.1,1,2,3,10,0.1,12.1,22.9,21,2.1
Billy Kann,3,0,0.0,0,0,0,3,0.0,34.33,28.67,0,0.0
"Billy Ogle, Jr.",1,0,0.0,0,0,1,1,0.0,29.0,19.0,0,0.0
Blaise Alexander,2,0,0.0,0,1,2,2,0.0,20.5,11.5,0,0.0
Bob Best,11,0,0.0,0,4,7,11,0.0,18.36,16.18,39,3.55
Bob Blake,19,0,0.0,0,0,8,19,0.0,27.47,23.16,0,0.0
Bob Brevak,162,0,0.0,2,14,66,167,0.0,25.13,21.92,0,0.0
Bob Coffey,2,0,0.0,0,0,0,2,0.0,33.0,33.0,0,0.0
Bob Jenkins,106,8,0.07547,42,60,77,107,0.07477,11.23,13.13,1199,11.21
Bob Jones,1,0,0.0,0,0,0,1,0.0,29.0,27.0,0,0.0
Bob Keselowski,172,8,0.04651,33,83,122,172,0.04651,14.78,14.55,1160,6.74
Bob Newberry,79,0,0.0,13,43,95,140,0.0,14.51,16.3,132,0.94
Bobby Allison,1,0,0.0,0,1,1,1,0.0,14.0,7.0,0,0.0
Bobby Dotter,279,0,0.0,6,21,119,305,0.0,25.15,22.77,77,0.25
Bobby Gerhart,3,0,0.0,0,0,1,3,0.0,26.0,22.67,0,0.0
Bobby Hamilton Racing,250,20,0.08,88,180,369,560,0.03571,15.39,16.6,3171,5.66
"Bobby Hillis, Jr.",2,0,0.0,0,0,0,2,0.0,33.5,32.5,0,0.0
Bobby Sands,2,0,0.0,0,0,0,2,0.0,35.0,31.5,0,0.0
Bow Carpenter,1,0,0.0,0,0,0,1,0.0,34.0,28.0,0,0.0
Boyd Long,6,0,0.0,0,0,1,6,0.0,34.5,25.33,3,0.5
Brad Akins / Bob Sutton,20,0,0.0,1,5,11,20,0.0,15.3,19.45,66,3.3
Brad Keselowski,177,11,0.06215,107,174,255,305,0.03607,9.86,10.84,2216,7.27
Brad Queen,1,0,0.0,0,0,0,1,0.0,35.0,34.0,0,0.0
Bradford Miller,3,0,0.0,0,0,2,3,0.0,16.67,19.67,0,0.0
Brent Raymer,43,0,0.0,0,0,4,43,0.0,28.72,28.02,4,0.09
Bruce Cook,2,0,0.0,0,0,1,2,0.0,28.0,23.0,0,0.0
