Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Money,Status,Led,Pts
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,1.0,16.0,80.0,Joe Ruttman,LCI Telecommunications (Jack Roush),Ford,200.0,55800.0,running,3.0,180.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,2.0,18.0,20.0,Butch Miller,Orleans Hotel & Casino (Walker Evans),Ford,200.0,37000.0,running,0.0,170.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,3.0,12.0,17.0,Rich Bickle,Sears DieHard (Darrell Waltrip),Chevrolet,200.0,26500.0,running,17.0,165.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,4.0,21.0,3.0,Jay Sauter,GM Goodwrench Service (Richard Childress),Chevrolet,200.0,23400.0,running,0.0,160.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,5.0,20.0,6.0,Rick Carelli,RE/MAX International (Marshall Chesrown),Chevrolet,200.0,22400.0,running,0.0,155.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,6.0,13.0,43.0,Jimmy Hensley,Cummins Engines (Petty Enterprises),Dodge,200.0,17100.0,running,0.0,150.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,7.0,7.0,98.0,"Kenny Irwin, Jr.",Raybestos (Jim Herrick),Ford,200.0,13250.0,running,0.0,146.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,8.0,19.0,94.0,"Ron Barfield, Jr.",Super 8 Motel (Bill Elliott),Ford,200.0,13000.0,running,0.0,142.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,9.0,14.0,13.0,Curtis Markham,Key Federal Savings VISA (Mike Colabucci),Chevrolet,200.0,11500.0,running,0.0,138.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,10.0,32.0,86.0,Stacy Compton,Valvoline Instant Oil Change (David Hodson),Ford,200.0,12550.0,running,0.0,134.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,11.0,24.0,14.0,Rick Crawford,Circle Bar Motel & RV Park (Tom Mitchell),Ford,200.0,10800.0,running,0.0,130.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,12.0,15.0,99.0,Chuck Bown,Exide Batteries (Jack Roush),Ford,200.0,10600.0,running,0.0,127.0
1997,1,Disney,Walt Disney World Speedway,1.0,paved track,13.0,27.0,35.0,"Lonnie Rush, Jr.",Ortho Lawn & Garden (Charles Hardy),Chevrolet,200.0,10400.0,running,0.0,124.0
