manufacturer,season,mfg_season_races,mfg_season_wins,mfg_season_top_5,mfg_season_top_10,mfg_season_top_20,mfg_season_win_pct,mfg_season_cars_raced,mfg_season_car_win_pct,mfg_season_avg_start,mfg_season_avg_finish,mfg_season_avg_laps_led,mfg_season_laps_led
Buick,1982,2,0,0,0,1,0.0,2,0.0,29.0,18.5,0.0,0
Chevrolet,1982,28,1,11,21,44,0.03571,64,0.01563,23.23,16.11,0.67,43
Dodge,1982,5,0,1,2,3,0.0,5,0.0,19.0,16.2,0.0,0
Ford,1982,27,0,2,16,23,0.0,36,0.0,18.64,15.78,0.0,0
Mercury,1982,4,0,0,1,2,0.0,4,0.0,21.25,25.0,0.0,0
Oldsmobile,1982,28,7,30,33,42,0.25,51,0.13725,6.94,9.06,17.22,878
Pontiac,1982,29,21,93,159,291,0.72414,411,0.05109,14.85,15.08,5.09,2090
–,1982,16,0,8,58,168,0.0,209,0.0,8.13,14.85,0.0,0
Buick,1983,8,0,0,1,5,0.0,8,0.0,25.5,17.75,0.0,0
Chevrolet,1983,35,4,14,23,51,0.11429,71,0.05634,20.77,14.7,4.39,312
Dodge,1983,6,0,0,0,3,0.0,6,0.0,21.33,19.67,0.0,0
Ford,1983,20,0,2,6,11,0.0,29,0.0,20.95,20.86,0.76,22
Oldsmobile,1983,35,13,39,55,69,0.37143,87,0.14943,8.57,11.0,28.37,2468
Pontiac,1983,35,18,120,265,547,0.51429,740,0.02432,17.11,15.24,5.2,3849
–,1983,13,0,0,0,13,0.0,26,0.0,19.0,19.23,0.0,0
Buick,1984,7,0,1,3,5,0.0,7,0.0,12.29,13.0,1.43,10
Chevrolet,1984,26,2,13,19,41,0.07692,49,0.04082,16.2,13.57,8.88,435
Dodge,1984,7,0,0,1,5,0.0,7,0.0,22.14,17.29,0.0,0
Ford,1984,28,0,0,4,19,0.0,36,0.0,17.06,19.78,0.03,1
Mercury,1984,3,0,0,0,1,0.0,4,0.0,35.75,25.75,0.0,0
Oldsmobile,1984,29,9,41,64,97,0.31034,140,0.06429,14.02,15.04,16.59,2323
Pontiac,1984,29,18,90,199,412,0.62069,580,0.03103,15.34,15.26,5.15,2989
Buick,1985,20,1,9,12,17,0.05,37,0.02703,13.54,19.38,7.27,269
Chevrolet,1985,22,3,14,25,34,0.13636,46,0.06522,15.78,12.83,15.61,718
Dodge,1985,3,0,0,0,1,0.0,3,0.0,27.67,22.33,0.0,0
Ford,1985,17,0,0,1,10,0.0,19,0.0,22.16,20.68,0.0,0
Oldsmobile,1985,27,4,37,68,112,0.14815,162,0.02469,15.16,15.43,3.91,633
Pontiac,1985,27,19,75,164,366,0.7037,527,0.03605,15.98,15.83,6.56,3455
Buick,1986,31,7,23,43,65,0.22581,122,0.05738,15.49,18.6,11.66,1422
Chevrolet,1986,29,2,15,29,53,0.06897,81,0.02469,14.27,15.62,8.44,684
Dodge,1986,1,0,0,0,0,0.0,1,0.0,27.0,27.0,0.0,0
Ford,1986,9,0,2,2,2,0.0,10,0.0,20.7,24.7,5.4,54
Oldsmobile,1986,31,2,24,52,101,0.06452,139,0.01439,16.6,15.4,5.42,753
Pontiac,1986,31,20,91,184,399,0.64516,594,0.03367,16.71,16.11,4.88,2899
Buick,1987,27,9,47,85,160,0.33333,261,0.03448,15.19,17.48,6.26,1633
Chevrolet,1987,27,10,49,85,142,0.37037,214,0.04673,15.22,15.76,9.14,1957
Ford,1987,27,3,7,19,32,0.11111,51,0.05882,15.49,17.06,7.55,385
Oldsmobile,1987,27,1,15,34,65,0.03704,107,0.00935,18.97,17.44,2.95,316
Pontiac,1987,27,4,17,47,141,0.14815,247,0.01619,21.41,18.8,2.86,706
Buick,1988,30,18,83,157,279,0.6,416,0.04327,16.05,15.62,7.99,3324
Chevrolet,1988,30,8,43,67,126,0.26667,214,0.03738,16.13,17.8,9.19,1966
Ford,1988,28,1,2,13,45,0.03571,77,0.01299,22.78,20.74,0.08,6
Oldsmobile,1988,30,3,22,57,115,0.1,187,0.01604,17.3,17.89,2.34,438
Pontiac,1988,29,0,0,6,34,0.0,72,0.0,24.88,23.21,1.47,106
Buick,1989,29,15,53,105,204,0.51724,330,0.04545,16.5,17.03,6.52,2151
