owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
"",59,0,0.0,27,136,405,580,0.0,20.86,16.72,30,0.05
7-Up,2,0,0.0,0,1,1,2,0.0,19.0,17.5,0,0.0
A. Steve Pierce,1,0,0.0,0,0,0,1,0.0,27.0,23.0,0,0.0
A.J. Foyt,67,0,0.0,0,2,17,69,0.0,25.41,25.19,2,0.03
AAA Mobile Homes,1,0,0.0,0,0,0,1,0.0,34.0,31.0,0,0.0
AAA Radiators,1,0,0.0,0,0,0,1,0.0,26.0,31.0,0,0.0
AC Delco,1,0,0.0,0,0,0,1,0.0,33.0,21.0,0,0.0
AC Delco Magneto,1,0,0.0,0,0,1,1,0.0,6.0,11.0,0,0.0
ADAP / Auto Palace,2,0,0.0,0,0,0,2,0.0,38.0,28.0,0,0.0
ADAP Auto Parts,8,0,0.0,0,0,2,8,0.0,29.5,29.0,0,0.0
Action Tire,3,0,0.0,0,0,0,3,0.0,23.0,25.33,0,0.0
Adams-Harris Racing,1,0,0.0,0,0,1,1,0.0,28.0,16.0,0,0.0
Adandy Properties,1,0,0.0,0,0,1,1,0.0,32.0,14.0,0,0.0
Adkins Service Center,10,0,0.0,0,0,4,10,0.0,28.1,22.3,0,0.0
Adrian Berryhill,44,0,0.0,0,0,1,46,0.0,30.39,32.39,1,0.02
Advance Auto Parts,2,0,0.0,0,0,1,2,0.0,17.0,24.5,50,25.0
Advanced Eagle,1,0,0.0,0,0,0,1,0.0,34.0,29.0,0,0.0
Adventure Land Video,10,0,0.0,1,3,6,10,0.0,15.9,17.5,0,0.0
Al Hylton,1,0,0.0,0,0,0,1,0.0,30.0,30.0,0,0.0
Al Niece,1,0,0.0,0,0,0,1,0.0,29.0,31.0,0,0.0
Al Rudd,1,0,0.0,0,0,0,1,0.0,43.0,34.0,0,0.0
"Alan Dillard, Jr.",309,13,0.04207,63,129,235,352,0.03693,13.39,15.64,2190,6.22
Alec Pinsonneault,36,0,0.0,0,7,21,36,0.0,22.83,19.75,12,0.33
Alex Garcia,5,0,0.0,0,0,0,5,0.0,31.8,29.2,0,0.0
All-Pro Auto Parts,1,0,0.0,0,0,0,1,0.0,27.0,21.0,0,0.0
Allan Powell,2,0,0.0,0,0,0,2,0.0,21.0,23.0,0,0.0
Allen Avery,44,1,0.02273,1,4,27,50,0.02,25.16,22.54,35,0.7
Allen Bloom,9,0,0.0,0,0,0,9,0.0,22.78,33.56,0,0.0
Allen Cretsinger,56,2,0.03571,8,13,22,57,0.03509,22.95,23.51,419,7.35
Allen Lumber,1,0,0.0,0,0,0,1,0.0,13.0,29.0,0,0.0
Allen Lumber / L&W,1,0,0.0,1,1,1,1,0.0,16.0,2.0,60,60.0
Almay,1,0,0.0,0,0,0,1,0.0,20.0,23.0,0,0.0
Almay Cosmetics,1,0,0.0,0,0,1,1,0.0,23.0,13.0,0,0.0
Almay Racing,1,0,0.0,0,0,0,1,0.0,32.0,40.0,0,0.0
Amelia Auto Parts,2,0,0.0,0,0,2,2,0.0,9.0,20.0,0,0.0
American Performance,1,0,0.0,0,0,0,1,0.0,17.0,24.0,0,0.0
American Uniflex,10,0,0.0,0,1,3,10,0.0,27.9,24.1,0,0.0
Anderson / Webb,24,0,0.0,2,13,21,24,0.0,15.29,10.83,37,1.54
Anderson Racing,1,0,0.0,0,0,0,1,0.0,29.0,42.0,0,0.0
Andover Transportation,4,0,0.0,0,0,2,4,0.0,35.75,25.25,0,0.0
Andy Hillenburg,4,0,0.0,0,0,0,4,0.0,30.5,25.25,0,0.0
Andy Petree,63,0,0.0,1,10,30,65,0.0,19.6,23.22,68,1.05
Andy Santerre,2,0,0.0,0,0,0,2,0.0,32.5,37.0,0,0.0
Angela Harkness,1,0,0.0,0,0,0,1,0.0,31.0,25.0,0,0.0
Archie St. Hilaire,136,0,0.0,0,0,31,148,0.0,28.97,26.61,5,0.03
Arizona Sports Shirts,3,0,0.0,0,0,2,3,0.0,26.67,18.67,0,0.0
Arlin Buttke,32,0,0.0,0,1,8,32,0.0,25.97,27.25,1,0.03
Armando Fitz,271,0,0.0,14,33,142,360,0.0,24.5,24.48,159,0.44
Armstrong Racing,1,0,0.0,0,0,0,1,0.0,14.0,30.0,0,0.0
Ashby Sheet Metal / Clarence's Steakhouse,1,0,0.0,1,1,1,1,0.0,,4.0,0,0.0
