Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
2018,1,Daytona,Daytona International Speedway,2.5,paved track,1.0,9.0,9.0,Tyler Reddick,BurgerFi (JR Motorsports),Chevrolet,143.0,running,11.0,50.0,5.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,2.0,11.0,1.0,Elliott Sadler,OneMain Financial (JR Motorsports),Chevrolet,143.0,running,2.0,41.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,3.0,15.0,16.0,Ryan Reed,Drive Down A1C / Lilly Diabetes (Jack Roush),Ford,143.0,running,3.0,34.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,4.0,27.0,24.0,Kaz Grala,NETTTS (James Whitener),Ford,143.0,running,0.0,33.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,5.0,25.0,0.0,Garrett Smithley,Flex Tape (Johnny Davis),Chevrolet,143.0,running,2.0,32.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,6.0,4.0,23.0,Spencer Gallagher,Allegiant Airlines (Maury Gallagher),Chevrolet,143.0,running,0.0,39.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,7.0,6.0,11.0,Ryan Truex,Bar Harbor / Sea Watch International (Matthew Kaulig),Chevrolet,143.0,running,3.0,35.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,8.0,17.0,18.0,Daniel Suarez,Interstate Batteries (Joe Gibbs),Toyota,143.0,running,5.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,9.0,23.0,4.0,Ross Chastain,Flex Seal (Johnny Davis),Chevrolet,143.0,running,0.0,28.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,10.0,18.0,19.0,Brandon Jones,Juniper Networks (Joe Gibbs),Toyota,143.0,running,0.0,27.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,11.0,31.0,38.0,Jeff Green,Night Owl Contractors (Rod Sieg),Chevrolet,143.0,running,0.0,26.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,12.0,8.0,88.0,Chase Elliott,Hellmann's (JR Motorsports),Chevrolet,143.0,running,17.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,13.0,30.0,8.0,Caesar Bacarella,Alpha Prime (B.J. McLeod),Toyota,143.0,running,0.0,24.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,14.0,14.0,0.0,Cole Custer,Haas Automation (Stewart Haas Racing),Ford,143.0,running,0.0,24.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,15.0,35.0,55.0,Stephen Leicht,Jani-King (JP Motorsports),Toyota,143.0,running,0.0,22.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,16.0,24.0,51.0,Jeremy Clements,RepairableVehicles.com (Jeremy Clements),Chevrolet,143.0,running,0.0,21.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,17.0,32.0,52.0,David Starr,Whataburger (Jimmy Means),Chevrolet,143.0,running,0.0,20.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,18.0,37.0,39.0,J.J. Yeley,Superior Essex (Rod Sieg),Chevrolet,143.0,running,0.0,19.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,19.0,39.0,2.0,Matt Tifft,Nexteer (Richard Childress),Chevrolet,143.0,running,0.0,18.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,20.0,26.0,1.0,Vinnie Miller,Flex Glue (Johnny Davis),Chevrolet,143.0,running,0.0,17.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,21.0,21.0,93.0,Ryan Sieg,Code Rum (Rod Sieg),Chevrolet,143.0,running,0.0,16.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,22.0,40.0,90.0,Josh Williams,StarTron / StarBrite / Stay Sky Hotel Resort (Mario Gosselin),Chevrolet,143.0,running,0.0,15.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,23.0,16.0,15.0,Joe Nemechek,Fleetwing / D.A.B. Constructors (Johnny Davis),Chevrolet,143.0,running,0.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,24.0,22.0,36.0,Alex Labbe,Can-Am / Wholey / Cyclops Gear (Mario Gosselin),Chevrolet,142.0,running,0.0,13.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,25.0,34.0,76.0,Spencer Boyd,Grunt Style (Bobby Dotter),Chevrolet,142.0,running,0.0,12.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,26.0,1.0,21.0,Daniel Hemric,South Point Hotel & Casino (Richard Childress),Chevrolet,140.0,running,7.0,18.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,27.0,20.0,28.0,Dylan Lupton,thinQ Technology Partners (James Whitener),Ford,137.0,crash,0.0,10.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,28.0,36.0,40.0,Chad Finchum,Smithbilt Homes / Buddy Gregg RVs (Carl Long),Toyota,136.0,running,0.0,9.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,29.0,2.0,42.0,Kyle Larson,DC Solar (Chip Ganassi),Chevrolet,134.0,crash,61.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,30.0,29.0,78.0,Ryan Ellis,Densify Cloud Optimization (B.J. McLeod),Toyota,133.0,crash,0.0,7.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,31.0,5.0,7.0,Justin Allgaier,Brandt (JR Motorsports),Chevrolet,124.0,crash,0.0,15.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,32.0,38.0,3.0,Austin Dillon,Bass Pro Shops / Cabela's (Richard Childress),Chevrolet,122.0,crash,0.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,33.0,19.0,35.0,Joey Gase,Sparks (Archie St. Hilaire),Chevrolet,122.0,crash,0.0,4.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,34.0,3.0,22.0,Joey Logano,Fitzgerald Glider Kits (Roger Penske),Ford,121.0,crash,28.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,35.0,12.0,98.0,Aric Almirola,Smithfield / DenBeste Water Solutions (Fred Biagi),Ford,121.0,crash,4.0,0.0,0.0
2018,1,Daytona,Daytona International Speedway,2.5,paved track,36.0,28.0,86.0,Brandon Brown,Cono.io / Coastal Carolina University (Jerry Brown),Chevrolet,121.0,crash,0.0,1.0,0.0
